unmatched_county,date_added,resolved
st. croixvi,2020-01-01 00:00:00,1
guamgu,2020-01-01 00:00:00,1
southwest utahut,2020-01-01 00:00:00,1
navajo(az)nn,2020-01-01 00:00:00,1
st. thomasvi,2020-01-01 00:00:00,1
benton and franklinwa,2020-01-01 00:00:00,1
kansas citymo,2020-01-01 00:00:00,1
air forcemilitary,2020-01-01 00:00:00,1
coconino(az)nn,2020-01-01 00:00:00,1
mckinley(nm)nn,2020-01-01 00:00:00,1
michigan department of corrections (mdoc)mi,2020-01-01 00:00:00,1
southeast utahut,2020-01-01 00:00:00,1
tricountyut,2020-01-01 00:00:00,1
st. johnvi,2020-01-01 00:00:00,1
apache(az)nn,2020-01-01 00:00:00,1
cibola(nm)nn,2020-01-01 00:00:00,1
san juan(nm)nn,2020-01-01 00:00:00,1
san juan(ut)nn,2020-01-01 00:00:00,1
armymilitary,2020-01-01 00:00:00,1
central utahut,2020-01-01 00:00:00,1
northern mariana islandsmp,2020-01-01 00:00:00,1
residents diagnosed outside of hihi,2020-01-01 00:00:00,1
navymilitary,2020-01-01 00:00:00,1
marine corpsmilitary,2020-01-01 00:00:00,1
socorro(nm)nn,2020-01-01 00:00:00,1
va hospitalsveteran affair,2020-01-01 00:00:00,1
bernalillo(nm)nn,2020-01-01 00:00:00,1
federal correctional institution (fci)mi,2020-01-01 00:00:00,1
inmatesbop,2020-01-01 00:00:00,1
staffbop,2020-01-01 00:00:00,1
non-georgia residentga,2020-01-01 00:00:00,1
sandoval(nm)nn,2020-01-01 00:00:00,1
countytbanh,2020-01-01 00:00:00,1
bristol bay plus lake peninsulaak,2020-01-01 00:00:00,1
vanoh,2020-01-01 00:00:00,1
yakutat plus hoonah-angoonak,2020-01-01 00:00:00,1
name,2020-07-27,0
