,GEOID,population
0,31039,8991
1,53069,4189
2,35011,2060
3,31109,310094
4,31129,4275
5,72085,37768
6,46099,186749
7,48327,2123
8,6091,2930
9,21053,10211
10,39063,75690
11,48189,34113
12,1027,13378
13,48011,1916
14,39003,103642
15,13189,21498
16,55111,63596
17,5137,12446
18,41063,6924
19,42007,166896
20,28061,16529
21,29083,21765
22,8109,6468
23,37037,69791
24,49033,2350
25,40001,22113
26,39085,230052
27,51775,25519
28,51121,97997
29,47065,357546
30,35035,65745
31,35003,3539
32,1091,19538
33,56023,19011
34,29011,11850
35,48057,21807
36,51735,12039
37,54075,8531
38,48077,10387
39,51095,74153
40,31101,8099
41,31137,9120
42,22019,200182
43,22111,22475
44,40135,41359
45,1049,71200
46,36101,96927
47,42053,7351
48,22105,130504
49,51179,144012
50,26109,23234
51,18073,33449
52,13025,18561
53,13171,18513
54,18151,34474
55,48361,84047
56,39047,28645
57,25015,161159
58,21003,20794
59,37001,160576
60,20073,6156
61,25025,791766
62,16051,27969
63,48177,20667
64,47115,28417
65,26007,28612
66,21231,20609
67,47185,26580
68,48147,34175
69,20043,7736
70,48265,51365
71,12053,182696
72,12129,31877
73,12131,65858
74,28017,17279
75,2130,13804
76,26035,30616
77,20157,4686
78,12127,527634
79,40017,136710
80,72115,24036
81,13115,96824
82,32001,24010
83,31181,3571
84,17067,18112
85,46067,7315
86,41013,22337
87,50011,49025
88,26103,66939
89,9007,163368
90,37057,164664
91,17025,13338
92,29103,3951
93,29117,15076
94,42117,41226
95,31043,20317
96,26089,21639
97,51181,6600
98,48391,7236
99,39017,378294
100,13273,8859
101,13063,278666
102,56013,40076
103,18115,5887
104,13073,147295
105,8115,2350
106,30065,4807
107,42043,274515
108,46101,6506
109,54079,56652
110,34037,142298
111,20039,2881
112,18123,19141
113,28145,28356
114,31015,2042
115,27095,25728
116,38099,10802
117,39115,14702
118,39133,162644
119,56041,20609
120,32013,16904
121,48247,5282
122,8017,2039
123,41005,405788
124,5113,20163
125,13193,13480
126,18007,8667
127,47129,21596
128,46043,2930
129,24047,51564
130,17185,11573
131,18069,36378
132,21209,53517
133,19053,8044
134,18169,31631
135,18003,370016
136,18099,46595
137,31171,645
138,38085,4413
139,48127,10663
140,27045,20888
141,45023,32326
142,27073,6773
143,49005,122336
144,55093,41603
145,13049,12983
146,13233,41621
147,17113,173219
148,23001,107444
149,16055,153605
150,32003,2141574
151,20147,5408
152,31089,10245
153,29101,53689
154,55063,117850
155,22021,9996
156,21061,12122
157,17005,16712
158,17009,6675
159,27085,35825
160,55033,44498
161,8027,4640
162,29123,12205
163,48353,14966
164,42127,51536
165,36091,227377
166,48041,219193
167,40095,16376
168,24001,71977
169,54103,15614
170,55053,20506
171,41007,38562
172,53041,76947
173,36003,47025
174,19031,18445
175,18117,19547
176,13089,743187
177,13227,30832
178,30015,5789
179,31017,2988
180,47013,39687
181,37069,64902
182,24510,614700
183,20111,33299
184,19027,20344
185,22107,4666
186,47123,45876
187,20075,2616
188,19151,6898
189,16045,17052
190,5063,37264
191,5085,72206
192,18111,14018
193,13119,22514
194,12051,40127
195,13265,1665
196,48245,255210
197,30059,1968
198,8067,55101
199,48027,342236
200,28069,10107
201,5019,22385
202,41035,66310
203,36075,119104
204,72105,28557
205,1019,25853
206,48019,21763
207,30087,9250
208,35059,4175
209,26153,8069
210,36111,179303
211,34007,507367
212,17083,22069
213,51085,104449
214,20199,1575
215,26003,9194
216,5049,12139
217,48215,849389
218,37155,133442
219,26123,48142
220,41049,11215
221,27153,24440
222,5083,21757
223,37109,81441
224,5091,43759
225,12095,1321194
226,8111,544
227,16041,13279
228,13045,116022
229,20161,75296
230,48413,3061
231,51167,27408
232,37027,81779
233,16065,38705
234,18173,61928
235,21001,19241
236,21077,8703
237,21097,18668
238,23023,35277
239,30097,3653
240,48181,128560
241,42059,37144
242,2188,7734
243,20051,28878
244,1065,14887
245,1105,9486
246,1033,54495
247,20151,9582
248,21017,20144
249,47149,307128
250,13075,17184
251,20101,1642
252,40059,3847
253,17147,16427
254,48107,5861
255,72053,32001
256,1063,8426
257,16033,1077
258,19109,15075
259,72151,34149
260,38013,2213
261,37063,306457
262,19085,14143
263,31103,792
264,19187,36757
265,17151,4249
266,47159,19458
267,51089,51588
268,51510,156505
269,19101,18077
270,30049,67077
271,49013,20219
272,40003,5857
273,48119,5215
274,47169,9573
275,21193,26917
276,46039,4306
277,41029,214267
278,72067,16180
279,48507,12131
280,31007,696
281,19121,15890
282,12011,1909151
283,13279,27048
284,26151,41376
285,48397,93642
286,26163,1761382
287,27105,21839
288,27001,15834
289,38071,11557
290,37145,39305
291,20195,2858
292,28151,47086
293,48133,18270
294,28055,1328
295,48123,20435
296,48005,87607
297,45081,20299
298,29125,8884
299,5001,18124
300,29109,38133
301,51540,47042
302,17011,33381
303,39145,76377
304,37115,21405
305,16053,23431
306,39163,13111
307,48309,248429
308,16037,4141
309,19089,9264
310,12099,1446277
311,13181,7799
312,1013,20025
313,47165,179473
314,51097,7052
315,5015,27887
316,51820,21926
317,2220,8738
318,41051,798647
319,47061,13331
320,27057,20862
321,38081,3883
322,36089,109558
323,29179,6315
324,6067,1510023
325,39125,18872
326,18179,27947
327,51063,15666
328,6083,443738
329,54005,22817
330,28009,8253
331,21055,9083
332,19147,9055
333,19159,4984
334,37151,142958
335,24015,102517
336,18171,8247
337,31077,2410
338,31095,7188
339,31151,14288
340,21119,15513
341,19045,47218
342,27063,10047
343,27039,20582
344,27047,30526
345,6009,45235
346,25001,213690
347,51119,10700
348,42065,44084
349,18089,486849
350,47003,47558
351,47027,7686
352,17029,51736
353,47097,26297
354,41001,15984
355,36097,17992
356,26159,75272
357,17131,15693
358,21127,15783
359,21175,13285
360,21177,31081
361,17049,34174
362,47105,51610
363,46025,3673
364,15003,987638
365,12041,17615
366,18157,189294
367,42109,40466
368,48277,49532
369,12086,2715516
370,31057,2023
371,48289,17098
372,8097,17909
373,38035,70400
374,18091,110552
375,18057,316095
376,51595,5381
377,40081,34854
378,20071,1200
379,13145,33590
380,13251,13990
381,72127,344606
382,48433,1385
383,39069,27316
384,33009,89811
385,29145,58202
386,18129,25589
387,48311,662
388,17035,10865
389,13297,90132
390,27121,10980
391,51157,7332
392,51009,31882
393,6111,848112
394,17033,19088
395,8093,17392
396,6037,10098052
397,4027,207829
398,13129,56790
399,19025,9780
400,12055,102101
401,51580,5582
402,50017,28937
403,20113,28630
404,4021,419721
405,39051,42305
406,8003,16444
407,12017,143087
408,72049,1314
409,72051,37208
410,47041,19601
411,42031,38827
412,46097,2229
413,46073,2029
414,18031,26552
415,18037,42418
416,51057,11036
417,45089,31794
418,36031,37751
419,19195,7489
420,40063,13460
421,51027,22138
422,51005,15286
423,28087,59437
424,18143,23743
425,8099,12052
426,48435,3865
427,72121,23054
428,40101,69084
429,29043,84275
430,72039,16912
431,28073,61223
432,18137,28425
433,38057,8570
434,13147,25631
435,22049,15926
436,51133,12223
437,48157,739342
438,55047,18757
439,30073,6044
440,55127,103013
