FIPS code,Cumulative deaths
6037,8572
4013,4447
6071,1304
6065,1666
17031,7505
6059,1718
6073,1217
12086,4017
48113,1765
32003,2080
48201,3178
48439,1205
6085,561
36103,2139
42003,741
36081,7424
4019,836
48029,1591
6029,470
25017,2551
39035,832
36047,7583
6067,711
42101,2197
12011,1757
39049,693
18097,1006
49035,487
6019,557
36059,2306
44007,1190
6001,563
25009,1560
47000,105
47157,761
26163,3465
12095,684
48085,309
47037,481
9009,1409
53033,936
40109,384
9003,1716
12057,1011
55079,848
39061,401
9001,1612
37119,491
27053,1259
48121,274
29189,1215
25025,1309
36055,382
6111,204
36119,1581
6013,290
25027,1377
49049,186
36005,5066
13135,568
36061,3255
47093,221
12031,692
12099,1796
35001,442
17043,920
42091,1025
13121,754
26125,1495
34023,1577
36029,995
25005,977
24033,1007
10003,411
24031,1039
37183,328
8041,457
40143,328
42129,317
42133,313
21111,490
6077,549
42017,811
39113,306
17197,691
13067,542
6107,339
47149,201
1073,570
6099,490
34013,2316
16001,296
4021,307
39153,469
34017,1649
26099,1450
12103,966
45045,457
20091,357
47065,223
42071,628
29095,532
34003,2223
6081,183
48453,511
48141,1418
51059,648
53053,298
32031,378
4027,435
34031,1380
31055,454
34025,956
8031,622
25021,1230
8005,510
20173,220
36085,1196
8001,440
18089,537
36067,300
48303,474
26081,472
17097,729
39095,495
53063,300
34029,1229
55133,311
39151,257
18057,227
24005,841
42011,502
13089,499
25023,943
17089,551
12071,626
42045,864
48157,355
27123,607
39017,176
26000,120
25013,979
6053,167
6095,93
34039,1494
34007,746
42077,434
53061,330
12105,735
18003,413
8059,585
41051,335
6025,388
33011,371
48339,237
42029,443
42079,389
48215,2145
42095,370
6075,172
37081,282
49011,75
24003,319
27037,241
26049,529
6097,166
25000,6
53007,31
6061,97
11001,720
37067,189
53077,300
48039,214
5119,330
2020,103
48491,187
24510,635
42051,50
42043,258
12101,329
29183,249
47165,167
34005,575
17119,344
19153,380
51153,244
22051,643
42049,140
34027,922
33015,122
36065,200
47187,103
45083,347
48479,418
27003,268
18141,290
12097,272
21067,130
48329,172
49057,76
39093,132
18157,52
13000,318
39165,100
39099,311
42041,233
36071,556
16027,188
17163,317
4025,152
47125,102
13139,211
55025,142
42019,136
47189,103
6083,145
17201,329
8123,253
40027,141
5143,201
12033,337
42007,203
1089,165
34021,694
53011,136
29077,238
4015,290
42039,49
41067,127
36087,733
16055,102
45079,317
18039,282
36001,174
42125,103
9011,202
12009,486
47163,150
8101,241
39025,60
42081,79
8069,101
12081,400
12127,398
36027,209
37071,203
42055,169
46099,237
45063,249
10005,276
42021,170
12117,301
18081,201
45091,164
13057,122
5007,215
49053,98
34015,333
47179,135
48167,196
47155,54
48309,224
8035,150
42013,122
39041,50
22103,310
17111,187
22033,550
18063,187
22055,172
41047,188
31109,113
44003,164
12069,275
26139,226
18163,172
27163,154
51810,129
6047,207
28033,116
20209,187
55101,232
35045,268
55009,165
37051,127
39085,97
6031,101
48139,141
37035,117
48355,517
28049,229
26161,163
45051,288
53005,150
13245,241
12115,450
6079,54
6039,111
47011,52
13063,213
37179,87
10001,146
37133,54
24021,165
13151,147
17143,170
47009,72
48251,131
42111,42
36063,144
39045,70
39155,198
37097,61
6087,64
12083,428
29510,276
37025,120
39057,97
37063,129
45077,123
12021,312
42107,215
53017,13
22071,660
29099,121
24043,103
39089,102
51107,154
45007,262
12073,167
6007,74
40017,44
39103,76
13313,105
37101,90
26145,327
41005,104
39023,150
6113,98
26065,155
34035,640
4005,193
1117,89
42075,137
31153,66
48027,141
18127,119
23005,82
34001,328
18095,150
28047,130
12113,114
12109,107
20177,183
42027,113
42085,86
1003,145
13117,71
33013,42
48041,127
48367,80
42069,253
47119,94
4017,292
51087,271
12091,191
39139,54
