FIPS,12/14/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/20/2020,12/23/2020
6037,5178,4343,5504,5752,5831,5820,5602,5817
4013,3618,3701,3883,3859,3811,3652,3539,3404
6071,4645,4143,4865,4898,4938,5229,5174,5580
6065,3548,3338,3797,3950,4119,4241,4342,4820
17031,3579,3629,3615,3616,3564,3539,3510,3367
6059,3226,2861,3483,3586,3719,3833,3949,4102
6073,3697,3603,3997,3971,3986,3876,3906,4129
12086,6298,6261,6251,6253,6256,6306,6330,6432
48113,2662,2710,2752,2801,2746,2676,2693,2581
32003,3569,3526,3475,3471,3546,3723,3682,3923
48201,2259,2380,2404,2445,2450,2475,2469,2462
48439,2478,2542,2725,2840,2768,2678,2772,2814
6085,5187,4897,5387,5210,5294,5486,5667,5730
36103,5813,5702,5639,5656,5608,5691,5784,5797
42003,3541,3572,3549,3544,3466,3618,3635,3525
36081,6317,6394,6476,6693,6822,6858,6990,7033
4019,2682,2738,2815,2794,2903,2911,2814,2915
48029,2560,2638,2610,2579,2504,2414,2367,2350
6029,3134,3077,3656,3871,3991,4048,4246,4046
25017,9879,9745,9658,9935,9845,9760,9904,9856
39035,1163,1334,1406,1368,1328,1402,1415,1222
36047,5290,5288,5368,5398,5509,5594,5642,5744
6067,3027,2818,3212,3251,3215,3219,3265,3479
42101,3807,3795,3733,3744,3739,3695,3722,3721
12011,4228,4195,4260,4281,4267,4271,4194,4239
39049,1914,1951,1914,1879,1916,2015,2016,2049
18097,4277,4335,4295,4225,4152,4307,4262,3828
49035,4400,4443,4426,4146,4242,4179,4130,4316
6019,2918,2824,2989,3011,3130,3294,3454,3983
36059,6321,6205,6244,6381,6321,6355,6552,6532
44007,9760,9782,9847,9899,10027,10007,9903,9914
6001,3881,3556,4170,4236,4187,4266,4361,4423
25009,8754,8788,8707,8865,8860,9005,9112,9151
47000,,,,,,,,
47157,4456,4422,4329,4273,4230,4148,4273,4113
26163,3910,3830,3736,3581,3510,3432,3406,3262
12095,2671,2590,2625,2540,2551,2600,2593,2700
48085,3021,3090,3251,3274,3282,3340,3515,3679
47037,3932,3820,3880,3741,3647,3629,3819,4125
