FIPS,12/14/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/20/2020,12/23/2020
6037,,,0.158,0.163,0.176,,,0.174
4013,0.167,0.167,0.158,0.155,0.154,0.155,0.149,0.158
6071,,,0.207,0.206,0.219,,,0.232
6065,,,0.225,0.23,0.237,,,0.225
17031,0.131,0.131,0.126,0.122,0.118,0.114,0.11,0.102
6059,,,0.172,0.176,0.182,,,0.18
6073,,,0.061,0.076,0.101,,,0.133
12086,0.126,0.127,0.126,0.127,0.124,0.122,0.121,0.115
48113,0.15,0.154,0.154,0.156,0.16,0.161,0.161,0.164
32003,0.209,0.2,0.201,0.198,0.191,0.185,0.187,0.198
48201,0.114,0.115,0.117,0.121,0.118,0.119,0.122,0.127
48439,0.184,0.188,0.186,0.189,0.191,0.193,0.186,0.185
6085,,,0.077,0.075,0.078,,,0.077
36103,0.079,0.08,0.084,0.085,0.088,0.091,0.092,0.095
42003,0.134,0.133,0.13,0.13,0.128,0.125,0.123,0.114
36081,0.07,0.072,0.071,0.073,0.075,0.076,0.075,0.083
4019,0.249,0.248,0.237,0.243,0.243,0.247,0.241,0.253
48029,0.145,0.159,0.158,0.163,0.169,0.176,0.172,0.172
6029,,,0.197,0.204,0.211,,,0.203
25017,0.051,0.05,0.052,0.053,0.052,0.052,0.05,0.048
39035,0.198,0.2,0.191,0.188,0.188,0.197,0.166,0.178
36047,0.057,0.057,0.058,0.058,0.06,0.061,0.061,0.065
6067,,,0.121,0.126,0.126,,,0.116
42101,0.128,0.126,0.122,0.116,0.117,0.113,0.11,0.107
12011,0.11,0.111,0.109,0.112,0.112,0.108,0.107,0.101
39049,0.156,0.154,0.147,0.145,0.143,0.142,0.144,0.142
18097,0.149,0.152,0.157,0.153,0.151,0.146,0.137,0.125
49035,0.142,0.138,0.134,0.132,0.131,0.13,0.128,0.127
6019,,,0.089,0.105,0.131,,,0.173
36059,0.068,0.069,0.071,0.074,0.075,0.077,0.076,0.078
44007,0.092,0.091,0.087,0.084,0.084,0.083,0.081,0.072
6001,,,0.076,0.078,0.079,,,0.081
25009,0.101,0.101,0.101,0.102,0.102,0.104,0.102,0.089
47000,0.692,0.659,0.511,0.529,0.474,0.551,0.683,0.442
47157,0.105,0.111,0.124,0.126,0.131,0.134,0.111,0.111
26163,0.11,0.106,0.105,0.1,0.099,0.094,0.093,0.088
12095,0.088,0.088,0.092,0.091,0.089,0.085,0.085,0.086
48085,0.11,0.107,0.11,0.107,0.107,0.105,0.114,0.118
47037,0.104,0.168,0.174,0.176,0.178,0.189,0.174,0.14
9009,,,0.11,0.112,,,,0.136
53033,0.086,0.083,0.081,0.082,0.08,0.077,0.075,0.072
40109,0.181,0.181,0.186,0.185,0.184,0.189,0.196,0.195
9003,,,0.107,0.108,,,,0.113
12057,0.09,0.09,0.094,0.097,0.101,0.097,0.099,0.101
55079,,,0.1,0.1,0.097,0.093,0.09,0.082
39061,0.167,0.167,0.167,0.158,0.152,0.151,0.152,0.15
9001,,,0.115,0.113,,,,0.12
37119,0.116,0.114,0.117,0.118,0.116,0.114,0.113,0.11
27053,0.09,0.087,0.084,0.08,0.072,0.069,0.061,0.046
48121,0.129,0.125,0.128,0.131,0.134,0.132,0.135,0.143
29189,0.16,0.16,0.158,0.158,0.155,0.153,0.152,0.151
25025,0.044,0.047,0.05,0.053,0.051,0.051,0.05,0.046
36055,0.108,0.112,0.112,0.114,0.116,0.113,0.113,0.111
6111,,,0.129,0.137,0.145,,,0.118
36119,0.078,0.077,0.078,0.077,0.079,0.078,0.078,0.075
6013,,,0.091,0.091,0.095,,,0.087
25027,0.075,0.075,0.078,0.079,0.078,0.078,0.076,0.078
49049,0.175,0.179,0.197,0.191,0.187,0.185,0.184,0.182
36005,0.056,0.056,0.059,0.061,0.063,0.065,0.066,0.071
13135,0.159,0.157,0.158,0.162,0.16,0.167,0.163,0.186
36061,0.033,0.033,0.033,0.033,0.034,0.034,0.033,0.034
47093,0.617,0.253,0.225,0.236,0.213,0.21,0.232,0.21
12031,0.093,0.095,0.104,0.104,0.107,0.105,0.104,0.109
12099,0.09,0.089,0.092,0.094,0.095,0.091,0.09,0.095
35001,0.145,0.138,0.133,0.126,0.125,0.118,0.113,0.097
17043,0.108,0.109,0.105,0.106,0.1,0.098,0.095,0.086
42091,0.116,0.116,0.109,0.112,0.112,0.112,0.112,0.104
13121,0.1,0.101,0.107,0.106,0.108,0.111,0.109,0.105
26125,0.102,0.103,0.096,0.099,0.097,0.09,0.087,0.08
34023,0.112,0.112,0.116,0.122,,,,0.116
36029,0.086,0.088,0.084,0.086,0.082,0.081,0.081,0.079
25005,0.102,0.1,0.099,0.101,0.102,0.105,0.106,0.1
24033,0.094,0.094,0.097,0.1,0.103,0.106,0.102,0.089
10003,0.09,0.093,0.094,0.093,0.09,0.089,0.088,0.091
24031,0.071,0.066,0.071,0.074,0.069,0.069,0.066,0.065
37183,0.084,0.085,0.086,0.082,0.081,0.08,0.079,0.071
8041,0.112,0.112,0.11,0.108,0.103,0.1,0.096,0.085
40143,0.229,0.234,0.23,0.236,0.244,0.25,0.25,0.243
42129,0.188,0.183,0.184,0.186,0.204,0.193,0.185,0.163
42133,0.186,0.184,0.182,0.187,0.186,0.186,0.18,0.196
21111,0.09,0.093,0.097,0.094,0.088,0.084,0.096,0.096
6077,,,0.125,0.123,0.132,,,0.149
42017,0.169,0.167,0.155,0.152,0.152,0.155,0.149,0.15
39113,0.197,0.195,0.194,0.188,0.187,0.188,0.184,0.184
17197,0.141,0.138,0.142,0.15,0.149,0.145,0.14,0.13
13067,0.111,0.114,0.125,0.119,0.124,0.118,0.112,0.108
6107,,,0.2,0.204,0.2,,,0.194
47149,0.261,0.213,0.217,0.221,0.224,0.244,0.225,0.191
1073,0.182,0.188,0.19,0.195,0.183,0.177,0.18,0.13
6099,,,0.166,0.166,0.171,,,0.17
34013,0.099,0.1,0.096,0.093,,,,0.094
16001,0.15,0.156,0.16,0.158,0.15,0.144,0.137,0.134
4021,0.2,0.198,0.201,0.19,0.189,0.191,0.182,0.181
39153,0.242,0.241,0.237,0.23,0.223,0.245,0.239,0.232
34017,0.117,0.116,0.114,0.122,,,,0.119
26099,0.145,0.137,0.128,0.127,0.125,0.114,0.11,0.106
12103,0.075,0.074,0.078,0.081,0.081,0.077,0.079,0.087
45045,0.206,0.213,0.246,0.245,0.246,0.246,0.24,0.221
20091,0.128,0.122,0.117,0.113,0.113,0.109,0.109,0.103
47065,0.296,0.177,0.187,0.19,0.19,0.212,0.211,0.191
42071,0.157,0.153,0.157,0.165,0.169,0.176,0.179,0.164
29095,0.154,0.152,0.145,0.144,0.144,0.134,0.14,0.143
34003,0.095,0.093,0.094,0.1,,,,0.104
6081,,,0.064,0.065,0.064,,,0.061
48453,0.081,0.083,0.085,0.089,0.093,0.092,0.086,0.078
48141,0.117,0.117,0.118,0.109,0.114,0.118,0.098,0.1
51059,0.161,0.167,0.171,0.16,0.15,0.15,0.147,0.146
53053,0.096,0.093,0.088,0.088,0.087,0.078,0.078,0.075
32031,0.207,0.208,0.207,0.201,0.194,0.19,0.192,0.198
4027,0.291,0.306,0.293,0.291,0.287,0.298,0.283,0.291
34031,0.13,0.126,0.137,0.139,,,,0.135
31055,0.146,0.146,0.149,0.151,0.149,0.146,0.147,0.136
34025,0.104,0.102,0.102,0.098,,,,0.102
8031,0.071,0.069,0.067,0.064,0.062,0.058,0.056,0.049
25021,0.049,0.052,0.053,0.054,0.054,0.053,0.052,0.052
8005,0.084,0.084,0.08,0.079,0.079,0.076,0.073,0.071
20173,0.213,0.208,0.201,0.203,0.195,0.191,0.198,0.209
36085,0.076,0.076,0.075,0.077,0.08,0.082,0.083,0.084
8001,0.116,0.115,0.107,0.106,0.102,0.1,0.095,0.096
18089,0.149,0.145,0.147,0.147,0.144,0.152,0.151,0.153
36067,0.108,0.111,0.107,0.114,0.11,0.106,0.104,0.105
48303,0.132,0.131,0.11,0.11,0.111,0.115,0.119,0.143
26081,0.114,0.108,0.107,0.103,0.1,0.096,0.095,0.092
17097,0.117,0.118,0.115,0.113,0.114,0.114,0.109,0.105
39095,0.178,0.179,0.176,0.177,0.177,0.182,0.171,0.176
53063,0.101,0.099,0.102,0.1,0.101,0.1,0.1,0.113
34029,0.115,0.112,0.115,0.117,,,,0.12
55133,,,0.137,0.135,0.131,0.123,0.119,0.109
39151,0.242,0.238,0.232,0.221,0.226,0.216,0.237,0.233
18057,0.133,0.139,0.139,0.138,0.133,0.133,0.127,0.114
24005,0.087,0.091,0.1,0.101,0.096,0.098,0.094,0.084
42011,0.165,0.162,0.163,0.161,0.172,0.17,0.175,0.178
13089,0.111,0.113,0.11,0.109,0.11,0.106,0.103,0.102
25023,0.074,0.075,0.075,0.078,0.078,0.078,0.077,0.079
17089,0.139,0.14,0.135,0.135,0.135,0.134,0.126,0.123
12071,0.094,0.102,0.098,0.096,0.093,0.09,0.094,0.099
42045,0.114,0.114,0.112,0.107,0.109,0.109,0.112,0.11
48157,0.106,0.109,0.109,0.114,0.114,0.112,0.112,0.121
27123,0.1,0.095,0.09,0.087,0.082,0.08,0.073,0.06
39017,0.245,0.244,0.221,0.211,0.212,0.222,0.225,0.211
26000,0.061,0.059,0.059,0.061,0.06,0.063,0.065,0.133
25013,0.084,0.084,0.089,0.09,0.088,0.087,0.086,0.087
6053,,,0.125,0.134,0.13,,,0.16
6095,,,0.095,0.097,0.105,,,0.095
34039,0.09,0.088,0.078,0.07,,,,0.097
34007,0.128,0.125,0.131,0.118,,,,0.129
42077,0.172,0.161,0.16,0.163,0.165,0.173,0.183,0.191
53061,0.075,0.071,0.072,0.069,0.071,0.065,0.063,0.073
12105,0.087,0.088,0.092,0.097,0.102,0.099,0.099,0.107
18003,0.169,0.176,0.183,0.189,0.18,0.192,0.181,0.172
8059,0.077,0.078,0.074,0.071,0.071,0.066,0.064,0.054
41051,0.082,0.082,0.085,0.082,0.078,0.081,0.082,0.079
6025,,,0.18,0.166,0.141,,,0.127
33011,0.15,0.152,0.149,0.142,0.147,0.152,0.16,0.158
48339,0.14,0.141,0.149,0.143,0.143,0.142,0.145,0.154
42029,0.113,0.113,0.115,0.116,0.116,0.118,0.115,0.11
42079,0.166,0.174,0.17,0.207,0.216,0.216,0.205,0.18
48215,0.136,0.148,0.147,0.149,0.153,0.16,0.16,0.167
42095,0.151,0.146,0.149,0.153,0.158,0.163,0.163,0.169
6075,,,0.038,0.039,0.04,,,0.033
37081,0.108,0.104,0.106,0.108,0.107,0.103,0.102,0.093
49011,0.15,0.15,0.157,0.158,0.16,0.158,0.158,0.16
24003,0.076,0.077,0.078,0.081,0.085,0.083,0.083,0.082
27037,0.104,0.1,0.097,0.096,0.092,0.09,0.084,0.064
26049,0.121,0.126,0.122,0.121,0.117,0.112,0.108,0.103
6097,,,0.084,0.087,0.09,,,0.077
25000,0.014,0.014,0.017,0.017,0.017,0.017,0.017,0.016
53007,0.134,0.133,0.131,0.13,0.129,0.13,0.128,0.141
6061,,,0.134,0.135,0.134,,,0.135
11001,,,0.044,0.044,0.043,0.042,0.041,0.038
37067,0.124,0.127,0.126,0.132,0.128,0.124,0.129,0.123
53077,0.118,0.121,0.137,0.145,0.152,0.182,0.199,0.193
48039,0.125,0.136,0.141,0.152,0.152,0.155,0.16,0.156
5119,0.08,0.084,0.091,0.097,0.1,0.099,0.097,0.1
2020,0.067,0.068,0.065,0.061,0.047,0.041,0.037,0.043
48491,0.095,0.098,0.098,0.105,0.108,0.108,0.111,0.113
