radius,layer,lat,lon
250,l1_search,12.153995,145.495489
250,l1_search,15.830171,144.754882
250,l1_search,-15.403020,-170.922170
250,l1_search,18.263261,147.555473
250,l1_search,19.425781,143.955899
250,l1_search,-14.214692,-168.155953
250,l1_search,-10.882201,-170.177598
250,l1_search,24.284742,-171.323469
250,l1_search,26.729569,-174.294075
250,l1_search,29.068570,-177.446816
250,l1_search,22.525474,-164.681547
250,l1_search,25.165796,-167.388106
250,l1_search,17.423293,-156.051464
250,l1_search,23.168749,-160.773588
250,l1_search,20.755297,-154.492416
250,l1_search,50.351342,-0.717919
250,l1_search,52.443511,174.255581
250,l1_search,51.514106,-175.227856
250,l1_search,52.471035,-169.323124
250,l1_search,53.218600,-163.224781
250,l1_search,55.811789,-167.534491
250,l1_search,58.326740,-172.305203
250,l1_search,53.745996,-156.975750
250,l1_search,56.498550,-160.999936
250,l1_search,59.196646,-165.489769
250,l1_search,61.833864,-170.506999
250,l1_search,56.944882,-154.314945
250,l1_search,59.814613,-158.459876
250,l1_search,62.654801,-163.132108
250,l1_search,65.465248,-168.411510
250,l1_search,60.166657,-151.285434
250,l1_search,63.192651,-155.537066
250,l1_search,66.231948,-160.387435
250,l1_search,69.302445,-165.941072
250,l1_search,60.244269,-144.045741
250,l1_search,63.431596,-147.812562
250,l1_search,66.672904,-152.144989
250,l1_search,70.008257,-157.157934
250,l1_search,40.613418,-124.128777
250,l1_search,43.862996,-125.685599
250,l1_search,47.095128,-127.418147
250,l1_search,53.542134,-131.537934
250,l1_search,56.779161,-134.008147
250,l1_search,60.045516,-136.824522
250,l1_search,63.364180,-140.059111
250,l1_search,66.770549,-143.803032
250,l1_search,70.325449,-148.171944
250,l1_search,43.061315,-120.544204
250,l1_search,49.628837,-123.556898
250,l1_search,56.225961,-127.381897
250,l1_search,70.235719,-139.140265
250,l1_search,38.741357,-114.544112
250,l1_search,42.083709,-115.549516
250,l1_search,45.413051,-116.668360
250,l1_search,30.732098,-108.688205
250,l1_search,34.162587,-109.301058
250,l1_search,37.561596,-109.975667
250,l1_search,44.300716,-111.551301
250,l1_search,47.660880,-112.478883
250,l1_search,29.339060,-104.706945
250,l1_search,43.019887,-106.633616
250,l1_search,46.403472,-107.255652
250,l1_search,49.795056,-107.954574
250,l1_search,27.807890,-100.873936
250,l1_search,31.296793,-101.100847
250,l1_search,38.173750,-101.624477
250,l1_search,41.580202,-101.928734
250,l1_search,44.978866,-102.267740
250,l1_search,48.381786,-102.647798
250,l1_search,46.804632,-97.615335
250,l1_search,50.223613,-97.716658
250,l1_search,27.886129,-93.561344
250,l1_search,48.485593,-92.671905
250,l1_search,46.603678,-87.941605
250,l1_search,47.968609,-82.768945
250,l1_search,23.139301,-79.813548
250,l1_search,46.848832,-73.147389
250,l1_search,47.705785,-67.685489
250,l1_search,16.661192,-67.752810
125,l2_search,21.822232,-161.032793
125,l2_search,19.217453,-156.736179
125,l2_search,20.668143,-157.893951
125,l2_search,22.095127,-159.089918
125,l2_search,20.883343,-155.968459
125,l2_search,22.331109,-157.135599
125,l2_search,39.507262,-125.137059
125,l2_search,34.165121,-120.808613
125,l2_search,35.825058,-121.416932
125,l2_search,32.018077,-118.078335
125,l2_search,40.339343,-120.982175
125,l2_search,41.982720,-121.654779
125,l2_search,48.519911,-124.738635
125,l2_search,36.552224,-117.447084
125,l2_search,38.219282,-117.993442
125,l2_search,39.879835,-118.567822
125,l2_search,41.534883,-119.172393
125,l2_search,44.832697,-120.481924
125,l2_search,46.477728,-121.192458
125,l2_search,32.651904,-114.287892
125,l2_search,34.345251,-114.729249
125,l2_search,37.707650,-115.678149
125,l2_search,39.378694,-116.189032
125,l2_search,41.044343,-116.726714
125,l2_search,46.020047,-118.523001
125,l2_search,47.675608,-119.191586
125,l2_search,49.331958,-119.900210
125,l2_search,32.071515,-112.177784
125,l2_search,35.469090,-112.972316
125,l2_search,37.156149,-113.399247
125,l2_search,40.511999,-114.320114
125,l2_search,47.182439,-116.483799
125,l2_search,48.848968,-117.105645
125,l2_search,31.454199,-110.101715
125,l2_search,33.166279,-110.437331
125,l2_search,34.869729,-110.789179
125,l2_search,36.565585,-111.158456
125,l2_search,38.254906,-111.546475
125,l2_search,41.618352,-112.384699
125,l2_search,43.294806,-112.838278
125,l2_search,48.318744,-114.361287
125,l2_search,32.521138,-108.345601
125,l2_search,35.936774,-108.957265
