case_id,confirmed_date,state_name,county_name,confirmed_count,death_count
1,2020-01-21,WA,Snohomish,1,0
2,2020-01-24,IL,Cook,1,0
3,2020-01-26,CA,Orange,1,0
4,2020-01-26,AZ,Maricopa,1,0
5,2020-01-26,CA,Los Angeles,1,0
6,2020-01-30,IL,Cook,1,0
7,2020-01-31,CA,Santa Clara,1,0
8,2020-02-01,MA,Suffolk,1,0
9,2020-02-02,CA,San Benito,1,0
10,2020-02-02,CA,San Benito,1,0
11,2020-02-02,CA,Santa Clara,1,0
12,2020-02-05,WI,Dane,1,0
13,2020-02-10,Wuhan Evacuee,Unknown,1,0
14,2020-02-12,Wuhan Evacuee,Unknown,1,0
15,2020-02-13,Wuhan Evacuee,Unknown,1,0
16,2020-02-18,Diamond Princess,Unassigned,1,0
17,2020-02-20,CA,Humboldt,1,0
18,2020-02-21,CA,Sacramento,1,0
19,2020-02-21,Diamond Princess,Unassigned,2,0
20,2020-02-21,Diamond Princess,Unassigned,15,0
21,2020-02-24,Diamond Princess,Unassigned,18,0
22,2020-02-25,Diamond Princess,Unassigned,4,0
23,2020-02-26,Diamond Princess,Unassigned,1,0
24,2020-02-26,CA,Solano,1,0
25,2020-02-27,Diamond Princess,Unassigned,1,0
26,2020-02-28,Diamond Princess,Unassigned,2,0
27,2020-02-28,CA,Santa Clara,1,1
28,2020-02-28,OR,Washington,1,0
29,2020-02-28,WA,Snohomish,1,0
30,2020-02-28,WA,King,1,0
31,2020-02-29,WA,King,1,1
32,2020-02-29,WA,King,1,1
33,2020-02-29,WA,King,1,0
34,2020-02-29,IL,Cook,1,0
35,2020-02-29,CA,Santa Clara,1,0
36,2020-03-01,RI,Providence,1,0
37,2020-03-01,WA,King,1,0
38,2020-03-01,WA,King,1,1
39,2020-03-01,CA,Alameda,1,0
40,2020-03-01,CA,Solano,1,0
41,2020-03-01,CA,Santa Clara,1,0
42,2020-03-01,CA,Santa Clara,1,0
43,2020-03-01,CA,Santa Clara,1,0
44,2020-03-01,NY,New York,1,0
45,2020-03-01,WA,King,1,1
46,2020-03-01,WA,King,1,1
47,2020-03-01,WA,King,1,0
48,2020-03-01,WA,King,1,1
49,2020-03-01,WA,Snohomish,1,1
50,2020-03-01,FL,Manatee,1,0
51,2020-03-01,FL,Hillsborough,1,0
52,2020-03-01,RI,Providence,1,0
53,2020-03-01,Diamond Princess,Unassigned,1,0
54,2020-03-01,OR,Washington,1,0
55,2020-03-01,Diamond Princess,Unassigned,1,0
56,2020-03-02,NH,Grafton,1,0
