"id","GEOID","NAME","total_population","male","female","male_50above","female_50above"
"1","01001","Autauga County, Alabama",55200,26874,28326,8720,10134
"2","01003","Baldwin County, Alabama",208107,101188,106919,39826,44766
"3","01005","Barbour County, Alabama",25782,13697,12085,4588,5134
"4","01007","Bibb County, Alabama",22527,12152,10375,3960,4037
"5","01009","Blount County, Alabama",57645,28434,29211,10272,11457
"6","01011","Bullock County, Alabama",10352,5663,4689,1861,1913
"7","01013","Butler County, Alabama",20025,9368,10657,3411,4484
"8","01015","Calhoun County, Alabama",115098,55315,59783,19672,23453
"9","01017","Chambers County, Alabama",33826,16257,17569,6148,7471
"10","01019","Cherokee County, Alabama",25853,12820,13033,5498,5980
"11","01021","Chilton County, Alabama",43930,21672,22258,7347,8166
"12","01023","Choctaw County, Alabama",13075,6253,6822,2657,3181
"13","01025","Clarke County, Alabama",24387,11539,12848,4475,5313
"14","01027","Clay County, Alabama",13378,6464,6914,2631,2992
"15","01029","Cleburne County, Alabama",14938,7281,7657,2723,3083
"16","01031","Coffee County, Alabama",51288,25314,25974,8487,9717
"17","01033","Colbert County, Alabama",54495,26075,28420,10023,12005
"18","01035","Conecuh County, Alabama",12514,6037,6477,2552,2917
"19","01037","Coosa County, Alabama",10855,5501,5354,2437,2596
"20","01039","Covington County, Alabama",37351,18172,19179,7290,8490
"21","01041","Crenshaw County, Alabama",13865,6814,7051,2577,2974
"22","01043","Cullman County, Alabama",82313,40560,41753,14921,16690
"23","01045","Dale County, Alabama",49255,24234,25021,8022,9382
"24","01047","Dallas County, Alabama",40029,18448,21581,6751,8473
"25","01049","DeKalb County, Alabama",71200,35304,35896,11977,13521
"26","01051","Elmore County, Alabama",81212,39450,41762,13096,14840
"27","01053","Escambia County, Alabama",37328,19067,18261,6533,7259
"28","01055","Etowah County, Alabama",102939,49651,53288,18241,21663
"29","01057","Fayette County, Alabama",16585,8170,8415,3188,3673
"30","01059","Franklin County, Alabama",31542,15602,15940,5009,5937
"31","01061","Geneva County, Alabama",26491,12971,13520,5109,5705
"32","01063","Greene County, Alabama",8426,3950,4476,1606,2044
"33","01065","Hale County, Alabama",14887,7019,7868,2683,3249
"34","01067","Henry County, Alabama",17124,8232,8892,3307,3981
"35","01069","Houston County, Alabama",104352,50029,54323,17494,20999
