FIPS,State,County,SmkPrc,AdObPrc,ExcDrkPrc,DrDthAlcIn,ChlmRr,AdDibPrc,HIVRt,FdInsPrc,DrOvrdDth,DrOverdMrtRt
1000,Alabama,,20.92735,35.50000,13.90352,27.58917,614.10000,14.20000,309.90000,16.30000,2366.00000,16.17676
1001,Alabama,Autauga,18.08156,33.30000,15.02603,26.78571,407.20000,11.10000,219.10000,13.20000,18.00000,10.80945
1003,Alabama,Baldwin,17.48903,31.00000,17.95831,30.76923,325.00000,10.70000,166.50000,11.60000,87.00000,13.61049
1005,Alabama,Barbour,21.99998,41.70000,12.84402,40.00000,716.30000,17.60000,420.60000,22.00000,,
1007,Alabama,Bibb,19.11420,37.60000,15.57004,27.58621,339.70000,14.50000,196.80000,14.30000,19.00000,28.06043
1009,Alabama,Blount,19.20867,33.80000,14.23059,19.44444,234.40000,17.00000,99.80000,10.70000,42.00000,24.19954
1011,Alabama,Bullock,22.89466,37.20000,12.09410,60.00000,863.30000,23.70000,632.90000,24.80000,,
1013,Alabama,Butler,21.76533,43.30000,11.85740,27.45098,761.70000,19.20000,311.00000,20.60000,,
1015,Alabama,Calhoun,20.61256,38.50000,13.84223,18.75000,654.60000,17.50000,226.30000,15.70000,63.00000,18.33442
1017,Alabama,Chambers,19.39293,40.10000,12.74573,28.57143,611.00000,19.90000,387.70000,17.90000,10.00000,9.88426
1019,Alabama,Cherokee,17.49867,35.00000,14.10656,19.60784,321.00000,15.20000,116.90000,12.50000,10.00000,12.88427
1021,Alabama,Chilton,20.18898,37.70000,14.50937,16.04938,354.00000,18.60000,110.20000,13.10000,16.00000,12.10645
1023,Alabama,Choctaw,18.79325,41.30000,11.64229,50.00000,563.90000,17.40000,231.50000,19.50000,,
1025,Alabama,Clarke,20.57966,34.10000,11.86901,29.72973,643.60000,22.40000,159.50000,22.90000,,
1027,Alabama,Clay,19.62035,40.60000,13.28650,40.00000,463.80000,13.50000,174.20000,14.50000,,
1029,Alabama,Cleburne,18.37447,37.30000,14.46297,29.16667,187.90000,12.50000,120.30000,13.50000,,
1031,Alabama,Coffee,17.44476,34.20000,15.18329,35.84906,584.10000,16.10000,152.50000,14.20000,12.00000,7.74149
1033,Alabama,Colbert,18.65882,30.60000,14.69759,22.36842,526.60000,16.20000,99.70000,14.70000,11.00000,6.72873
1035,Alabama,Conecuh,21.10751,43.00000,12.04271,31.25000,665.70000,25.90000,310.40000,20.90000,,
1037,Alabama,Coosa,20.39997,40.30000,12.67054,29.41176,483.50000,20.80000,146.70000,15.70000,,
1039,Alabama,Covington,19.24945,31.70000,13.50030,22.44898,512.20000,15.30000,155.50000,14.60000,,
1041,Alabama,Crenshaw,18.64693,38.00000,14.61701,41.17647,793.00000,18.20000,223.50000,15.80000,,
1043,Alabama,Cullman,17.90107,36.90000,14.88718,30.40000,233.20000,19.30000,78.20000,11.80000,57.00000,22.92213
1045,Alabama,Dale,20.05739,37.20000,14.53796,29.54545,747.60000,15.80000,244.10000,16.10000,10.00000,6.78389
1047,Alabama,Dallas,24.08899,43.10000,11.33826,54.71698,951.20000,15.90000,422.20000,27.20000,,
1049,Alabama,DeKalb,21.02827,29.20000,12.45825,30.37975,276.50000,12.80000,88.30000,12.40000,59.00000,27.58272
1051,Alabama,Elmore,17.45250,34.30000,15.85290,37.97468,538.70000,15.80000,222.00000,13.30000,24.00000,9.78143
1053,Alabama,Escambia,22.41258,39.40000,12.97517,34.92063,472.70000,18.80000,222.10000,18.40000,33.00000,29.48456
1055,Alabama,Etowah,20.14740,35.50000,14.03053,18.94737,702.60000,15.70000,187.30000,14.60000,78.00000,25.33948
1057,Alabama,Fayette,18.00159,41.00000,13.51852,42.10526,273.30000,23.30000,99.50000,14.40000,,
1059,Alabama,Franklin,19.25058,34.30000,13.37365,11.42857,263.50000,14.80000,53.80000,12.90000,,
1061,Alabama,Geneva,20.00360,38.70000,13.72214,38.46154,420.10000,16.90000,151.90000,14.80000,14.00000,17.64357
1063,Alabama,Greene,24.63282,35.50000,9.57158,24.39024,936.40000,14.50000,378.70000,29.70000,,
1065,Alabama,Hale,22.07729,40.40000,11.40460,25.00000,1114.00000,17.80000,436.00000,22.20000,,
1067,Alabama,Henry,18.42985,36.30000,13.80933,23.52941,524.90000,16.60000,212.00000,14.20000,,
1069,Alabama,Houston,19.24978,38.10000,13.52370,25.00000,588.40000,13.50000,366.50000,16.50000,41.00000,13.09385
1071,Alabama,Jackson,19.95892,38.70000,13.49202,25.00000,263.90000,16.50000,74.30000,13.60000,16.00000,10.27070
1073,Alabama,Jefferson,17.62205,34.60000,14.68864,16.15202,914.90000,12.90000,621.10000,17.80000,594.00000,30.03006
1075,Alabama,Lamar,20.43055,35.70000,12.96669,7.14286,415.90000,18.80000,134.90000,15.20000,,
1077,Alabama,Lauderdale,16.65600,32.50000,13.74676,25.30120,427.90000,13.80000,91.90000,14.00000,36.00000,12.98500
1079,Alabama,Lawrence,20.18765,32.60000,14.33146,27.65957,142.20000,19.30000,81.80000,13.40000,16.00000,16.12091
1081,Alabama,Lee,17.56014,29.90000,15.74760,28.73563,324.20000,9.00000,197.70000,17.00000,35.00000,7.22341
1083,Alabama,Limestone,18.17336,33.90000,14.96338,26.16822,313.60000,13.80000,129.50000,12.20000,22.00000,7.76482
1085,Alabama,Lowndes,22.61591,46.90000,10.35373,31.25000,1052.00000,13.90000,606.40000,26.40000,,
1087,Alabama,Macon,21.41470,49.60000,10.73505,35.18519,1237.00000,23.00000,496.60000,25.60000,,
1089,Alabama,Madison,16.82017,32.90000,15.58026,32.04420,625.40000,13.50000,236.60000,13.80000,185.00000,17.05805
1091,Alabama,Marengo,21.35600,42.20000,11.86980,35.48387,800.00000,17.60000,195.60000,22.00000,,
1093,Alabama,Marion,19.06020,36.80000,14.03490,16.12903,298.30000,20.40000,113.50000,13.30000,,
1095,Alabama,Marshall,21.01785,34.40000,14.19656,24.09639,344.30000,11.80000,115.40000,12.20000,42.00000,14.64364
1097,Alabama,Mobile,19.36997,36.30000,15.19330,34.93333,732.40000,14.00000,510.80000,17.90000,172.00000,13.84252
1099,Alabama,Monroe,23.25754,41.80000,11.23033,29.03226,576.70000,18.40000,213.70000,24.10000,,
1101,Alabama,Montgomery,19.68315,37.70000,13.85101,28.22086,1247.80000,13.90000,749.80000,20.70000,48.00000,7.07174
1103,Alabama,Morgan,18.85571,32.40000,13.55037,26.02740,297.90000,12.70000,140.70000,12.90000,54.00000,15.12948
1105,Alabama,Perry,26.00309,43.40000,9.68657,58.33333,1199.30000,15.80000,272.40000,28.60000,,
1107,Alabama,Pickens,21.19912,34.90000,12.32901,22.72727,684.00000,15.00000,280.70000,18.90000,11.00000,18.20047
1109,Alabama,Pike,20.60466,36.20000,15.00951,38.46154,1076.10000,12.30000,356.50000,21.00000,,
1111,Alabama,Randolph,18.99836,37.40000,14.00682,40.74074,441.10000,16.50000,57.50000,15.30000,14.00000,20.57402
1113,Alabama,Russell,21.79132,45.10000,13.28765,18.68132,697.70000,19.00000,417.00000,19.20000,18.00000,10.40474
1115,Alabama,St. Clair,18.33530,36.60000,15.14834,18.36735,242.60000,13.80000,142.30000,11.70000,84.00000,31.70912
1117,Alabama,Shelby,15.56116,35.00000,17.04966,21.55172,254.20000,10.50000,155.40000,9.30000,114.00000,17.81434
1119,Alabama,Sumter,22.49191,42.80000,10.71974,36.66667,985.30000,20.50000,323.20000,27.70000,,
1121,Alabama,Talladega,23.15986,38.80000,13.93203,26.36364,729.40000,16.30000,268.00000,17.20000,37.00000,15.41692
1123,Alabama,Tallapoosa,18.18007,36.00000,13.18245,23.07692,521.10000,15.90000,188.30000,16.60000,19.00000,15.58591
1125,Alabama,Tuscaloosa,17.87263,34.60000,16.05199,33.16062,947.50000,11.90000,246.90000,16.40000,92.00000,14.77143
1127,Alabama,Walker,22.68098,39.60000,13.83630,24.48980,360.60000,14.20000,143.60000,14.60000,33.00000,17.12187
1129,Alabama,Washington,20.79009,32.90000,13.98978,40.00000,483.90000,16.60000,85.10000,17.20000,,
1131,Alabama,Wilcox,22.06663,47.70000,10.99890,48.00000,653.00000,19.90000,275.00000,29.30000,,
1133,Alabama,Winston,19.64797,37.80000,13.56004,20.00000,248.70000,19.50000,53.70000,13.10000,,
2000,Alaska,,21.00785,32.50000,21.29394,38.05774,802.10000,7.90000,114.30000,13.60000,385.00000,17.34916
2013,Alaska,Aleutians East,16.64681,50.50000,16.62580,,385.80000,12.60000,,12.50000,,
2016,Alaska,Aleutians West,15.14282,44.30000,19.19782,100.00000,277.60000,9.80000,,12.30000,,
2020,Alaska,Anchorage,15.04143,31.80000,21.46876,27.19298,857.10000,7.80000,,12.10000,171.00000,19.34201
2050,Alaska,Bethel,30.41802,31.00000,21.59029,60.00000,3252.90000,6.10000,,21.50000,,
2060,Alaska,Bristol Bay,18.13764,41.80000,21.15522,0.00000,,14.90000,,12.20000,,
2068,Alaska,Denali,17.57469,25.30000,22.98570,27.27273,,4.90000,,14.50000,,
2070,Alaska,Dillingham,26.93082,35.60000,21.59289,50.00000,1682.90000,10.30000,,16.50000,,
2090,Alaska,Fairbanks North Star,15.85358,30.00000,22.84880,39.58333,828.50000,6.20000,,12.50000,39.00000,13.03132
2100,Alaska,Haines,16.11783,27.00000,20.68095,0.00000,158.40000,7.40000,,13.30000,,
