FIPS,State,County,PovChldPrc,IncRtio,MedianHouseholdIncome,FdInsPrc,% Unemployed,UninPrc,PrmPhysRt,PrevHospRt,ResidentialsegregationBlack,% Severe Housing Problems,Over65YearsPrc,AdObPrc,AdDibPrc,SmkPrc,ExcDrkPrc,DrOverdMrtRt,Life Expectancy,% Fair or Poor Health
1000,Alabama,,23.9,5.2611356,49881,16.3,3.9,11.044783,64.823883,5805,56.65398815,14,16.91726316,35.5,14.2,20.92735,13.90352,16.17676,75.4,22
1001,Alabama,Autauga,19.299999,5.2345972,59338,13.2,3.6,8.7216864,45.041801,7108,24.61913786,15,15.56266974,33.3,11.1,18.08156,15.02603,10.80945,76.9,21
1003,Alabama,Baldwin,13.9,4.4177666,57588,11.6,3.6,11.333405,72.89727,4041,41.27176277,14,20.44334975,31,10.7,17.48903,17.95831,13.61049,78.5,18
1005,Alabama,Barbour,43.900002,5.6814098,34382,22,5.2,12.242792,31.658091,6209,25.03913235,15,19.4204413,41.7,17.6,21.99998,12.84402,,75.3,30
1007,Alabama,Bibb,27.799999,4.3685803,46064,14.3,4.0,10.206253,48.526562,5961,52.60379424,10,16.47321429,37.6,14.5,19.1142,15.57004,28.06043,73.6,19
1009,Alabama,Blount,18,4.4302626,50412,10.7,3.5,13.36076,22.40877,4060,48.21482288,11,18.23651452,33.8,17,19.20867,14.23059,24.19954,74.1,22
1011,Alabama,Bullock,68.300003,7.4101958,29267,24.8,4.7,11.440376,29.10079,6632,31.84648148,18,16.38390215,37.2,23.7,22.89466,12.0941,,73.5,31
1013,Alabama,Butler,36.299999,5.4235954,37365,20.6,4.8,11.186009,25.22068,9203,38.01121561,13,20.29979675,43.3,19.2,21.76533,11.8574,,72.9,28
1015,Alabama,Calhoun,26.5,5.0238962,45400,15.7,4.7,11.929168,63.628761,6581,44.54230412,14,17.71747596,38.5,17.5,20.61256,13.84223,18.33442,73.0,23
1017,Alabama,Chambers,30.700001,4.7449322,39917,17.9,3.9,11.938077,41.527012,5622,26.7478613,16,19.52104715,40.1,19.9,19.39293,12.74573,9.88426,74.3,24
1019,Alabama,Cherokee,24.700001,4.7084651,42132,12.5,3.6,11.17265,38.674252,5521,32.05770923,13,22.97172711,35,15.2,17.49867,14.10656,12.88427,74.0,21
