fips,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,12,23,29,39,51,78,106,131,157,196,242,386,538,639,720,830,947,999,1108,1270,1535,1632,1840,2005,2197,2498,2838,3008,3262,3583,3805,3953,4241,4404,4572,4723,4903,5078,5327,5610,5832,6026,6213,6421,6539,6750,6925,7068,7294,7611,7888,8112,8437,8691,9046,9385,9668,9889,10164,10464,10700,11101,11373,11674,11771,12086,12376,13052,13414,13670,14149,14478,14986,15650,16032,16530,17031,17359,17952,18534,18771,18851,19072,19387,20043,20500,20925,21422,21989,22845,23710,24601,25615,26272,26912,27312,28206,29002,29549,30021,30454,31097,32064,33206,34183,35083,35441,37175,38045,38962,40111,41865,42862,43953,44878,45785,46962,49174,50508,51947,53587,55545,57255,59067,61088,63091,65234,67011,68891,70358,71813,74212,76005,78130,79294,81115,82366,83782,85762,87723,89349,91444,92661,93702,94654,96592,98301,100173,101334,103020,103851,104786,105557,106309,107580,108433,109004,110361,111478,112449,113632,114532,115060,116710,117242,119254,121023,122185,123889,125235,126058,127616,128239,129285,130393,131803,132314,132973,133606,134417,135565,136703,137646,138755,139459,140160,141087,141757,142863,144164,144962,145780,146584,147153,148206,150658,151591,152321,152983,153554,154701,155744,156698,158380,159169,159713,160477,161418,161975,163465,164526,165342,166076,167193,167977,169162,170374,171662,172626,173485,174528,175674,177064,180916,183276,184355,185322,186437,187706,189149,190496,192285,193985,194892,195929,197777,199158,200714,202482,203687,204857,206567,208637,210637,213617,215843,217822,219232,220848,223486,225910,228373,230708,232506,234080,236865,239318,241957,242874,244993,247229,249524,252900,256828,260359,264199,267589,269877,272229,276665,280187,284922,288775,292841,295631,297895,301533,305640,310335,315683,319904,322452,324832,329811,334569,338801,342426,343458,345628,347897,351804,356820,361226,365747,369458,371934,374095
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,6,9,12,14,21,22,36,42,59,69,85,102,114,120,133,143,146,156,169,183,189,211,224,233,244,255,270,275,283,291,298,307,312,317,319,327,333,335,337,337,339,343,349,353,353,362,363,366,368,369,370,373,376,377,378,380,383,383,387,388,392,396,399,399,402,402,404,409,409,412,416,417,430,436,441,469,476,497,516,542,565,579,588,607,620,642,666,688,722,734,738,751,776,795,821,845,859,869,905,926,971,1001,1027,1060,1085,1132,1174,1224,1284,1339,1371,1401,1423,1472,1521,1579,1656,1772,1843,1897,1958,2034,2083,2157,2275,2412,2523,2617,2682,2746,2866,3100,3204,3348,3440,3557,3675,3825,3982,4062,4123,4181,4221,4286,4371,4471,4537,4587,4653,4748,4867,4952,5058,5108,5175,5245,5330,5401,5492,5556,5626,5621,5671,5752,5874,5985,6036,6075,6109,6181,6287,6416,6514,6603,6637,6670,6735,6860,6968,7074,7136,7213,7256,7308,7413,7528,7613,7704,7775,7821,7875,8015,8133,8244,8359,8477,8602,8707,8838,8964,9111,9300,9511,9656,9784,9919,10099,10350,10608,10805,10960,11103,11268,11496,11710,11934,12138,12349,12559,12790,13067,13439,13968,14316,14699,15053,15417,15803,16247,16597,16948,17339,17750,18064,18589,19194,19712,20185,20715,21211,21689,22282,23029,23688,24268,24909,25454,25946,26403,27079,27629,28128,28708,29386,29940,30612,31279,31896,32407,32911,33614,34377,35138,36083,36847,37350,37923,38510,39146,39773,40293,40934,41363,41645,42256,42639,43132,43468,43649,43801,44241,44602,44876,44876,45247,45547,45674,45856,46241,46740,46740,47549,47846,48110
4,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,5,5,6,6,9,9,9,12,13,18,20,28,47,70,104,153,234,326,402,508,665,773,930,1169,1298,1413,1600,1769,2019,2269,2466,2577,2726,3018,3112,3393,3539,3702,3806,3962,4234,4507,4719,4929,5064,5251,5459,5769,6045,6280,6526,6716,6948,7202,7648,7962,8364,8640,8919,9305,9707,9945,10526,10960,11119,11380,11736,12176,12674,13169,13631,13937,14170,14566,14897,15315,15608,16040,16339,16561,16783,17262,17763,18465,19255,19936,20123,21250,22245,22818,24369,25517,26924,27761,28396,29981,31525,33167,34773,35953,37005,39298,41159,43731,46914,50198,52666,54767,58397,60207,63297,66676,70152,73961,74602,79399,84152,87495,91894,94616,98126,101542,105159,108710,112783,116947,119991,122479,123917,128126,131411,134730,138575,141333,143644,145320,148730,150659,153029,156392,160055,162041,163918,165994,168361,170905,174108,177019,178473,179506,180537,182230,183744,185104,186226,187086,187634,188780,189522,190850,191810,192670,193554,194027,194931,195568,196305,196925,197909,198117,198421,199293,199495,200172,200694,201317,201695,201866,202375,202898,203964,204686,205518,205772,205971,206048,206548,207002,207525,208128,208514,208726,209215,209911,211663,213663,213551,214018,214251,214846,215284,215852,216367,216826,217237,217513,218185,218511,219214,219778,220403,220757,221091,221937,222558,223407,224101,224985,225575,226072,226749,227660,228748,229508,230412,231149,231933,232939,233948,234914,235910,236898,238200,239193,240158,241259,242510,244099,245962,247484,248293,249841,250853,252843,254961,257384,259299,260646,263445,265195,266644,270596,273400,275523,277179,281284,284554,288807,292880,296997,299698,303188,307943,311727,314326,318695,322774,325995,327046,338254,342925,348134,355054,361186,364276,366364,379662,384241,390047,398150,405656,408646,420459,427121,431330,438514,444038,450807,453601,461345,470351,475706,483502,486993,493277,494489,504616,510548,515366,523829,530267,539162,556384,561542
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,7,9,16,22,22,33,62,100,118,165,201,231,307,350,385,409,449,508,564,624,683,738,743,853,927,997,1077,1146,1202,1228,1280,1475,1498,1599,1620,1695,1777,1781,1971,2262,2392,2599,2810,2909,3001,3069,3127,3207,3281,3310,3372,3431,3469,3525,3611,3694,3747,3747,4012,4043,4164,4236,4366,4463,4578,4759,4813,4923,5003,5458,5612,5775,5922,6029,6180,6277,6538,6777,7013,7253,7443,7818,8067,8425,8651,9101,9426,9740,10080,10368,10816,11547,12095,12501,12917,13191,13606,13928,14631,15142,15561,16083,16678,17375,18062,18740,19310,19818,20257,20777,21197,22075,22622,23209,23814,24253,24512,25246,26052,26803,27864,28367,28939,29733,30297,31114,31762,32533,33228,33927,34655,35246,36259,37249,37981,38623,39447,40181,40968,41759,42511,43173,43810,44597,45381,46293,47028,48039,48811,49383,50028,50411,51114,51766,52392,51992,52665,53077,53487,54216,54765,55652,56199,56574,56894,57374,58023,58745,59583,60378,60856,61224,61497,62112,63504,64678,65226,65924,66280,66757,67255,67803,68987,69710,70219,70627,71497,72219,73211,74082,75160,75723,76364,76981,77963,79049,79946,80755,81242,82049,82755,83697,84821,85779,86525,87013,87430,88071,88880,90145,91312,92220,92833,93487,94167,95246,96524,97539,98422,99066,99597,100441,101596,102798,104135,105318,106115,106727,107679,108640,109712,110874,112190,113057,113641,114519,115812,117360,119230,120828,121866,122811,124235,126197,128006,130318,132166,133040,134348,135902,137617,139855,141916,143821,145173,146190,148312,150277,152625,153677,155026,156247,157359,159309,161521,164310,167137,169382,170924,172042,174325,176652,178854,181624,184252,185702,187057,189198,191504,194543,197421,200114,201650,203107,205048,207941,211145,213267,213969,214877,216528,219246,222430,225138,229442,231442,233475,234781
6,,,,,1,2,2,2,2,2,3,3,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,9,9,9,11,11,26,26,27,28,33,38,45,55,67,81,100,112,172,179,202,252,320,381,478,588,732,893,1067,1283,1544,1851,2240,2644,3183,4060,4915,5566,6321,7421,8583,9857,11190,12569,13796,15202,16361,17540,19043,20191,21366,22421,23323,24334,25758,27107,28142,29398,30829,31544,33862,35844,37573,39534,41368,42590,43691,45208,46570,48904,50470,52318,53753,55072,56333,58848,60787,62481,64616,66824,68051,69514,71150,73218,74947,77015,78933,80366,81943,83981,86125,88488,90801,92815,94743,97017,99924,101873,104071,107043,110100,113114,115643,118081,120407,122917,126510,129147,131997,134287,137245,140139,143709,147285,150434,152953,155662,159131,163381,167135,170843,174854,178807,184620,191039,195889,201413,207027,211453,216955,223995,232153,239764,248198,256298,265176,271587,277869,287766,296304,303516,311505,320030,327676,336206,346593,355497,364761,374922,383194,391460,400195,410366,422528,433175,443096,453327,459338,467103,474951,486039,494269,502273,509507,515937,522235,527258,532776,541013,548142,556158,563244,574267,586078,595097,603212,613243,621981,628508,634991,640499,646742,653401,659991,665325,669944,676236,682320,687612,692962,698389,702499,706589,712541,716628,722035,727398,732691,737073,740233,742689,746113,749196,753017,757125,760581,763389,767062,769917,773318,776944,781436,785076,788077,792217,795077,798350,801671,805733,809214,811698,814796,817939,821125,824306,828364,831494,834635,837720,840322,843732,847384,851228,854302,857076,859959,863614,867094,870380,874101,876257,878394,882665,887093,890153,896424,902325,906644,909344,913699,918627,922680,926893,931826,935248,938883,944141,949383,954624,960884,967597,972801,978844,985598,994341,999498,1009187,1019052,1027016,1035981,1047360,1058096,1069517,1082674,1096401,1109844,1118652,1136346,1153005,1167149,1176137,1193071,1206278,1219496,1237192,1253867,1272041,1293887,1318139,1343145,1371940,1399167,1425432,1457214,1491053,1528177,1554863,1590670,1620870,1655086,1716027,1761341,1809585,1846943,1889828,1933083,1968430,2013188,2047919,2064691,2129678,2167233,2208953,2243119,2275505,2307769,2345726,2397923,2433838,2474561
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,8,8,12,17,34,49,78,103,136,161,183,216,278,364,475,591,721,912,1086,1432,1735,2061,2315,2628,2990,3346,3728,4182,4574,4950,5172,5429,5655,6202,6510,6893,7303,7691,7941,8280,8675,9047,9433,9730,10106,10447,10878,11262,12255,12967,13440,13804,14239,14680,15207,15661,16118,16527,16799,17256,17720,18264,18719,19267,19595,19793,20103,20442,20813,21207,21604,21909,22174,22454,22769,23161,23456,23932,24140,24256,24553,24775,25116,25602,26084,26364,26563,26774,27046,27346,27601,27834,27987,28169,28333,28484,28632,28807,29002,29115,29284,29427,29658,29886,30172,30334,30524,30689,30877,31139,31463,31780,32006,32290,32495,32698,33012,33335,33607,33900,34100,34316,34717,35185,35604,36210,36633,36933,37303,37761,38240,38817,39409,39811,40182,40649,41152,41747,42409,43098,43847,44364,44723,45420,45885,46338,46948,47357,47799,48119,48492,49143,49633,50081,50491,50799,51104,51487,51847,52242,52587,52868,53188,53391,53674,53943,54285,54658,54939,55441,55700,56176,56346,56706,57158,57326,57515,57797,58118,58392,58680,59021,59362,59626,59823,60003,60291,60576,60881,61311,61641,62032,62575,63068,63613,64277,64694,65248,65936,66552,67186,67745,68506,68973,69472,69967,70458,71090,71723,72454,72929,73389,74029,74535,75410,76186,77068,78047,78752,79499,80414,81205,82443,83712,84804,85803,86727,87966,89245,90639,92067,93989,95742,97686,99111,100614,102665,104927,107844,110640,112821,115364,118356,122170,125397,128611,131870,135747,139246,143553,149262,155761,160459,164408,168890,173220,178224,184260,190100,195220,199296,203578,207882,212416,217655,222544,226567,230057,234502,238779,243324,248779,252960,258124,262460,266670,270381,274354,278916,283571,287364,289679,291645,295558,298492,302086,305622,308350,310522,312713,315397,318027,320714,323329,324869,326276,328249,330118,332686,335579,338357,340454,342494,345239
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,3,6,11,20,26,41,68,96,159,194,223,327,415,618,875,1012,1291,1524,1993,2571,3128,3557,3824,4915,5276,5675,6906,7781,8781,9784,10538,11510,12035,13381,13989,14755,15884,16809,17550,17962,19815,20360,22469,23100,23921,24582,25269,25997,26312,26767,27700,28764,29287,29287,29973,30621,30995,31784,32411,32984,33554,33765,34333,34855,35464,36085,36703,37419,38116,38430,39017,39208,39640,40022,40468,40873,41303,41288,41559,41762,42022,42201,42740,42979,43091,43239,43460,43818,43968,44092,44179,44347,44461,44689,44994,45088,45235,45349,45429,45440,45557,45715,45755,45782,45899,45913,45994,46059,46206,46303,46362,46514,46572,46646,46717,46717,46717,46976,47033,47108,47209,47287,47287,47287,47510,47530,47636,47750,47893,47893,47893,48055,48096,48223,48232,48776,48776,48776,48983,49077,49540,49670,49810,49810,49810,50062,50110,50225,50245,50320,50320,50320,50567,50684,50706,50782,50897,50897,50897,51267,51255,51314,51432,51519,51519,51519,52011,52040,52220,52350,52495,52495,52495,52879,53006,53108,53209,53365,53365,53365,53365,53782,53871,54093,54326,54326,54326,54895,55031,55166,55386,55527,55527,55527,56024,56160,56315,56472,56587,56587,56587,57147,57329,57550,57742,58297,58297,58297,59120,59241,59364,59748,60038,60038,60038,61377,61697,61861,62028,62830,62830,62830,64021,64455,64871,65373,66052,66052,66052,68099,68637,69127,70446,71207,71207,71207,73858,74843,75373,77060,78125,78125,78125,81463,82987,84741,85899,88645,88645,88645,93284,94986,97028,99381,101469,101469,101469,106740,107280,109152,109152,112581,112581,112581,117295,118754,121426,126177,127715,127715,127715,135844,138258,140548,142979,146761,146761,146761,153992,155462,157781,160102,162782,162782,162782,167377,168960,170705,172743,172743,172743,172743,181200,181967,183663,185708,185708,190120,190120,194636
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,4,7,8,16,26,30,39,45,56,87,104,119,143,165,214,232,264,319,368,393,450,593,673,783,928,1116,1209,1326,1479,1625,1761,1926,2014,2075,2323,2538,2538,2745,2931,3200,3308,3442,3576,4034,4162,4575,4655,4734,4918,5038,5208,5288,5371,5778,5939,6083,6277,6447,6565,6741,6952,7223,7373,7547,7670,7869,8037,8194,8386,8529,8690,8809,8965,9066,9096,9171,9236,9422,9498,9605,9685,9712,9746,9773,9845,9942,9972,10020,10056,10106,10173,10229,10264,10340,10403,10444,10499,10611,10681,10775,10820,10847,10889,10980,11017,11091,11226,11376,11474,11510,11731,11923,11996,12128,12293,12414,12462,12531,12652,12743,12804,12879,12969,13050,13114,13337,13429,13519,13624,13746,13792,13924,14202,14175,14290,14406,14476,14602,14689,14788,14877,14949,15055,15137,15296,15365,15445,15502,15575,15634,15699,15765,15967,16340,16396,16451,16536,16593,16643,16718,16770,16828,16895,16942,16962,16986,16976,17083,17349,17343,17429,17535,17549,17653,17752,17892,18043,18249,18308,18308,18466,18559,18726,18849,18937,19137,19234,19318,19366,19449,19566,19667,19761,19830,19947,20085,20156,20260,20389,20531,20613,20787,20937,21125,21243,21363,21466,21550,21682,21827,21998,22130,22289,22394,22465,22560,22724,22942,23093,23196,23325,23375,23528,23687,23847,23961,24168,24249,24392,24553,24751,24951,25126,25311,25426,25534,25753,26035,26258,26603,26908,27112,27342,27546,28016,28395,28803,29200,29552,29755,30153,30816,31321,31808,32211,32664,32995,33579,34170,34670,35251,35654,36343,36698,37456,38398,39096,39912,40711,41464,42393,43036,43818,44876,45460,46457,47142,47929,48768,49109,50136,50616,51056,51623,52235,53015,53653,54473,55057,55488,56189,56596,57456,58064,58873,59484,60333
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,4,10,10,10,16,17,22,31,36,39,71,77,98,116,137,183,231,267,304,342,401,495,586,653,757,902,998,1097,1211,1440,1523,1660,1778,1875,1955,2058,2197,2350,2476,2666,2793,2927,3098,3206,3361,3528,3699,3841,3892,3994,4106,4323,4658,4797,5016,5170,5322,5461,5654,5899,6102,6272,6389,6485,6584,6736,6871,7042,7123,7270,7434,7551,7788,7893,7966,8110,8225,8334,8406,8492,8538,8717,8801,8857,8886,9016,9120,9199,9269,9332,9389,9474,9537,9589,9654,9709,9767,9799,9818,9847,9903,9952,9984,10020,10058,10094,10128,10159,10185,10216,10248,10292,10327,10365,10390,10435,10447,10482,10515,10569,10642,10679,10743,10801,10847,10906,10946,11026,11076,11115,11194,11261,11339,11427,11529,11571,11649,11717,11780,11858,11945,11999,12057,12126,12205,12274,12313,12398,12443,12518,12589,12653,12753,12807,12896,12959,13024,13118,13159,13220,13273,13325,13354,13409,13469,13534,13590,13639,13684,13722,13794,13851,13925,13959,13992,14049,14077,14135,14186,14238,14279,14315,14362,14387,14412,14493,14552,14592,14622,14687,14743,14790,14852,14902,14955,14978,15021,15050,15106,15163,15215,15250,15264,15300,15326,15358,15423,15473,15519,15547,15652,15697,15765,15843,15918,15984,16022,16068,16132,16166,16255,16334,16370,16395,16445,16498,16537,16609,16706,16767,16812,16906,16973,17074,17144,17266,17369,17438,17524,17601,17682,17792,17891,18001,18087,18173,18379,18507,18666,18814,18977,19064,19309,19465,19678,19808,19961,20151,20290,20409,20516,20736,20937,21308,21448,21552,21685,21842,22164,22480,22872,23136,23319,23589,23854,24098,24357,24643,24874,25038,25339,25602,25830,26104,26342,26601,26740,26900,27226,27436,27436,27710,28202,28342,28535,28758,28983,29252,29509,29764,29904
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,4,7,12,13,14,23,26,46,70,70,109,141,210,326,434,564,764,1000,1222,1467,1971,2478,3198,4038,4943,5695,6742,7769,9000,10260,11537,12342,13621,14739,15690,16819,17960,18978,19855,21011,21620,22526,23332,24745,25484,26306,27050,27861,28301,29640,30525,30831,31520,32130,32838,33185,33683,34720,35455,36070,36889,37431,37994,38820,39191,39993,40588,40974,41915,42394,43202,44130,44803,45580,46434,46936,47463,48667,49443,50119,50859,51738,52247,52626,53277,54489,55416,56155,56822,57439,58756,60175,61480,62750,63930,64896,65992,67363,69061,70963,73544,75560,77318,80101,82711,85918,89740,93789,97283,100209,103495,109006,114010,122952,132537,141067,146333,152426,158989,169098,178586,190044,200103,206439,213786,223775,232710,244143,254503,269803,282427,291621,301802,315767,327233,337561,350039,360386,369826,379611,389860,402304,414503,423847,432739,441969,451415,461371,470378,480020,487124,491876,497322,502731,510381,518067,526569,532798,536953,542784,550893,557129,563277,569629,573408,576086,579924,584039,588594,593278,597589,600563,602821,605494,608714,611983,615798,618995,621578,623463,631032,633434,637005,640203,643859,646423,648261,650084,652140,654723,658373,661563,663986,665722,668838,671193,674448,677652,681225,683746,685431,687901,690491,693032,695879,698674,700556,701294,704560,706508,709136,711796,714583,716451,717866,720117,722699,726005,728913,728913,734483,736016,738741,741624,744980,748429,752473,755012,756719,760381,762525,768083,771772,776243,778628,782005,786303,790418,794616,800208,802539,807404,812055,816692,821115,827372,832617,837069,843889,847813,852166,858004,863611,870544,875088,885193,889856,897315,905240,914325,923410,931819,938406,944737,953292,961668,961668,979012,985289,992652,999311,1008158,1018152,1029022,1039199,1049630,1058066,1065777,1073762,1083354,1094689,1106388,1116965,1125923,1134375,1143786,1155327,1168475,1181475,1193157,1201558,1212573,1223007,1234391,1247538,1247538,1264580,1271971,1280169,1292244,1306115,1323307,1323307,1354825,1365428,1376684
