State,stateFIPS,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06
AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,22,29,39,51,78,106,131,167,196,242,386,531,639,717,825,941,997,1106,1270,1534,1632,1840,2003,2197,2497,2838,3007,3262,3581,3801,3951,4237,4400,4515,4719,4897,5074,5317,5598,5825,6026,6213,6417,6537,6744,6916,7063,7294,7611,7885,8110,8436,8691,9046,9384,9668,9889,10164,10468,10699,11094,11387,11671,11768,12078,12374,13049,13410,13670,14152,14507,15194,15648,16029,16553,17031,17358,17849,18246,18427,18553,18766,19073,19709,20166,20590,21071,21626,22474,23333,24220,25235,26272,26912,27312,28206,29002,29549,30021,30453,31097,32064,33206,34181,35083,35441,37175,38045,38962,40111,41865,42862,43953,44878,45785,46962,49174,50508,51947,53587,55545,57255,59067,61088,63091,65234,67011,68891,70358,71813,74212,76005,78130,79294,82295,82366,82366,85762,87723,89349,91444,92661,93702,94654,96592,98301,101334,101334,103020,103851,104786,105557,106309,107580,108433,109004,110361,111478,112449,112770,114532,115060,116710,117242,119254,121023,122185,123889,125235,126058,127616,128239,129285,130393,131803,132314,132973,133606,134417,135565,136703,137646,138755,139459,140160,141087,141757,142863,144164,144962,145780,146584,147153,150658,151591,152321,152321,152983,153554,154701,155744,156698,158380,159169,159713,160477,161418,161975,163465,164526,165342,166076,167193,167977,169162,170374,171662,172626,173485,174528,175674,177064,180916,183276,184355,185320,186436,187705,189149,190496,192285,193983,194885,195929,197777,199158,200713,202482,203687,204856,206567,208636,210637,213617,215843,217822,219232,220846,223486,225910,228373,230708,232506,234078,236865,239318,241957,242874,244993,247229,249523,252900,256828,260359,264199,267589,269877,272228,276665,280187,284922,288775,288775,288775,297887,301533,305640,310335,315683,319904,322451,324832,329811,334569,338801,342424,343456,345628,347894,351804,356820,361226,365747,369458,371934,374094,379593,384184,389230,394287,399150,401900,403997,407840,410985,414576,417528,420681,422598,424027,426543,429655,432536,436087,439442,441170,443009,445909,449086,452734,455582,455582,459639,460860,462938,465056,467823,469319,471312
AK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,6,6,10,13,15,23,37,42,59,69,85,102,114,119,133,142,147,157,171,185,191,213,226,236,247,258,273,278,286,294,301,310,315,320,322,330,336,338,340,340,342,346,352,356,356,365,366,369,371,372,373,375,378,379,380,382,384,384,388,388,388,397,400,400,402,402,404,408,408,409,411,412,425,430,434,460,467,487,505,513,524,536,544,563,573,593,610,625,652,661,664,676,696,708,721,742,753,759,759,759,784,835,835,876,900,932,967,992,1044,1088,1115,1166,1184,1226,1269,1319,1378,1474,1539,1579,1622,1674,1716,1842,1939,1949,2041,2131,2194,2249,2339,2525,2622,2730,2797,2879,2879,3136,3280,3341,3394,3448,3483,3536,3613,3711,3774,3821,3881,3962,4071,4155,4258,4308,4370,4437,4519,4587,4676,4740,4808,4841,4893,4972,5088,5180,5225,5262,5296,5363,5465,5585,5678,5764,5797,5832,5895,6019,6112,6215,6277,6351,6393,6443,6548,6657,6742,6835,6905,6949,7002,7130,7252,7364,7478,7594,7720,7823,7947,8072,8215,8403,8611,8750,8878,9005,9182,9430,9686,9877,10027,10170,10322,10548,10758,10978,11181,11393,11605,11837,12118,12489,13011,13358,13739,14094,14454,14835,15273,15621,15971,16360,16764,17072,17597,18198,18716,19187,19712,20207,20688,21275,22014,22660,23240,23240,23240,25192,25192,25192,25934,25934,25934,25934,25934,25934,25934,25934,25934,25934,25934,25934,25934,34772,35528,36002,36559,37140,37760,38380,38895,39528,39948,40222,40820,41199,41683,42009,42189,42339,42777,43134,43400,43400,43755,44041,44162,44343,44722,45212,45212,46008,46298,46557,46737,47071,47393,47784,48090,48336,48509,48509,48912,49238,49530,49710,49987,50134,50261,50420,50618,50875,51115,51277,51355,51434,51603,51797,51978,52105,52232,52300,52404,52583,52740,52900,52900
AR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,12,16,22,28,37,62,100,118,159,185,221,295,327,375,402,444,503,560,621,678,732,740,853,924,991,1075,1145,1201,1226,1274,1471,1495,1593,1615,1690,1776,1779,1969,2260,2391,2598,2807,2907,2998,3064,3122,3201,3269,3304,3358,3417,3461,3522,3607,3692,3745,3745,4007,4038,4161,4235,4365,4462,4576,4758,4812,4922,5002,5456,5610,5772,5920,6028,6177,6277,6531,6776,7010,7252,7442,7815,8062,8422,8651,9101,9424,9736,10076,10366,10814,11546,12094,12499,12917,13190,13606,13927,14626,15137,15561,16082,16677,17372,18057,18739,19307,19813,20251,20774,21197,22074,22617,23202,23809,24246,24508,25245,26048,26800,27855,28367,28938,29729,30297,31114,31762,32533,33227,33927,34655,35246,36257,37249,37978,38606,39415,40143,40914,41697,42431,43087,43710,44596,45380,46291,47028,48024,48811,49382,50024,50409,51111,51763,52387,51989,52663,53073,53486,54211,54765,55651,56196,56569,56888,57373,58023,58744,59579,60378,60852,61219,61493,62111,63080,64175,64690,65377,65724,66019,66402,66804,67911,68309,70217,70625,71354,72219,73209,74080,75160,75718,76363,76980,77963,79049,79946,80755,81242,82049,82755,83697,84821,85777,86525,87013,87430,88068,88880,90145,91312,92220,92833,93486,94166,95245,96523,97538,98421,99063,99595,100441,101596,102798,104135,105318,106115,106727,107679,108640,109712,110874,112190,113054,113640,114513,115805,117360,119230,120828,121866,122811,124235,126197,128006,130317,132163,133039,134346,135902,137617,139855,141916,143821,145173,146190,148312,150277,152624,153677,155026,156247,157359,159309,161521,164310,167135,169380,170923,172042,174325,176652,178854,181624,184252,185702,187057,189198,191504,194540,197421,200113,201650,203107,205048,207941,211145,213267,213969,214877,216528,219246,222430,225138,229442,231442,233475,234781,238888,242593,245916,248860,251746,255076,256344,259553,262020,264511,267635,270178,271154,272262,273594,276114,279220,281382,282995,284066,284702,287187,288964,290856,292563,294387,295268,296494,298004,300430,302899,304723,306064
CA,6,0,0,0,0,2,3,3,4,4,4,4,4,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,9,9,9,12,12,12,13,13,15,16,18,22,22,30,34,48,62,79,119,131,194,221,278,304,406,504,621,740,923,1107,1318,1597,1804,2105,2587,2990,3518,4368,5226,6058,6707,7643,8815,10172,11397,12755,14055,15356,16545,17706,19191,20336,21566,22562,23433,24437,25859,27097,28126,29420,30829,31591,33869,35814,37688,39556,41317,42565,43673,45172,46414,48795,50322,52253,53696,54947,56191,58752,60701,62373,64567,66799,67995,69417,71038,73093,74920,76959,78795,80175,81912,83870,86092,88324,90778,92664,94449,96673,99851,101877,104014,106651,110136,112703,115207,117521,119846,122995,126313,128965,131348,133884,136863,139736,143238,146999,150314,152969,155687,159045,163325,167090,170677,174423,177691,184357,190599,195441,200441,205969,209956,214507,222053,230360,237008,247249,250573,252205,256268,273088,283516,291356,300324,311254,318356,324444,333630,344967,353254,363306,370115,379114,384978,396577,407367,419555,429235,438429,446395,450862,461442,471437,483512,492310,500421,507711,512525,520357,526167,531891,539980,548516,554022,560266,571140,585181,594265,602469,612939,619577,624102,634066,640237,647039,653129,660448,664737,668073,675898,681947,687277,692568,697097,701525,704214,712042,716284,721599,725669,731315,735571,737650,740224,743148,747809,750062,755525,758504,760490,765475,768381,771316,775442,779863,783849,785501,790434,793250,796580,799785,803875,807769,809449,813030,816128,818915,822449,826624,829436,831629,835636,838334,841978,845598,849467,852160,854378,857639,862113,865344,868379,871498,873404,874795,879572,883700,886954,893770,899280,903653,905744,910880,915400,919593,923502,928644,931793,934770,939927,945788,951000,956986,963768,969090,973743,981493,990096,995487,1005994,1015809,1023575,1030112,1043348,1053945,1065363,1079776,1086368,1103253,1108681,1130602,1147417,1160872,1168490,1181254,1196883,1207503,1228026,1245662,1265426,1286191,1307945,1328944,1349939,1383530,1417298,1450632,1481179,1520319,1546815,1568882,1612267,1644793,1693715,1748002,1802236,1836309,1863310,1918520,1952929,1996743,2032896,2042311,2072685,2122823,2155995,2187242,2218163,2245391,2292589,2345930,2391282,2420915,2452355,2482247,2518632,2568662,2621298,2670983,2710822,2747309,2781059,2816987,2859629,2899108,2942495,2973194,2996989,3019390,3039064,3062068,3085040,3109171,3136179,3153207,3169914,3186610,3205947,3224374,3243348,3258706,3270770,3281271,3294447,3308468,3320862
CO,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,14,18,24,49,76,99,130,159,183,183,277,361,475,591,720,911,1086,1429,1732,2061,2306,2624,2965,3341,3724,4173,4565,4950,5172,5429,5655,6098,6320,6635,6894,7127,7288,7493,8675,9046,9426,9723,10100,10440,10871,11182,12171,12884,13355,13793,14304,14743,15261,15766,16224,16624,16902,17364,17830,18371,18827,19371,19697,19875,20152,20467,20830,21224,21624,21927,22196,22475,22796,23178,23485,23954,24157,24248,24542,24766,25121,25612,26098,26378,26577,26785,27058,27359,27615,27846,27999,28178,28342,28495,28643,28819,29015,29127,29296,29429,29670,29899,30185,30347,30535,30703,30891,31153,31478,31795,32022,32303,32510,32713,33026,33352,33610,33864,34063,34255,34663,35115,35524,36189,36591,36913,37241,37684,38155,38724,39344,39785,40134,40557,41044,41682,42311,42977,43782,44331,44564,45311,45794,46203,46807,47266,47714,47967,48393,48987,49436,49893,50323,50658,51037,51439,51750,52216,52534,52835,53172,53364,53625,53900,54228,54585,54883,55143,55341,55780,55990,56342,56771,57041,57223,57422,57774,58016,58282,58652,58652,58984,59482,59671,59917,60183,60491,60904,61318,61699,62097,62685,63140,63744,64347,64847,65392,66050,66665,67212,67922,68503,69073,69485,70018,70532,71215,71893,71893,73073,73537,74189,74917,75780,76614,77638,78455,79036,80083,80776,81918,83230,84369,85299,86372,87582,88849,90222,91571,93393,95082,97293,98733,100204,102014,104426,104426,109908,112146,114709,117635,121006,124466,127967,130984,134536,138426,142399,147597,154037,159233,163416,167711,172043,176694,182800,188566,194676,198599,202287,206438,210629,216681,220951,225281,228770,232904,237309,241172,247209,252222,257343,260565,264601,268571,272345,276992,281669,285632,288192,291102,293374,296716,300409,304072,306596,308888,311034,313548,316496,319527,322186,323616,325018,326666,328408,330857,334082,337160,339170,341248,343433,346891,349450,352922,356110,358946,361147,362824,364335,366770,369175,371457,373480,374981,376171,377853,379227,381210,383008,384966,386285,387462,388620,390258,391699,393421,395016,396179,397063,397998,399267,399267,402714,404256
CT,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,8,20,26,41,68,96,158,193,223,327,415,618,875,1012,1291,1524,1993,2571,3128,3557,3824,4915,5276,5675,6906,7781,8781,9784,10538,11510,12035,13381,13989,14753,15884,16809,17550,17962,19815,20360,22469,23100,23921,24582,25269,25997,26312,26767,27700,28764,29287,29287,29973,30621,30995,31783,32411,32984,33554,33765,34333,34855,35464,36085,36703,37419,38116,38430,39016,39203,39640,40022,40465,40873,41234,41288,41559,41762,42022,42201,42732,42978,43091,43238,43460,43817,43967,44092,44177,44347,44461,44688,44994,45054,45198,45276,45347,45355,45557,45715,45752,45782,45897,45911,45994,46059,46206,46302,46362,46513,46572,46646,46717,46717,46717,46975,47032,47108,47209,47287,47287,47287,47510,47530,47636,47750,47891,47891,47891,48040,48081,48198,48232,48776,48776,48776,48983,49077,49540,49668,49810,49810,49810,50062,50110,50223,50245,50320,50320,50320,50567,50683,50687,50782,50897,50897,50897,51254,51255,51314,51432,51519,51519,51519,52011,52040,52220,52350,52495,52495,52495,52879,53006,53108,53209,53365,53365,53365,53365,53782,53871,54093,54326,54326,54326,54895,55031,55166,55386,55527,55527,55527,56017,56160,56315,56472,56587,56587,56587,57147,57329,57550,57742,58297,58297,58297,59110,59241,59364,59748,60038,60038,60038,61377,61697,61861,62028,62830,62830,62830,64021,64455,64871,65373,66052,66052,66052,68099,68637,69127,70446,71207,71207,71207,73858,74843,75373,77060,78125,78125,78125,81463,82987,84741,85899,88645,88645,88645,93284,94986,97028,99381,101469,101469,101469,106740,107280,109152,109152,112581,112581,112581,117295,118754,121426,126177,127715,127715,127715,135844,138258,140548,142979,146761,146761,146761,153992,155462,157781,160102,162782,162782,162782,167377,168960,170705,172743,172743,172743,172743,181200,181967,183663,185708,185708,190120,190120,194636,196968,199454,202758,205994,205994,205994,213358,217047,220576,221544,223422,223422,223422,230125,232219,234134,235796,237815,237815,237815,243632,244899,247339,248765,250023,250023,250023,253954,256522,257004,257941,259372,259372
DE,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,7,8,17,26,30,39,45,56,87,104,119,119,165,214,232,264,319,368,393,450,593,673,783,928,1116,1209,1326,1479,1638,1761,1926,2014,2075,2323,2538,2538,2745,2931,3200,3308,3442,3576,4034,4162,4575,4655,4734,4918,5038,5208,5288,5371,5778,5939,6111,6280,6447,6555,6741,6952,7214,7366,7537,7670,7870,8037,8194,8386,8529,8690,8809,8965,9066,9096,9171,9236,9422,9498,9605,9685,9712,9746,9773,9845,9942,9972,10020,10056,10065,10173,10229,10264,10340,10401,10444,10499,10611,10679,10775,10820,10847,10886,10961,11017,11091,11222,11376,11479,11510,11731,11923,12100,12128,12293,12414,12462,12531,12652,12743,12804,12879,12972,13050,13114,13355,13429,13519,13624,13746,13792,13924,14171,14175,14290,14406,14602,14689,14782,14848,14877,14949,15055,15137,15296,15365,15444,15502,15575,15634,15699,15849,15967,16340,16396,16451,16536,16592,16638,16705,16743,16794,16858,16901,16931,16969,16976,17083,17312,17343,17429,17513,17549,17653,17752,17892,18043,18249,18308,18308,18466,18559,18726,18849,18937,19137,19226,19303,19366,19449,19566,19667,19761,19830,19947,20085,20156,20260,20389,20531,20613,20787,20937,21125,21243,21363,21466,21550,21682,21827,21998,22130,22289,22394,22465,22560,22724,22942,23093,23234,23325,23375,23526,23694,23844,23961,24168,24260,24398,24553,24757,24946,25126,25319,25426,25533,25753,26035,26283,26596,26908,27112,27353,27546,28016,28396,28803,29208,29552,29775,30167,30816,31322,31848,32251,32695,33004,33589,34166,34660,35252,35680,36345,36703,37456,38416,39115,39912,40711,41464,42393,43036,43818,44876,45460,46457,47142,47929,48768,49109,50136,50616,51044,51642,52181,53017,53658,54472,55045,55488,56189,56596,57456,58064,58873,59484,60333,61100,61729,62949,63503,64475,65273,65827,66446,67173,68065,68727,69372,70294,70910,71311,71775,72523,73233,73915,74575,75191,75490,75832,76495,76935,77551,78071,78495,78696,78986,79228,79548,79833
DC,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,10,10,10,16,17,22,31,39,71,77,98,116,137,183,231,267,304,342,401,495,586,586,653,757,902,998,1097,1211,1440,1523,1660,1778,1875,1875,2058,2197,2350,2476,2666,2793,2927,3098,3206,3361,3528,3699,3841,3892,3994,4106,4323,4658,4797,5016,5170,5322,5461,5654,5899,6102,6272,6389,6485,6584,6736,6871,7042,7123,7270,7434,7551,7788,7893,7966,8110,8225,8334,8406,8492,8538,8717,8801,8857,8886,9016,9120,9199,9269,9332,9389,9474,9537,9589,9654,9709,9767,9799,9818,9847,9903,9952,9984,10020,10058,10094,10128,10159,10185,10216,10248,10292,10327,10365,10390,10435,10447,10482,10515,10569,10642,10743,10801,10801,10847,10946,11026,11076,11115,11115,11261,11339,11339,11427,11571,11649,11717,11780,11858,11945,11999,12057,12126,12205,12205,12274,12313,12398,12443,12518,12589,12653,12753,12807,12896,12959,13024,13118,13159,13220,13273,13325,13354,13409,13469,13534,13590,13639,13684,13722,13794,13851,13925,13959,13992,14049,14077,14135,14186,14238,14279,14315,14362,14387,14412,14493,14552,14592,14622,14687,14743,14790,14852,14902,14955,14978,15021,15050,15106,15163,15215,15250,15264,15300,15326,15358,15423,15473,15519,15547,15652,15697,15765,15843,15918,15984,16022,16068,16132,16166,16255,16334,16370,16395,16445,16498,16537,16609,16706,16767,16812,16906,16973,17074,17144,17266,17369,17438,17524,17601,17682,17792,17891,18001,18087,18173,18379,18507,18666,18814,18977,19064,19309,19465,19678,19808,19961,20151,20290,20409,20516,20736,20937,21308,21448,21552,21685,21842,22164,22480,22872,22872,23319,23589,23854,24098,24357,24643,24874,25038,25339,25602,25830,26104,26342,26601,26740,26900,27226,27436,27436,27710,28202,28342,28535,28758,28983,29252,29509,29764,29904,30166,30482,30750,31107,31457,31791,31993,32423,32600,32820,33140,33537,33851,34033,34259,34403,34612,34905,35077,35301,35505,35700,35865,36132,36414,36662,36872,37008,37138,37199,37365,37634,37877
FL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,6,9,14,25,32,42,64,96,136,168,216,328,432,652,762,1005,1227,1412,1975,2458,3198,4038,4948,5704,6741,7559,9008,10268,11544,12350,13629,14747,15698,16826,17968,18983,19858,21019,21625,22520,23340,24747,25491,26312,27056,27868,28576,29647,30533,30836,31527,32136,32844,33192,33690,34725,35460,36078,36892,37429,38001,38828,39196,39998,40593,40979,41884,42388,43209,44134,44810,45585,46436,46940,47470,48671,49447,50127,50866,51745,52254,52633,53285,54496,55421,56161,56828,57447,58762,60182,61487,62758,63934,64901,65998,67370,69069,70970,73549,75566,77325,80108,82716,85926,89748,93797,97270,100206,103485,109014,114017,122953,132495,141072,146338,152422,158997,169106,178589,190052,200111,206447,213794,223783,232718,244151,254511,269811,282435,291629,301810,315548,327239,337569,350047,360394,369823,379619,389868,402312,414509,423843,432709,441917,460820,461379,470386,480012,487102,491855,497292,502715,510389,518060,526577,532806,536961,542774,550901,557137,563285,569636,573414,576093,579929,584047,588602,593286,597596,600565,602828,605502,608721,611991,615805,619003,621586,623458,630962,633416,636983,640165,643404,646350,648176,649979,652148,654731,658380,661569,663991,665730,668846,671201,674454,677660,681232,683753,685439,687909,690497,693039,695885,698681,700559,701295,704560,706515,709143,711804,714591,716457,717868,720124,722707,726013,728921,732609,734466,735986,738721,741631,744988,748437,752479,755018,756726,760387,762533,768091,771780,776251,778636,782012,786311,790426,794624,800216,802545,807412,812063,816700,821123,827379,832625,837077,843895,847814,852174,858012,863619,870552,875096,885201,889864,897322,905248,914333,923418,931827,937712,944744,953300,961676,961676,979020,985297,992660,999319,1008166,1018160,1029030,1039106,1048899,1056891,1064035,1073770,1083361,1094697,1106396,1116973,1125931,1134376,1143794,1155335,1168483,1181483,1193165,1201566,1212581,1223015,1234399,1247546,1247546,1264588,1271979,1280177,1292252,1306123,1323315,1323315,1354833,1365435,1376690,1392123,1409906,1429722,1449252,1464697,1477010,1488586,1503482,1517472,1531192,1548067,1560186,1571279,1579281,1585786,1601011,1613884,1627603,1639914,1649449,1658169,1667763,1676171,1687594,1698570,1713589,1721377,1727107,1737640,1744619,1752330,1763873,1771360
GA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,5,17,19,32,43,43,66,98,120,145,197,283,483,555,618,797,1090,1383,1633,2197,2445,2682,3024,4110,4744,5440,5959,6373,6729,7548,9128,10198,10880,11856,12261,12550,13621,14567,15120,16144,17152,17580,18216,19084,19662,20493,21476,22014,22566,22830,23592,24217,25128,25832,26805,27627,27928,28709,29196,30175,30708,31292,31823,32658,33268,33680,34125,34587,35077,35349,35528,36071,36706,37401,38234,39021,39572,40362,41187,42295,44588,45265,45855,46332,47079,47889,48394,49011,49987,50748,51343,51905,52773,53422,54115,55143,56044,56931,57743,58572,59218,60245,61229,62339,63926,64820,66273,67939,69661,71492,73461,75260,77316,80156,82086,84967,88481,91045,93496,95656,97728,101111,104056,108305,112216,114672,117025,118701,123956,127830,131261,135172,139866,143114,145766,148966,152031,156627,161385,165164,167925,170811,175006,178315,182276,186344,189994,192926,194798,197774,201702,204893,209003,213426,216581,219019,222577,226091,228647,231887,235166,237027,238856,241659,243974,246729,249614,252197,253912,256196,258324,260572,263037,265333,267694,268933,270436,272650,274568,277247,279323,281506,283153,283762,285331,287275,289113,290775,292896,294307,295320,296820,299031,300880,302692,304983,306105,307264,308173,309627,311041,312508,313845,314674,315266,316288,318014,319572,320626,322063,322904,323677,324625,326122,327403,329026,330256,331394,332294,333283,334580,336227,337836,339369,340552,341302,342426,343737,345524,347746,349577,350867,351805,353343,354979,356783,358183,360728,361934,362889,364571,366427,368345,370075,371805,373057,374149,376032,377677,380169,382479,384968,386909,387884,391429,393934,396590,399389,402412,404396,406212,408643,411001,413905,416294,418928,420593,422121,424927,428980,433351,438295,442012,443817,448671,452361,456112,462169,466897,471725,476034,479322,484139,488324,494159,500251,504495,509582,512680,518893,524055,531953,537076,540753,543707,546857,552712,558177,566675,575395,581999,587076,591104,597204,602796,609865,620247,629204,636366,642696,648690,654356,660720,668065,674993,680374,684743,684743,695400,701308,707750,714322,718532,722062,727752,731826,737205,741991,746867,749867,752448,755412,759228,763077,766604,769826
