fips,2021-01-26,2021-02-11,2021-02-05,2021-01-22,2021-02-02,2021-02-07,2021-02-06,2021-01-12,2021-01-31,2021-02-03,2021-01-19,2021-02-09,2021-02-08,2021-02-14,2021-02-10,2021-01-29,2021-02-01,2021-01-30,2021-01-28,2021-01-27,2021-01-14,2021-01-23,2021-01-25,2021-01-21,2021-01-24,2021-01-15
2,81200.0,116001.0,101225.0,67262.0,97076.0,106311.0,103163.0,22486,94889.0,98076.0,55434.0,110936.0,109890.0,126381.0,112448.0,88654.0,96396.0,91794.0,85672.0,83363.0,35508.0,73014.0,80226.0,59449.0,77925.0,39546.0
1,223854.0,431259.0,353522.0,174317.0,312711.0,375567.0,370275.0,70861,298301.0,324998.0,114319.0,395196.0,378514.0,474065.0,412462.0,256601.0,301628.0,288368.0,241337.0,232633.0,80480.0,193955.0,220464.0,144429.0,213833.0,86956.0
5,196815.0,316972.0,274459.0,167788.0,251841.0,300139.0,290153.0,39357,244867.0,256307.0,118763.0,305917.0,304604.0,338611.0,311339.0,221552.0,249943.0,233935.0,209445.0,209445.0,90339.0,167788.0,185546.0,144792.0,179290.0,97829.0
60,7365.0,9822.0,9775.0,5627.0,9713.0,9779.0,9779.0,842,8926.0,9759.0,3985.0,9792.0,9779.0,10062.0,9818.0,8926.0,9713.0,8926.0,8133.0,8133.0,2409.0,5881.0,7096.0,4734.0,7096.0,3144.0
4,366018.0,747599.0,597525.0,280227.0,534476.0,656909.0,629750.0,95141,500942.0,553373.0,235331.0,695970.0,678697.0,840252.0,719051.0,439897.0,524413.0,469916.0,412841.0,389059.0,157397.0,305744.0,350648.0,262120.0,332095.0,176213.0
6,2053652.0,4108216.0,3228084.0,1477195.0,2940488.0,3653538.0,3389906.0,703540,2717530.0,3044980.0,1195969.0,3880253.0,3811715.0,4493220.0,3994969.0,2415659.0,2861767.0,2563559.0,2281453.0,2156029.0,801998.0,1661683.0,1954048.0,1335886.0,1838464.0,865387.0
8,372266.0,570979.0,495381.0,313217.0,464938.0,528379.0,512024.0,187838,440576.0,472820.0,278639.0,542165.0,539961.0,631243.0,557204.0,409939.0,455422.0,423054.0,394156.0,381679.0,209300.0,313211.0,364889.0,296816.0,355124.0,223761.0
9,291257.0,437058.0,387627.0,248753.0,361495.0,402227.0,395554.0,56350,349879.0,365975.0,201664.0,412601.0,406697.0,473106.0,423296.0,329149.0,357588.0,340886.0,315317.0,302710.0,156366.0,264042.0,282674.0,230913.0,275126.0,166722.0
11,51399.0,79776.0,69999.0,44773.0,64241.0,73505.0,71810.0,0,61737.0,65207.0,39747.0,75351.0,75351.0,84740.0,75351.0,57152.0,63208.0,59570.0,55599.0,53590.0,29927.0,47088.0,50902.0,43377.0,49292.0,31667.0
10,56646.0,105760.0,92265.0,45292.0,85143.0,98450.0,94962.0,15911,82970.0,88325.0,35679.0,101383.0,100736.0,114564.0,103319.0,72684.0,84482.0,76980.0,68959.0,64952.0,25649.0,49442.0,55131.0,41900.0,52586.0,25649.0
12,1412466.0,2118750.0,1812723.0,1186719.0,1712327.0,1965590.0,1865090.0,586741,1656005.0,1752699.0,1068787.0,2023419.0,1965590.0,2366552.0,2064585.0,1554179.0,1683674.0,1610425.0,1497903.0,1451507.0,709002.0,1333116.0,1384407.0,1125338.0,1384479.0,776430.0
13,591385.0,967179.0,860543.0,533665.0,790354.0,912189.0,887597.0,85110,766875.0,813214.0,278151.0,927176.0,923282.0,1027629.0,946505.0,693085.0,785487.0,729117.0,659212.0,622905.0,204301.0,534161.0,534161.0,407000.0,534161.0,204301.0
66,13378.0,26019.0,21871.0,3785.0,19700.0,23564.0,23195.0,401,17784.0,20785.0,3785.0,24420.0,23693.0,27647.0,25308.0,16747.0,18538.0,17784.0,15405.0,14269.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0
15,75820.0,150648.0,126683.0,67991.0,110757.0,137230.0,132701.0,0,103398.0,115440.0,52635.0,142259.0,142259.0,162945.0,142259.0,89428.0,108745.0,96743.0,84139.0,79147.0,0.0,67990.0,74296.0,63282.0,67990.0,39690.0
19,162795.0,282596.0,215693.0,145642.0,195234.0,237554.0,224437.0,91969,190689.0,199242.0,130042.0,257459.0,252349.0,335771.0,268974.0,174655.0,194009.0,182537.0,169341.0,165466.0,100805.0,151145.0,161445.0,139500.0,157635.0,108056.0
16,78484.0,159796.0,120147.0,64295.0,102959.0,140916.0,133810.0,31504,98287.0,107234.0,53609.0,151372.0,149231.0,174495.0,155238.0,88975.0,100946.0,93632.0,85373.0,80857.0,35179.0,68292.0,76199.0,61118.0,72424.0,37646.0
17,590212.0,1243706.0,962345.0,479848.0,831556.0,1086599.0,1028487.0,284035,781536.0,859076.0,414362.0,1148175.0,1131846.0,1421577.0,1198096.0,685529.0,817253.0,733006.0,643555.0,611024.0,316876.0,518779.0,578406.0,452010.0,556517.0,341518.0
18,413982.0,637068.0,568118.0,340055.0,499215.0,593266.0,593266.0,114781,495746.0,517147.0,283779.0,598731.0,593266.0,770193.0,617918.0,475928.0,495746.0,495746.0,454380.0,432791.0,203889.0,367944.0,408181.0,320266.0,367944.0,222599.0
20,132153.0,248979.0,206997.0,116569.0,185065.0,228774.0,218170.0,53988,180156.0,192026.0,101824.0,233494.0,232575.0,287680.0,241127.0,157720.0,183035.0,168343.0,157536.0,140685.0,77590.0,122813.0,129861.0,111907.0,127417.0,83293.0
21,279715.0,454145.0,387902.0,229873.0,350622.0,422976.0,406790.0,102517,337738.0,360015.0,201688.0,436193.0,434294.0,488161.0,442691.0,312373.0,347384.0,324581.0,297108.0,285291.0,145320.0,243620.0,275610.0,217837.0,268308.0,162733.0
22,301874.0,448139.0,404021.0,256670.0,378574.0,431119.0,419327.0,117022,369486.0,384041.0,221109.0,438336.0,436190.0,518682.0,448139.0,339450.0,376491.0,355024.0,323609.0,311135.0,149064.0,272630.0,297684.0,240762.0,290955.0,167193.0
25,376313.0,715308.0,539877.0,318630.0,497445.0,609483.0,571853.0,184984,461408.0,497445.0,277612.0,649131.0,630154.0,823429.0,687093.0,422803.0,484829.0,438852.0,406024.0,390470.0,204481.0,334514.0,368358.0,306646.0,356102.0,222109.0
24,322860.0,563324.0,478473.0,256221.0,448177.0,518048.0,496331.0,136576,422218.0,454437.0,225456.0,537805.0,531771.0,618905.0,551581.0,375525.0,440763.0,398387.0,355484.0,340191.0,165318.0,272901.0,311148.0,243450.0,300609.0,178831.0
23,83464.0,141778.0,119024.0,70193.0,109917.0,132273.0,126127.0,38045,105665.0,109917.0,62716.0,138005.0,132273.0,141778.0,141778.0,93513.0,109917.0,99468.0,88878.0,86103.0,51631.0,74110.0,82837.0,67133.0,79310.0,51631.0
26,611090.0,997466.0,866766.0,497958.0,801811.0,924494.0,896162.0,207786,772944.0,814362.0,417228.0,950705.0,938279.0,1096479.0,971480.0,695236.0,794391.0,734903.0,659118.0,629437.0,286349.0,536228.0,599665.0,463917.0,573167.0,312415.0
27,287195.0,575084.0,459716.0,223957.0,431172.0,528537.0,509608.0,152280,402715.0,431172.0,209118.0,541133.0,541133.0,643627.0,541133.0,340311.0,425546.0,376632.0,315664.0,298902.0,161507.0,240009.0,273973.0,213102.0,252927.0,170273.0
29,262230.0,524638.0,412990.0,217597.0,358762.0,477412.0,448830.0,107939,340708.0,371382.0,189793.0,492766.0,490686.0,613292.0,507801.0,313161.0,355387.0,313161.0,294872.0,276990.0,145521.0,221849.0,258298.0,205217.0,242937.0,153664.0
69,5679.0,8344.0,7633.0,4700.0,7062.0,7847.0,7770.0,1094,6896.0,7271.0,4453.0,8023.0,7860.0,8604.0,8174.0,6486.0,6897.0,6671.0,6189.0,5966.0,3455.0,5019.0,5474.0,4606.0,5369.0,3760.0
28,165668.0,286055.0,238039.0,136902.0,214460.0,264586.0,252569.0,45733,211689.0,222860.0,103946.0,268534.0,267797.0,312244.0,277287.0,191145.0,213525.0,199419.0,181550.0,172522.0,64654.0,136902.0,164715.0,124931.0,161507.0,75885.0
