fips,2021-01-12,2021-01-14,2021-01-15,2021-01-19,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31
2,5400,7013.0,9406.0,10802.0,12352.0,13718.0,15206.0,16201.0,16673.0,16815.0,18097.0,20045.0,21593.0,23320.0,24545.0
1,7270,11699.0,13488.0,16346.0,21345.0,24840.0,27422.0,29736.0,29978.0,30933.0,33595.0,37431.0,44073.0,53742.0,55331.0
5,8,16711.0,18781.0,21734.0,26541.0,31600.0,31600.0,32572.0,33159.0,37055.0,40910.0,40910.0,45918.0,52118.0,56264.0
60,260,562.0,738.0,770.0,929.0,940.0,948.0,948.0,948.0,948.0,950.0,950.0,997.0,997.0,997.0
4,8343,16234.0,20837.0,30892.0,41613.0,48938.0,55014.0,58291.0,62711.0,64551.0,68846.0,73927.0,80773.0,86990.0,92666.0
6,100089,170245.0,204374.0,260838.0,293834.0,321839.0,341731.0,356382.0,371482.0,387563.0,417606.0,458585.0,487552.0,524350.0,558977.0
8,36425,44087.0,47021.0,49897.0,54474.0,62086.0,62086.0,76902.0,80467.0,82946.0,90200.0,98663.0,108507.0,118770.0,125078.0
9,4174,14052.0,17162.0,23150.0,28602.0,33149.0,37098.0,40506.0,42421.0,45190.0,51939.0,59437.0,67624.0,73706.0,79511.0
11,0,6741.0,8250.0,10196.0,11685.0,12045.0,12649.0,13043.0,13236.0,13293.0,14434.0,15177.0,16112.0,17029.0,18710.0
10,2784,5354.0,5354.0,6768.0,7355.0,8847.0,10448.0,11464.0,11647.0,11724.0,12352.0,13121.0,14210.0,14956.0,16397.0
12,41725,63802.0,74776.0,103173.0,111763.0,124582.0,152209.0,156226.0,156298.0,158886.0,176671.0,204623.0,236834.0,274211.0,297584.0
13,7746,22324.0,22324.0,28907.0,39972.0,59925.0,59965.0,59965.0,59965.0,64989.0,75360.0,89305.0,99941.0,109311.0,119878.0
66,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3803.0,3869.0,3969.0,4358.0,4499.0,4499.0
15,0,0.0,7268.0,11319.0,16132.0,16802.0,16802.0,16802.0,17795.0,17939.0,18544.0,19804.0,21736.0,23758.0,25868.0
19,6099,9113.0,10742.0,12629.0,16860.0,22429.0,26426.0,30949.0,32149.0,32547.0,36067.0,40477.0,46785.0,52324.0,58367.0
16,4308,7276.0,8843.0,10165.0,11760.0,13075.0,13711.0,14059.0,14419.0,14627.0,15443.0,16724.0,18970.0,20148.0,21636.0
17,62757,82269.0,91248.0,104533.0,111933.0,120754.0,128907.0,135330.0,137465.0,140394.0,147925.0,162086.0,181063.0,197643.0,211528.0
18,23546,29579.0,37683.0,50862.0,66801.0,73986.0,77985.0,77985.0,83554.0,84719.0,91255.0,97614.0,105208.0,111233.0,111233.0
20,9577,13054.0,13496.0,15602.0,17430.0,19325.0,20883.0,22610.0,23635.0,25349.0,26457.0,31429.0,31482.0,36738.0,39753.0
21,6335,8994.0,10672.0,12911.0,15699.0,22568.0,25566.0,29346.0,30010.0,30633.0,36054.0,43142.0,52251.0,59367.0,64890.0
22,18314,26440.0,30416.0,33967.0,38095.0,40385.0,41788.0,42520.0,43151.0,43189.0,46954.0,51583.0,58132.0,65136.0,73436.0
25,19073,28822.0,34885.0,41053.0,46247.0,51662.0,57869.0,63096.0,64648.0,65761.0,73152.0,83637.0,96373.0,106799.0,116315.0
24,6663,12698.0,15830.0,21794.0,28106.0,30877.0,34090.0,37507.0,39259.0,42228.0,48629.0,56274.0,66582.0,76905.0,82743.0
23,4518,8274.0,8274.0,10018.0,12071.0,14893.0,17562.0,19151.0,19873.0,20096.0,21707.0,24925.0,28255.0,31055.0,33121.0
26,19472,37918.0,48536.0,62780.0,81014.0,92473.0,105890.0,111243.0,116840.0,119962.0,131282.0,143757.0,159723.0,175117.0,190777.0
27,9798,18011.0,27799.0,42116.0,46008.0,53940.0,64768.0,67716.0,72266.0,72622.0,75844.0,87269.0,98634.0,107528.0,114255.0
29,22155,29546.0,36525.0,45368.0,58782.0,66699.0,68466.0,73248.0,75823.0,76467.0,79526.0,85827.0,92389.0,92389.0,100237.0
69,331,1140.0,1146.0,1916.0,2700.0,3016.0,3016.0,3017.0,3017.0,3055.0,3056.0,3058.0,3058.0,3058.0,3150.0
28,4832,7178.0,8396.0,9545.0,11567.0,13423.0,13423.0,15918.0,16034.0,16134.0,17499.0,19475.0,21354.0,22816.0,24455.0
30,5843,7508.0,8193.0,8671.0,9962.0,11878.0,13235.0,14071.0,14111.0,14245.0,15397.0,18149.0,21007.0,23785.0,24885.0
37,19293,35028.0,42790.0,54012.0,66736.0,74427.0,79197.0,83752.0,86064.0,87292.0,88145.0,120480.0,120946.0,135263.0,149906.0
38,5815,7134.0,7555.0,8641.0,9881.0,12428.0,14412.0,15589.0,15680.0,15742.0,16952.0,18244.0,20700.0,22968.0,25359.0
31,8459,12442.0,13050.0,13860.0,16206.0,18086.0,19646.0,22175.0,22547.0,23065.0,24598.0,32380.0,37350.0,41093.0,43712.0
33,5,4915.0,5700.0,7120.0,10319.0,12575.0,13166.0,13355.0,13907.0,15542.0,18224.0,21781.0,25055.0,27544.0,29736.0
34,14306,26939.0,36741.0,43879.0,49420.0,56213.0,61506.0,65164.0,69374.0,72212.0,79648.0,88198.0,108740.0,117791.0,123147.0
35,11335,15578.0,18711.0,23236.0,27014.0,29278.0,33133.0,34878.0,35507.0,35823.0,38292.0,41669.0,46878.0,50153.0,56314.0
32,8761,13900.0,15308.0,16665.0,19296.0,20345.0,20972.0,22068.0,22279.0,22508.0,23852.0,26327.0,29163.0,31783.0,33923.0
36,36422,58627.0,73523.0,102187.0,120801.0,142005.0,162685.0,176659.0,183915.0,189791.0,212802.0,238722.0,271874.0,303102.0,329795.0
39,0,9411.0,13552.0,27139.0,30910.0,44761.0,59153.0,71344.0,76949.0,80329.0,88834.0,106035.0,125794.0,150948.0,163622.0
40,17463,26117.0,28917.0,30919.0,34706.0,37435.0,39290.0,41289.0,41634.0,41814.0,46596.0,52465.0,60680.0,68510.0,78459.0
41,4813,9616.0,12795.0,23866.0,23866.0,34536.0,37983.0,40348.0,42426.0,43942.0,48261.0,53662.0,58664.0,66188.0,74927.0
42,10591,56188.0,66941.0,79526.0,96395.0,112692.0,122849.0,131908.0,135939.0,141304.0,156798.0,159259.0,193432.0,209964.0,223489.0
72,7666,14317.0,16360.0,21368.0,26627.0,32181.0,35705.0,39016.0,39384.0,39522.0,42437.0,45057.0,48196.0,51159.0,54276.0
44,4141,6860.0,8156.0,9902.0,11136.0,12023.0,12580.0,13260.0,13649.0,14148.0,16410.0,18562.0,20321.0,22401.0,23408.0
45,3954,19004.0,19477.0,30243.0,34277.0,38183.0,40812.0,43810.0,47563.0,48157.0,49869.0,55183.0,60974.0,66286.0,74459.0
46,7374,9516.0,9666.0,9777.0,10796.0,13831.0,16164.0,17293.0,18504.0,18753.0,21895.0,24543.0,26665.0,28547.0,29362.0
47,17914,25213.0,37800.0,48867.0,61743.0,76162.0,87376.0,96619.0,99842.0,101657.0,112362.0,123116.0,143592.0,155936.0,169166.0
48,101317,125126.0,155660.0,179801.0,205538.0,230596.0,251815.0,259056.0,270118.0,301684.0,324212.0,373624.0,413844.0,452040.0,478812.0
49,4608,8439.0,10534.0,15367.0,17275.0,20697.0,20697.0,20697.0,25693.0,25817.0,30065.0,30065.0,40909.0,45874.0,45874.0
51,0,23689.0,28164.0,35239.0,40340.0,46004.0,49007.0,51170.0,59852.0,72628.0,79443.0,89645.0,99790.0,110877.0,118612.0
78,0,157.0,157.0,165.0,294.0,367.0,409.0,409.0,415.0,496.0,636.0,719.0,889.0,1069.0,1088.0
50,0,2958.0,4100.0,6114.0,6545.0,7954.0,8877.0,9853.0,10195.0,10349.0,10806.0,12418.0,14168.0,15213.0,16491.0
53,17689,27591.0,31581.0,45237.0,55902.0,62152.0,67127.0,68486.0,73738.0,76144.0,81786.0,91733.0,99955.0,108221.0,117398.0
