FIPS,State,County,Over65YearsPrc,AdObPrc,AdDibPrc,SmkPrc,ExcDrkPrc,DrOverdMrtRt
1000,AL,Alabama,17.8,36,12,21,15,17
1001,AL,Autauga County,16.2,35,11,20,16,8
1003,AL,Baldwin County,21.6,30,9,20,22,18
1005,AL,Barbour County,20.3,40,17,28,14,
1007,AL,Bibb County,17.1,41,13,25,16,24
1009,AL,Blount County,19,39,11,22,16,18
1011,AL,Bullock County,17.7,44,18,25,13,
1013,AL,Butler County,21.4,40,15,25,14,
1015,AL,Calhoun County,18.5,36,13,23,16,19
1017,AL,Chambers County,20.6,40,14,24,14,10
1019,AL,Cherokee County,24.3,34,11,25,16,18
1021,AL,Chilton County,17.5,39,12,24,16,18
1023,AL,Choctaw County,24,40,15,25,14,
1025,AL,Clarke County,20.9,44,15,25,14,14
1027,AL,Clay County,21.4,37,13,26,16,
1029,AL,Cleburne County,20.3,36,11,24,16,
1031,AL,Coffee County,17.6,35,12,21,16,9
1033,AL,Colbert County,20.6,36,12,22,16,12
1035,AL,Conecuh County,24,41,15,25,14,
1037,AL,Coosa County,24.7,39,13,24,15,
1039,AL,Covington County,21.9,37,12,25,15,16
1041,AL,Crenshaw County,19.9,36,13,24,15,
1043,AL,Cullman County,19.1,33,11,23,17,19
1045,AL,Dale County,17.8,38,13,22,15,9
1047,AL,Dallas County,19.5,47,17,24,13,
1049,AL,DeKalb County,17.9,35,13,25,14,26
1051,AL,Elmore County,16.3,36,12,20,16,11
1053,AL,Escambia County,18.7,39,15,25,14,33
1055,AL,Etowah County,19.6,35,12,24,15,22
1057,AL,Fayette County,22,37,12,25,15,25
1059,AL,Franklin County,17.3,38,13,23,15,13
1061,AL,Geneva County,21.2,36,12,25,15,19
1063,AL,Greene County,24.4,47,21,28,11,
1065,AL,Hale County,20.2,44,16,26,14,
1067,AL,Henry County,23.6,39,13,23,16,
1069,AL,Houston County,18.7,40,13,22,15,14
1071,AL,Jackson County,21.1,39,12,24,16,8
1073,AL,Jefferson County,16.7,34,13,18,17,33
1075,AL,Lamar County,22.5,36,13,25,16,
1077,AL,Lauderdale County,20.9,33,11,21,17,11
1079,AL,Lawrence County,19.3,36,12,26,16,
1081,AL,Lee County,12.9,34,12,18,15,8
1083,AL,Limestone County,15.7,34,11,21,16,5
1085,AL,Lowndes County,20.3,46,18,26,12,
1087,AL,Macon County,21.3,40,18,23,12,
1089,AL,Madison County,15.6,33,11,16,18,20
