FIPS,State,County,PovChldPrc,IncRt,MedianHouseholdIncomeOr,MedianHouseholdIncome,FdInsPrc,UnEmplyPrc,UnInPrc,PrmPhysRt,PrevHospRt,RsiSgrBlckRt,SvrHsngPrbRt
1,Alabama,,24,5.3,49881,49900,16,3.9,11,1543:1,5805,57,14
2,Alaska,,15,4.1,74912,74900,14,6.6,15,1099:1,2904,52,21
4,Arizona,,20,4.6,59079,59100,14,4.8,12,1505:1,3096,46,18
5,Arkansas,,24,4.8,47094,47100,17,3.7,9,1502:1,5129,64,14
6,California,,17,5.3,75250,75300,11,4.2,8,1261:1,3598,55,27
8,Colorado,,12,4.4,71949,71900,11,3.3,9,1219:1,2833,62,17
9,Connecticut,,14,5.1,76366,76400,11,4.1,6,1202:1,4117,62,18
10,Delaware,,18,4.4,65467,65500,12,3.8,6,1392:1,5045,43,15
11,District of Columbia,,25,7.2,82533,82500,11,5.6,4,851:1,5520,68,21
12,Florida,,20,4.7,55433,55400,13,3.6,16,1379:1,5086,54,20
13,Georgia,,21,4.9,58634,58600,14,3.9,16,1528:1,4930,54,17
15,Hawaii,,12,4.4,80527,80500,11,2.4,5,1142:1,2202,55,27
16,Idaho,,14,4.3,55524,55500,12,2.8,12,1517:1,2652,68,15
17,Illinois,,16,5,65063,65100,11,4.3,8,1250:1,5092,71,17
18,Indiana,,18,4.4,55725,55700,13,3.4,10,1511:1,5006,68,13
19,Iowa,,14,4.2,60071,60100,11,2.5,5,1372:1,3808,62,12
20,Kansas,,15,4.3,58150,58200,13,3.4,10,1295:1,4024,58,13
21,Kentucky,,22,5.1,50189,50200,15,4.3,6,1523:1,5949,61,14
22,Louisiana,,27,5.7,48021,48000,17,4.9,10,1496:1,5957,56,16
23,Maine,,15,4.6,55579,55600,13,3.4,10,898:1,3675,71,15
24,Maryland,,12,4.5,83076,83100,11,3.9,7,1141:1,4550,62,16
25,Massachusetts,,12,5.5,79817,79800,9,3.3,3,968:1,4933,62,18
26,Michigan,,19,4.7,56640,56600,14,4.1,6,1277:1,5203,73,15
27,Minnesota,,12,4.3,70295,70300,9,2.9,5,1118:1,6015,62,13
28,Mississippi,,28,5.3,44740,44700,19,4.8,14,1889:1,6085,49,16
29,Missouri,,18,4.6,54412,54400,14,3.2,11,1430:1,4800,71,14
30,Montana,,16,4.5,55248,55200,11,3.7,10,1248:1,3142,77,15
31,Nebraska,,13,4.2,59724,59700,12,2.8,10,1327:1,3590,65,13
32,Nevada,,18,4.3,58740,58700,12,4.6,13,1768:1,4383,45,20
33,New Hampshire,,10,4.3,75322,75300,9,2.5,7,1102:1,4032,64,15
34,New Jersey,,14,5.2,81777,81800,10,4.1,9,1189:1,4535,62,22
35,New Mexico,,25,5.2,47405,47400,16,4.9,11,1339:1,3094,52,18
36,New York,,19,5.7,67648,67600,11,4.1,7,1219:1,4203,74,24
37,North Carolina,,20,4.8,53922,53900,15,3.9,13,1412:1,4758,50,16
38,North Dakota,,11,4.4,65250,65300,7,2.6,9,1305:1,4551,52,11
39,Ohio,,19,4.7,56155,56200,15,4.6,7,1312:1,5168,69,14
40,Oklahoma,,21,4.7,51914,51900,16,3.4,17,1616:1,4926,55,14
41,Oregon,,16,4.6,63168,63200,12,4.2,8,1063:1,2944,61,19
42,Pennsylvania,,17,4.8,60891,60900,12,4.3,7,1237:1,4655,71,15
44,Rhode Island,,18,5.3,63787,63800,11,4.1,5,1029:1,4364,61,18
45,South Carolina,,22,4.8,52449,52400,14,3.4,13,1498:1,4499,46,15
46,South Dakota,,16,4.1,57041,57000,11,3,11,1322:1,4803,65,12
47,Tennessee,,22,4.8,52366,52400,14,3.5,11,1396:1,5320,66,15
48,Texas,,21,4.8,60632,60600,15,3.9,19,1642:1,5011,53,18
49,Utah,,10,3.8,71381,71400,12,3.1,10,1727:1,2436,63,14
50,Vermont,,12,4.4,60917,60900,12,2.7,6,886:1,3455,67,17
51,Virginia,,14,4.8,72600,72600,10,3,10,1319:1,4461,49,15
53,Washington,,13,4.4,74023,74000,12,4.5,7,1183:1,2969,60,17
54,West Virginia,,23,4.9,44038,44000,15,5.3,8,1287:1,6149,61,11
55,Wisconsin,,14,4.3,60779,60800,10,3,6,1270:1,3940,77,14
56,Wyoming,,13,4.3,62259,62300,12,4.1,14,1474:1,3375,68,12
