FIPS,State,County,LfExpRt,SlfHlthPrc
1000,Alabama,,75.4,22
1001,Alabama,Autauga,76.9,21
1003,Alabama,Baldwin,78.5,18
1005,Alabama,Barbour,75.3,30
1007,Alabama,Bibb,73.6,19
1009,Alabama,Blount,74.1,22
1011,Alabama,Bullock,73.5,31
1013,Alabama,Butler,72.9,28
1015,Alabama,Calhoun,73,23
1017,Alabama,Chambers,74.3,24
1019,Alabama,Cherokee,74,21
1021,Alabama,Chilton,74.9,21
1023,Alabama,Choctaw,74.1,25
1025,Alabama,Clarke,74.8,25
1027,Alabama,Clay,75.2,24
1029,Alabama,Cleburne,74.8,19
1031,Alabama,Coffee,76.7,19
1033,Alabama,Colbert,74.7,21
1035,Alabama,Conecuh,75.3,29
1037,Alabama,Coosa,73.8,25
1039,Alabama,Covington,74,23
1041,Alabama,Crenshaw,74.7,22
1043,Alabama,Cullman,74.5,22
1045,Alabama,Dale,75.1,23
1047,Alabama,Dallas,71.2,30
1049,Alabama,DeKalb,74.5,26
1051,Alabama,Elmore,75.9,19
1053,Alabama,Escambia,72.9,26
1055,Alabama,Etowah,73,21
1057,Alabama,Fayette,74.6,22
1059,Alabama,Franklin,74.6,25
1061,Alabama,Geneva,73.8,23
1063,Alabama,Greene,74.8,34
1065,Alabama,Hale,74.1,28
1067,Alabama,Henry,76.2,21
1069,Alabama,Houston,75.9,20
1071,Alabama,Jackson,73.8,23
1073,Alabama,Jefferson,74.7,20
1075,Alabama,Lamar,74.3,24
1077,Alabama,Lauderdale,76.2,20
1079,Alabama,Lawrence,73.8,22
1081,Alabama,Lee,78.2,21
1083,Alabama,Limestone,77.7,20
1085,Alabama,Lowndes,71.2,30
1087,Alabama,Macon,73.2,30
1089,Alabama,Madison,77.4,19
1091,Alabama,Marengo,73.2,26
1093,Alabama,Marion,74.5,22
1095,Alabama,Marshall,74.4,22
1097,Alabama,Mobile,75.1,22
1099,Alabama,Monroe,74.1,30
1101,Alabama,Montgomery,76.1,24
1103,Alabama,Morgan,75.5,21
1105,Alabama,Perry,72.3,35
1107,Alabama,Pickens,76,27
1109,Alabama,Pike,75.4,25
1111,Alabama,Randolph,74.7,21
1113,Alabama,Russell,73.5,25
1115,Alabama,St. Clair,75,19
1117,Alabama,Shelby,80.5,16
1119,Alabama,Sumter,73.8,34
1121,Alabama,Talladega,73.1,23
1123,Alabama,Tallapoosa,74.5,23
1125,Alabama,Tuscaloosa,76.3,20
1127,Alabama,Walker,70.3,24
1129,Alabama,Washington,74.3,23
1131,Alabama,Wilcox,73.2,29
1133,Alabama,Winston,74.8,21
2000,Alaska,,78.8,18
2013,Alaska,Aleutians East,91.1,17
2016,Alaska,Aleutians West,84.7,15
2020,Alaska,Anchorage,79.3,15
2050,Alaska,Bethel,72.1,24
2060,Alaska,Bristol Bay,,15
2068,Alaska,Denali,77.7,13
2070,Alaska,Dillingham,73.6,23
2090,Alaska,Fairbanks North Star,79.7,12
2100,Alaska,Haines,84.8,13
2105,Alaska,Hoonah-Angoon,82.3,17
2110,Alaska,Juneau,80.4,11
2122,Alaska,Kenai Peninsula,78.3,15
2130,Alaska,Ketchikan Gateway,79.9,14
2150,Alaska,Kodiak Island,81.8,13
2158,Alaska,Kusilvak,68.2,37
2164,Alaska,Lake and Peninsula,,22
2170,Alaska,Matanuska-Susitna,79.3,13
2180,Alaska,Nome,70.5,25
2185,Alaska,North Slope,76.1,16
2188,Alaska,Northwest Arctic,71.2,24
2195,Alaska,Petersburg,79,12
2198,Alaska,Prince of Wales-Hyder,73.2,18
2220,Alaska,Sitka,80.9,13
2230,Alaska,Skagway,,12
2240,Alaska,Southeast Fairbanks,78.8,15
2261,Alaska,Valdez-Cordova,79.2,12
2275,Alaska,Wrangell,78.1,15
2282,Alaska,Yakutat,,16
2290,Alaska,Yukon-Koyukuk,71.1,23
4000,Arizona,,79.9,19
4001,Arizona,Apache,72.9,26
4003,Arizona,Cochise,78.8,18
4005,Arizona,Coconino,79,16
4007,Arizona,Gila,74.1,19
4009,Arizona,Graham,77.3,19
4011,Arizona,Greenlee,81.2,18
4012,Arizona,La Paz,76.9,22
4013,Arizona,Maricopa,80.4,16
4015,Arizona,Mohave,75.7,19
4017,Arizona,Navajo,74.4,24
4019,Arizona,Pima,79.6,17
4021,Arizona,Pinal,82.2,20
4023,Arizona,Santa Cruz,83.6,27
4025,Arizona,Yavapai,78.9,15
4027,Arizona,Yuma,82.9,23
5000,Arkansas,,75.9,23
5001,Arkansas,Arkansas,74.1,23
5003,Arkansas,Ashley,74.9,24
5005,Arkansas,Baxter,77.1,19
5007,Arkansas,Benton,79.9,16
5009,Arkansas,Boone,76.8,21
5011,Arkansas,Bradley,73.7,28
5013,Arkansas,Calhoun,73.7,24
5015,Arkansas,Carroll,76.2,22
5017,Arkansas,Chicot,73.8,30
5019,Arkansas,Clark,75.6,24
5021,Arkansas,Clay,73.2,23
5023,Arkansas,Cleburne,75.7,20
5025,Arkansas,Cleveland,74.5,22
5027,Arkansas,Columbia,75.6,27
5029,Arkansas,Conway,74.9,22
5031,Arkansas,Craighead,76.8,23
5033,Arkansas,Crawford,76.4,20
5035,Arkansas,Crittenden,72.9,26
5037,Arkansas,Cross,72.7,24
5039,Arkansas,Dallas,74.6,23
5041,Arkansas,Desha,72.2,32
5043,Arkansas,Drew,74.7,25
5045,Arkansas,Faulkner,76.7,21
5047,Arkansas,Franklin,74,22
5049,Arkansas,Fulton,75.6,22
5051,Arkansas,Garland,75,20
5053,Arkansas,Grant,76.6,20
5055,Arkansas,Greene,74.3,20
5057,Arkansas,Hempstead,76.1,27
5059,Arkansas,Hot Spring,73.7,20
