FIPS,State,Name,LfExpRt
1,AL,Alabama,74.8
2,AK,Alaska,78.6
4,AZ,Arizona,79.1
5,AR,Arkansas,75.5
6,CA,California,81.0
8,CO,Colorado,80.0
9,CT,Connecticut,80.1
10,DE,Delaware,78.0
11,DC,District of Columbia,78.0
12,FL,Florida,79.7
13,GA,Georgia,77.3
15,HI,Hawaii,82.3
16,ID,Idaho,79.2
17,IL,Illinois,78.6
18,IN,Indiana,76.5
19,IA,Iowa,78.7
20,KS,Kansas,77.8
21,KY,Kentucky,75.1
22,LA,Louisiana,75.2
23,ME,Maine,78.6
24,MD,Maryland,78.6
25,MA,Massachusetts,80.2
26,MI,Michigan,77.5
27,MN,Minnesota,80.4
28,MS,Mississippi,73.9
29,MO,Missouri,76.6
30,MT,Montana,78.4
31,NE,Nebraska,79.0
32,NV,Nevada,78.1
33,NH,New Hampshire,79.6
34,NJ,New Jersey,79.5
35,NM,New Mexico,76.9
36,NY,New York,80.3
37,NC,North Carolina,77.7
38,ND,North Dakota,78.8
39,OH,Ohio,76.5
40,OK,Oklahoma,75.5
41,OR,Oregon,79.7
42,PA,Pennsylvania,78.0
44,RI,Rhode Island,79.4
45,SC,South Carolina,76.4
46,SD,South Dakota,78.2
47,TN,Tennessee,75.3
48,TX,Texas,78.4
49,UT,Utah,79.7
50,VT,Vermont,79.7
51,VA,Virginia,79.1
53,WA,Washington,80.2
54,WV,West Virginia,74.3
55,WI,Wisconsin,78.9
56,WY,Wyoming,78.1
