name,lon,lat,type,address,phone,description,volume
Mostellar Medical Center,-88.2372043,30.4263864,0,"12701 Padgett Switch Rd, Irvington, AL 36544, USA",(251) 824-2174,,
Alabama Regional Medical Services,-86.8140798,33.5526409,0,"2817 30th Ave N, Birmingham, AL 35207, USA",(205) 407-9696,,
Christ Health - Woodlawn,-86.7492933,33.5415957,0,"5720 1st Ave S, Birmingham, AL 35212, USA",(205) 380-9455,,
Cahaba Medical Care - Centreville,-87.147279,32.9503292,1,"405 Belcher St, Centreville, AL 35042, USA",(205) 926-2992,,
Quality of Life Health Complex,-85.9559855,33.9984027,1,"1411 Piedmont Cutoff Hwy, Gadsden, AL 35903, USA",(256) 492-0131,,
Thrive Alabama,-86.5873927,34.7226273,0,"600 St Clair Ave SW bldg 3, Huntsville, AL 35801, USA",(256) 536-4700,,
AltaPointe Health Adult Outpatient - Mobile,-88.0967187,30.7057021,0,"2400 Gordon Smith Dr, Mobile, AL 36617, USA",(251) 473-4423,,
"Franklin Primary Health Center, Inc.",-88.0656646,30.6995835,0,"1303 Dr Martin Luther King Jr Ave, Mobile, AL 36603, USA",(251) 432-4117,,
Mobile County Health Department,-88.0763953,30.6984635,0,"248 Cox St, Mobile, AL 36604, USA",(251) 694-3954,,
Health Services Inc,-86.2838808,32.4172346,0,"100 E Vandiver Blvd, Montgomery, AL 36110, USA",(334) 832-4338,,
"Northeast Alabama Health Services, Inc",-86.0405257,34.6637184,0,"309 Taylor St, Scottsboro, AL 35768, USA",(256) 259-5313,,
"Rural Health Medical Program, Inc.",-87.0526859,32.4274261,0,"101 Park Place, Selma, AL 36701, USA",(334) 874-7428,,
Southeast Alabama Rural Health,-85.9605539,31.7652172,0,"1414 Elba Hwy, Troy, AL 36079, USA",(334) 670-6726,,
Maude L. Whatley Health Center,-87.5767932,33.1868174,0,"2731 Martin Luther King Jr Blvd, Tuscaloosa, AL 35401, USA",(205) 758-6647,,
Aleutian Pribilof Islands Association,-149.8611145,61.1744384,0,"1131 E International Airport Rd, Anchorage, AK 99518, USA",(907) 276-2700,,
Eastern Aleutian Tribes Inc,-149.8871978,61.1898406,1,"3380 C St #100, Anchorage, AK 99503, USA",(907) 277-1440,,
Southcentral Foundation,-149.795892,61.1823417,0,"Southcentral Foundation Administration Building, 4501 Diplomacy Dr, Anchorage, AK 99508, USA",(907) 729-4955,,
Yukon Kuskokwim Health Corporation,-161.7969814,60.7831733,0,"185 Hoffman Rd, Bethel, AK 99559, USA",(907) 543-5158,,
Native Village of Eyak,-145.7646595,60.5426856,0,"110 Nicholoff Way, Cordova, AK 99574, USA",(907) 424-7738,,
