countyFIPS,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10
1001,7215,7229,7230,7230,7230,7241,7241,7241,7242,7242,7244,7244,7244,7244,7244,7247,7247,7257,7257,7262,7262,7262,7262,7262,7277,7277,7294,7299,7299,7306,7306,7320,7329,7341,7346,7347,7350,7365,7375,7388,7394,7402,7419,7435,7456,7479,7479,7479,7579,7593,7602,7615,7635,7670,7694,7694,7694,7788,7818,7854,7890,7931,7931,7931,8061,8091,8132,8162,8199,8199,8199,8332,8332,8332,8486,8550,8550,8550,8719,8758,8798,8873,8909,8909,8909,8909,9063,9108,9145,9207
1003,21774,21805,21833,21839,21839,21868,21868,21868,21901,21901,21921,21921,21945,21945,21945,21985,21985,22027,22027,22043,22043,22043,22043,22043,22154,22154,22220,22267,22267,22337,22337,22464,22556,22642,22734,22802,22876,23032,23184,23319,23487,23668,23810,23922,24213,24499,24499,24499,25421,25565,25697,25860,26175,26472,26822,26822,26822,27477,27736,28020,28358,28629,28629,28629,29234,29465,29836,30106,30484,30484,30484,31313,31313,31313,31878,32054,32054,32054,32783,33090,33270,33480,33789,33789,33789,33789,34246,34393,34536,34726
1005,2345,2345,2346,2346,2346,2345,2345,2345,2345,2345,2344,2344,2344,2344,2344,2345,2345,2346,2346,2347,2347,2347,2347,2347,2354,2354,2361,2365,2365,2367,2367,2373,2377,2386,2389,2394,2396,2411,2415,2418,2422,2431,2434,2437,2451,2462,2462,2462,2517,2523,2529,2537,2543,2562,2585,2585,2585,2629,2649,2681,2699,2732,2732,2732,2761,2785,2805,2821,2833,2833,2833,2878,2878,2878,2929,2948,2948,2948,3036,3060,3086,3100,3142,3142,3142,3142,3207,3225,3243,3260
1007,2673,2676,2682,2684,2684,2685,2685,2685,2685,2685,2686,2686,2686,2686,2686,2687,2687,2693,2693,2693,2693,2693,2693,2693,2699,2699,2699,2702,2702,2704,2704,2708,2713,2719,2721,2727,2733,2747,2753,2761,2782,2795,2801,2814,2829,2845,2845,2845,2915,2919,2921,2928,2937,2960,2973,2973,2973,3016,3034,3056,3069,3095,3095,3095,3129,3152,3170,3189,3234,3234,3234,3306,3306,3306,3359,3385,3385,3385,3436,3479,3510,3545,3580,3580,3580,3580,3661,3694,3727,3752
1009,6925,6937,6938,6944,6944,6945,6945,6945,6950,6950,6957,6957,6967,6967,6967,6975,6975,6987,6987,6988,6988,6988,6988,6988,7013,7013,7018,7023,7023,7025,7025,7055,7059,7073,7090,7099,7103,7108,7133,7147,7161,7182,7184,7195,7233,7266,7266,7266,7385,7398,7413,7417,7463,7497,7542,7542,7542,7603,7631,7658,7696,7758,7758,7758,7833,7884,7930,7977,8018,8018,8018,8173,8173,8173,8340,8413,8413,8413,8530,8595,8631,8699,8763,8763,8763,8763,8951,8998,9048,9095
1011,1242,1242,1242,1242,1242,1243,1243,1243,1245,1245,1246,1246,1247,1247,1247,1249,1249,1249,1249,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1251,1251,1252,1252,1252,1252,1253,1253,1255,1256,1256,1256,1260,1261,1261,1261,1265,1265,1265,1265,1265,1267,1267,1267,1267,1273,1281,1291,1295,1299,1299,1299,1307,1314,1319,1329,1331,1331,1331,1346,1346,1346,1359,1368,1368,1368,1380,1384,1392,1397,1399,1399,1399,1399,1422,1430,1434,1435
1013,2233,2237,2240,2240,2240,2242,2242,2242,2246,2246,2250,2250,2255,2255,2255,2255,2255,2262,2262,2264,2264,2264,2264,2264,2270,2270,2273,2279,2279,2283,2283,2288,2289,2296,2300,2301,2303,2315,2328,2335,2346,2356,2361,2365,2376,2382,2382,2382,2406,2412,2417,2424,2436,2457,2470,2470,2470,2506,2529,2534,2548,2565,2565,2565,2592,2604,2614,2620,2628,2628,2628,2694,2694,2694,2747,2762,2762,2762,2793,2814,2831,2848,2866,2866,2866,2866,2925,2938,2952,2979
1015,14692,14710,14714,14718,14718,14719,14719,14719,14724,14724,14725,14725,14761,14761,14761,14766,14766,14776,14776,14778,14778,14778,14778,14778,14795,14795,14818,14833,14833,14841,14841,14861,14863,14879,14902,14915,14928,14948,14978,15030,15050,15107,15130,15158,15210,15252,15252,15252,15416,15450,15491,15498,15549,15619,15672,15672,15672,15842,15911,15995,16081,16163,16163,16163,16340,16407,16515,16596,16676,16676,16676,16949,16949,16949,17154,17317,17317,17317,17707,17858,17999,18142,18310,18310,18310,18310,18676,18787,18910,19049
1017,3715,3723,3724,3726,3726,3728,3728,3728,3728,3728,3731,3731,3733,3733,3733,3734,3734,3736,3736,3738,3738,3738,3738,3738,3751,3751,3757,3760,3760,3763,3763,3773,3776,3781,3784,3786,3789,3801,3805,3813,3829,3842,3852,3857,3880,3898,3898,3898,3958,3974,3982,3987,4007,4033,4058,4058,4058,4119,4151,4181,4209,4225,4225,4225,4284,4322,4351,4376,4415,4415,4415,4500,4500,4500,4540,4575,4575,4575,4672,4732,4768,4807,4840,4840,4840,4840,4930,4960,4994,5019
1019,1872,1872,1872,1872,1872,1873,1873,1873,1873,1873,1875,1875,1874,1874,1874,1874,1874,1874,1874,1874,1874,1874,1874,1874,1885,1885,1896,1896,1896,1896,1896,1898,1899,1903,1908,1909,1909,1911,1920,1923,1927,1938,1939,1939,1945,1963,1963,1963,2000,2004,2004,2007,2017,2030,2039,2039,2039,2074,2080,2099,2105,2118,2118,2118,2161,2165,2184,2201,2223,2223,2223,2290,2290,2290,2318,2347,2347,2347,2412,2444,2481,2496,2529,2529,2529,2529,2620,2639,2662,2673
1021,4461,4470,4472,4472,4472,4476,4476,4476,4478,4478,4476,4476,4478,4478,4478,4479,4479,4481,4481,4481,4481,4481,4481,4481,4500,4500,4508,4510,4510,4517,4517,4532,4540,4549,4554,4561,4569,4580,4591,4603,4618,4630,4645,4653,4666,4682,4682,4682,4778,4788,4797,4810,4828,4851,4870,4870,4870,4917,4941,4960,4980,5001,5001,5001,5086,5122,5166,5202,5238,5238,5238,5343,5343,5343,5445,5507,5507,5507,5583,5641,5674,5726,5772,5772,5772,5772,5885,5923,5965,6003
1023,617,617,617,620,620,621,621,621,621,621,621,621,620,620,620,624,624,624,624,624,624,624,624,624,624,624,627,627,627,627,627,627,627,628,628,629,629,631,631,631,634,638,638,638,639,643,643,643,644,644,644,644,645,646,646,646,646,646,649,650,651,651,651,651,657,659,660,662,663,663,663,668,668,668,673,674,674,674,682,683,688,688,692,692,692,692,699,706,708,710
1025,3528,3528,3528,3529,3529,3530,3530,3530,3531,3531,3533,3533,3532,3532,3532,3532,3532,3533,3533,3531,3531,3531,3531,3531,3540,3540,3545,3547,3547,3551,3551,3559,3571,3581,3582,3588,3591,3598,3610,3615,3625,3642,3644,3649,3664,3677,3677,3677,3718,3721,3721,3722,3746,3765,3799,3799,3799,3854,3862,3875,3886,3913,3913,3913,3943,3955,3967,3984,4008,4008,4008,4045,4045,4045,4099,4126,4126,4126,4158,4184,4203,4229,4280,4280,4280,4280,4337,4357,4382,4396
1027,1595,1601,1601,1601,1601,1600,1600,1600,1601,1601,1601,1601,1602,1602,1602,1602,1602,1603,1603,1603,1603,1603,1603,1603,1603,1603,1608,1609,1609,1609,1609,1610,1610,1609,1610,1611,1612,1615,1614,1618,1620,1621,1625,1627,1636,1637,1637,1637,1664,1665,1668,1671,1676,1686,1686,1686,1686,1704,1708,1712,1719,1725,1725,1725,1757,1774,1783,1789,1810,1810,1810,1845,1845,1845,1875,1909,1909,1909,1974,2003,2015,2019,2038,2038,2038,2038,2068,2085,2113,2129
1029,1525,1531,1531,1532,1532,1534,1534,1534,1536,1536,1537,1537,1540,1540,1540,1542,1542,1542,1542,1542,1542,1542,1542,1542,1547,1547,1549,1550,1550,1551,1551,1555,1555,1555,1556,1556,1556,1558,1569,1584,1584,1590,1591,1595,1599,1602,1602,1602,1613,1614,1618,1618,1618,1625,1630,1630,1630,1642,1647,1655,1665,1672,1672,1672,1688,1694,1706,1720,1737,1737,1737,1772,1772,1772,1813,1827,1827,1827,1860,1878,1898,1916,1933,1933,1933,1933,1982,1991,2003,2014
1031,5616,5622,5626,5627,5627,5635,5635,5635,5638,5638,5650,5650,5651,5651,5651,5660,5660,5673,5673,5684,5684,5684,5684,5684,5720,5720,5736,5754,5754,5764,5764,5794,5826,5841,5853,5867,5883,5911,5936,5962,6000,6024,6045,6077,6117,6163,6163,6163,6393,6410,6420,6443,6515,6615,6675,6675,6675,6849,6919,7005,7078,7146,7146,7146,7283,7339,7395,7439,7478,7478,7478,7622,7622,7622,7743,7786,7786,7786,7925,7999,8051,8110,8152,8152,8152,8152,8260,8295,8333,8372
1033,6394,6406,6411,6414,6414,6413,6413,6413,6415,6415,6418,6418,6419,6419,6419,6425,6425,6431,6431,6430,6430,6430,6430,6430,6445,6445,6448,6462,6462,6464,6464,6473,6481,6491,6492,6494,6498,6503,6513,6522,6548,6577,6583,6598,6614,6635,6635,6635,6712,6734,6746,6752,6780,6801,6839,6839,6839,6931,6960,7025,7061,7118,7118,7118,7191,7214,7255,7288,7314,7314,7314,7403,7403,7403,7506,7543,7543,7543,7636,7687,7744,7783,7828,7828,7828,7828,7949,7984,8039,8067
1035,1129,1132,1133,1134,1134,1136,1136,1136,1136,1136,1138,1138,1138,1138,1138,1140,1140,1142,1142,1146,1146,1146,1146,1146,1153,1153,1156,1157,1157,1157,1157,1161,1165,1165,1166,1168,1171,1174,1176,1177,1179,1180,1181,1185,1195,1196,1196,1196,1215,1218,1221,1221,1230,1240,1247,1247,1247,1273,1282,1295,1308,1320,1320,1320,1350,1361,1369,1404,1412,1412,1412,1450,1450,1450,1484,1507,1507,1507,1540,1552,1571,1579,1601,1601,1601,1601,1636,1644,1665,1673
1037,1111,1114,1115,1114,1114,1117,1117,1117,1116,1116,1121,1121,1122,1122,1122,1123,1123,1123,1123,1123,1123,1123,1123,1123,1126,1126,1128,1128,1128,1128,1128,1130,1130,1132,1133,1133,1134,1140,1145,1152,1154,1158,1160,1161,1167,1169,1169,1169,1191,1193,1194,1195,1197,1202,1206,1206,1206,1216,1221,1231,1235,1240,1240,1240,1257,1268,1271,1276,1297,1297,1297,1337,1337,1337,1358,1372,1372,1372,1399,1414,1421,1437,1457,1457,1457,1457,1496,1514,1528,1540
1039,4263,4267,4272,4273,4273,4275,4275,4275,4279,4279,4283,4283,4286,4286,4286,4292,4292,4296,4296,4320,4320,4320,4320,4320,4338,4338,4358,4373,4373,4374,4374,4401,4414,4426,4441,4444,4447,4467,4479,4502,4530,4555,4579,4599,4623,4649,4649,4649,4788,4797,4801,4804,4864,4898,4938,4938,4938,5036,5056,5088,5112,5165,5165,5165,5209,5255,5316,5325,5396,5396,5396,5501,5501,5501,5541,5607,5607,5607,5665,5690,5726,5823,5843,5843,5843,5843,5935,5972,6033,6066
1041,1550,1551,1553,1556,1556,1559,1559,1559,1563,1563,1561,1561,1573,1573,1573,1577,1577,1584,1584,1588,1588,1588,1588,1588,1593,1593,1597,1600,1600,1601,1601,1610,1613,1615,1617,1619,1619,1622,1626,1634,1635,1639,1644,1647,1650,1655,1655,1655,1687,1693,1698,1706,1717,1732,1740,1740,1740,1765,1779,1789,1801,1809,1809,1809,1840,1847,1863,1882,1893,1893,1893,1938,1938,1938,1973,1988,1988,1988,2046,2081,2098,2113,2129,2129,2129,2129,2176,2192,2205,2219
1043,9921,9928,9935,9941,9941,9952,9952,9952,9958,9958,9975,9975,9986,9986,9986,10001,10001,10008,10008,10014,10014,10014,10014,10014,10031,10031,10044,10051,10051,10062,10062,10081,10098,10103,10106,10115,10127,10147,10173,10198,10212,10236,10257,10274,10323,10363,10363,10363,10550,10566,10585,10610,10643,10689,10745,10745,10745,10874,10943,10996,11067,11117,11117,11117,11279,11365,11442,11504,11566,11566,11566,11804,11804,11804,11980,12097,12097,12097,12339,12451,12536,12626,12731,12731,12731,12731,13033,13118,13198,13324
1045,4928,4929,4929,4929,4929,4928,4928,4928,4930,4930,4931,4931,4933,4933,4933,4936,4936,4946,4946,4951,4951,4951,4951,4951,4986,4986,5010,5029,5029,5044,5044,5067,5078,5102,5116,5128,5137,5163,5197,5224,5255,5307,5326,5355,5393,5453,5453,5453,5653,5681,5703,5723,5803,5877,5935,5935,5935,6078,6149,6256,6355,6418,6418,6418,6572,6632,6696,6777,6835,6835,6835,7018,7018,7018,7168,7211,7211,7211,7421,7495,7593,7650,7697,7697,7697,7697,7834,7881,7940,7971
1047,3604,3606,3606,3607,3607,3607,3607,3607,3610,3610,3609,3609,3611,3611,3611,3613,3613,3622,3622,3623,3623,3623,3623,3623,3628,3628,3631,3634,3634,3635,3635,3645,3649,3654,3657,3658,3658,3668,3671,3674,3679,3687,3688,3689,3707,3717,3717,3717,3745,3745,3748,3751,3756,3771,3790,3790,3790,3821,3832,3844,3860,3890,3890,3890,3942,3965,3983,4000,4015,4015,4015,4078,4078,4078,4183,4204,4204,4204,4256,4290,4327,4354,4386,4386,4386,4386,4444,4458,4472,4489
1049,8955,8963,8965,8967,8967,8972,8972,8972,8977,8977,8978,8978,9001,9001,9001,9010,9010,9028,9028,9033,9033,9033,9033,9033,9040,9040,9058,9063,9063,9067,9067,9082,9092,9106,9122,9135,9143,9150,9185,9226,9246,9278,9298,9313,9335,9382,9382,9382,9521,9540,9548,9594,9603,9660,9704,9704,9704,9788,9832,9866,9953,9999,9999,9999,10074,10147,10215,10263,10316,10316,10316,10447,10447,10447,10591,10652,10652,10652,10807,10913,10973,11051,11132,11132,11132,11132,11279,11343,11416,11465
1051,10295,10292,10293,10295,10295,10293,10293,10293,10301,10301,10302,10302,10305,10305,10305,10311,10311,10315,10315,10322,10322,10322,10322,10322,10351,10351,10367,10376,10376,10395,10395,10429,10445,10465,10483,10502,10518,10542,10559,10576,10614,10636,10654,10673,10727,10761,10761,10761,10916,10938,10959,10977,11006,11078,11139,11139,11139,11275,11333,11386,11437,11489,11489,11489,11711,11871,11926,12029,12114,12114,12114,12348,12348,12348,12518,12590,12590,12590,12829,12878,12923,13024,13120,13120,13120,13120,13341,13419,13485,13543
