fips,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09
1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,121,127,127,127,156,186,232,249,267,270,274,307,339,370,429,439,442,462,476,512,543,600,605,629,656,682,709,767,819,910,915,938,960,984,1124,1267,1379,1388,1455,1503,1554,1628,1812,1918,1958,2034,2114,2232,2431,2558,2587,2640,2704,2853,3198,3494,3641,3739,3766,3809,3862,3919,4025,4290,4383,4410,4496,4589,4656,4742,4840,4893,4923,5001,5090,5188,5298,5437,5437,5437,5569,5689,5863,6009,6326,6562,6617,6764,6884,7066,7262,7579,7717,7775,7957,8138,8327,8528,8768,8883,8975,9050,9208,9364,9583,9856,9872,9887,9935,10122,10137,10557,10793,10837,10864,10864,10977,11225,11364,11560,11569,11569,11671,11671,11844,11850,11949,12060,12060,12113,12137,12140,12175,12212,12222,12224,12225,12238,12240,12274,12274,12277,12297,12300,12326,12495,12600,12734,12787,12869,12887,12979,13430,13440,13557,13586,13594,13610,13637,13660,13660,13692,13727,13763,13809,13810,13870,13870,13918,13918,13964,13964,13986,14032,14063
1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,434,520,553,581,641,889,959,1026,1033,1033,1035,1086,1832,1929,1991,2031,2033,2048,2135,2249,2367,2784,2816,2829,2994,3130,3355,3561,3711,3884,3965,4185,4674,5017,5650,5962,6240,6357,6839,6924,7807,9703,10857,10959,10981,11530,12176,12992,14320,15155,16355,16365,17071,18262,19118,19603,20965,21557,21616,22127,22971,23657,24307,25163,25401,25528,25754,26213,26813,27471,27836,28118,28383,28980,29404,29849,30298,30760,31005,31205,31690,32262,32948,33620,33995,33995,33995,34942,35791,36602,37364,38499,38739,38832,39905,40958,41440,42265,42904,43266,43408,44166,44833,45488,46274,46746,47000,47094,47417,47991,48591,49326,49768,49861,49954,50330,50958,51011,52255,53064,53492,53639,53657,54074,54959,55457,55913,55971,55984,56407,56416,57096,57339,57671,58145,58158,58535,58676,58741,58908,58952,58989,59012,59018,59067,59081,59211,59226,59256,59273,59318,59417,59876,60149,60685,60914,61199,61263,61589,64978,65000,65440,65613,65689,65796,65960,66197,66211,66364,66598,66992,67109,67136,67376,67382,67780,67791,67978,67985,68068,68203,68294
1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,22,22,22,25,39,108,112,121,123,126,144,146,156,178,182,189,197,223,242,287,295,299,302,430,500,545,670,685,692,694,724,818,859,993,1014,1027,1027,1064,1123,1176,1259,1318,1319,1326,1365,1427,1531,1602,1660,1666,1674,1709,1795,1937,1986,2041,2053,2064,2135,2197,2287,2346,2439,2448,2458,2524,2584,2695,2797,2881,2881,2881,2923,3012,3046,3083,3179,3185,3186,3212,3270,3290,3375,3412,3421,3430,3454,3538,3576,3627,3658,3664,3665,3740,3848,3936,4031,4332,4336,4337,4399,4450,4452,4515,4548,4556,4561,4561,4586,4653,4686,4722,4728,4728,4757,4757,4804,4805,4821,4846,4846,4865,4897,4897,4921,4936,4936,4936,4936,4964,4964,4968,4968,4970,4973,4973,4979,5049,5073,5187,5200,5215,5222,5236,5762,5763,5835,5853,5863,5874,5899,5940,5940,5952,5999,6059,6086,6086,6116,6131,6387,6387,6409,6409,6428,6469,6511
1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,43,52,56,61,74,82,170,188,188,188,198,204,217,224,250,250,252,284,327,349,373,402,403,417,427,428,490,544,586,697,703,798,869,957,1107,1317,1319,1322,1360,1441,1463,1535,1592,1616,1621,1649,1670,1735,1779,1810,1816,1821,1863,1879,1898,1920,1952,1963,1965,1986,2000,2033,2048,2074,2083,2084,2103,2148,2202,2240,2258,2258,2258,2310,2366,2419,2459,2550,2562,2563,2601,2646,2707,2735,2787,2794,2800,2836,2887,2918,2984,3054,3065,3066,3125,3165,3196,3245,3279,3288,3290,3304,3324,3325,3411,3461,3480,3485,3485,3510,3597,3645,3684,3695,3695,3728,3728,3787,3793,3811,3855,3855,3870,3878,3881,3887,3893,3894,3895,3895,3904,3904,3911,3911,3920,3923,3924,3932,3999,4034,4110,4122,4136,4138,4161,4198,4198,4237,4241,4243,4441,4456,4542,4543,4624,4692,4697,4708,4708,4795,4795,4810,4810,4822,4822,4833,4844,4879
1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,211,358,367,456,476,507,531,588,624,636,656,687,772,827,926,996,1007,1021,1201,1216,1309,1529,1854,1877,1893,1978,2074,2349,2417,2471,2479,2484,2528,2560,2618,2715,2825,2834,2850,2948,3108,3206,3319,3483,3717,3718,3752,3770,3816,3915,3968,3985,3989,4075,4110,4147,4188,4232,4239,4249,4291,4327,4434,4584,4631,4631,4631,4737,4824,4932,5087,5189,5226,5242,5354,5469,5691,5876,6010,6034,6042,6144,6275,6373,6577,6736,6779,6810,6916,7032,7157,7405,7498,7531,7542,7641,7785,7788,8136,8286,8317,8330,8330,8443,8581,8720,8783,8796,8796,8860,8860,9010,9031,9163,9238,9238,9330,9353,9358,9391,9407,9412,9413,9413,9422,9422,9466,9467,9479,9490,9492,9516,9671,9761,9932,10002,10083,10100,10145,10367,10369,10451,10501,10506,10523,10566,10579,10579,10598,10619,10633,10654,10654,10682,10682,10695,10695,10734,10734,10739,10751,10770
1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,70,102,102,104,106,107,108,127,127,130,153,157,165,166,166,166,166,168,169,173,176,262,262,262,262,264,268,276,277,278,280,282,284,307,317,336,337,390,390,394,430,449,451,468,474,475,491,531,534,555,565,567,632,645,662,735,738,742,753,778,809,827,901,908,912,936,963,987,1014,1073,1099,1121,1171,1244,1282,1330,1360,1394,1403,1432,1461,1495,1529,1578,1578,1578,1610,1643,1680,1740,1759,1769,1780,1793,1830,1850,1878,1884,1892,1899,1910,1927,2501,2527,2540,2545,2555,2566,2582,2599,2620,2653,2655,2655,2662,2683,2685,2745,2772,2797,2827,2827,2854,2883,2927,2959,2961,2961,2966,2966,2986,2986,3004,3017,3017,3019,3027,3027,3038,3038,3038,3038,3038,3040,3040,3041,3041,3041,3041,3041,3043,3072,3092,3120,3145,3185,3185,3195,3237,3237,3247,3247,3247,3248,3253,3256,3256,3264,3271,3272,3275,3275,3292,3292,3299,3299,3305,3305,3307,3313,3318
1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,76,77,78,108,135,142,146,146,146,148,199,206,220,258,264,264,364,468,490,500,541,555,555,567,749,797,832,854,864,864,881,1000,1015,1039,1061,1063,1066,1134,1171,1230,1383,1465,1472,1473,1501,1548,1584,1630,1676,1697,1704,1719,1763,1804,1865,1903,1908,1921,1950,1990,2044,2096,2151,2151,2151,2241,2379,2443,2522,2573,2582,2607,2650,2735,2764,2788,2816,2835,2844,2904,3018,3053,3088,3130,3143,3153,3169,3202,3580,3797,3885,3898,3917,3957,4008,4008,4073,4109,4122,4131,4131,4169,4235,4312,4334,4339,4339,4376,4376,4410,4411,4428,4451,4451,4479,4498,4498,4505,4506,4506,4506,4506,4511,4511,4514,4514,4514,4514,4514,4516,4535,4590,4643,4659,4680,4680,4699,4785,4786,4812,4814,4819,4822,4837,4843,4843,4857,4869,4870,4877,4877,4914,4914,4929,4929,4948,4948,4958,4969,4989
1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,105,116,131,177,746,1195,1217,1227,1243,1270,2104,3138,3423,3449,3515,3625,3654,3747,4033,4135,4180,4210,4789,4845,5123,5754,6292,6368,6386,6610,6726,6762,6887,7043,7065,7068,7164,7267,7356,7450,7575,7597,7608,8442,9358,10437,11529,12705,12821,12839,13002,13255,13388,13673,13865,13909,13920,13997,14356,14619,14975,15129,15159,15184,15465,15662,15795,16169,16330,16330,16330,16580,16803,16992,17495,17886,18049,18107,18524,18983,19339,20079,20443,20597,20760,20978,21351,21738,22189,22499,22721,22815,23102,23387,23723,24388,24565,24617,24704,24894,25250,25265,26181,26550,26654,26752,26770,26965,27420,27873,28183,28220,28221,28518,28520,28952,29051,29344,29621,29624,29740,29787,29888,29967,30001,30005,30015,30060,30078,30080,30150,30151,30189,30194,30194,30227,30538,30695,31025,31118,31275,31292,31495,32482,32488,32737,32801,32826,32896,32973,33142,33142,33200,33249,33291,33340,33345,33442,33443,33522,33524,33613,33613,33671,33716,33769
1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,130,134,180,183,183,190,218,237,287,292,293,299,304,318,339,366,381,384,397,407,445,492,557,689,689,799,836,883,997,1052,1063,1063,1116,1163,1223,1281,1434,1434,1435,1502,1590,1688,1835,1905,1907,1911,1991,2053,2170,2220,2286,2299,2307,2401,2478,2551,2650,2719,2753,2767,2834,2895,2948,2996,3032,3083,3092,3127,3196,3252,3343,3383,3383,3383,3476,3547,3658,3804,3838,3852,3861,3971,4071,4158,4236,4276,4296,4304,4407,4532,4653,4717,4765,4791,4814,4890,4960,5061,5124,5172,5182,5187,5226,5308,5310,5487,5544,5569,5617,5627,5683,5800,5868,5916,5929,5931,5967,5967,6075,6082,6122,6148,6149,6169,6182,6187,6209,6218,6218,6219,6221,6231,6232,6256,6256,6262,6262,6265,6280,6323,6386,6420,6438,6473,6478,6512,6568,6570,6603,6609,6611,6624,6633,6642,6643,6648,6662,6671,6684,6684,6708,6708,6717,6717,6735,6735,6743,6748,6761
1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,152,169,182,189,202,229,254,285,311,360,420,462,537,670,725,783,797,805,1024,1053,1118,1154,1304,1315,1319,1347,1356,1391,1441,1534,1535,1536,1592,1630,1691,1747,1808,1810,1815,1906,2012,2158,2203,2327,2349,2357,2384,2476,2549,2574,2623,2639,2645,2758,2844,2953,3025,3199,3220,3220,3255,3269,3326,3351,3434,3434,3434,3490,3592,3679,3750,3814,3824,3829,3898,3920,3941,3979,4010,4020,4029,4071,4088,4141,4206,4233,4247,4267,4305,4338,4388,4449,4521,4534,4540,4571,4601,4601,4769,4792,4806,4820,4822,4843,4947,4988,5034,5038,5041,5073,5073,5191,5191,5202,5234,5234,5281,5291,5292,5329,5334,5335,5335,5335,5341,5341,5365,5365,5375,5375,5375,5379,5428,5447,5518,5523,5556,5558,5576,5632,5634,5674,5689,5690,5696,5700,5710,5711,5721,5729,5732,5736,5736,5747,5747,5758,5758,5778,5778,5781,5782,5792
