fips,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18
1001,,,,,,,,,,,,,,,,,,,,,,,,662.0,734.0,795.0,796.0,796.0,817.0,1033.0,1173.0,1292.0,1425.0,1536.0,1548.0,1581.0,1613.0,1689.0,1868.0,2064.0,2117.0,2161.0,2283.0,2361.0,2468.0,2632.0,2657.0,2680.0,2870.0,3043.0,3160.0,3316.0,3468.0,3618.0,3650.0,3726.0,3821.0,3926.0,4081.0,4293.0,4386.0,4393.0,4481.0,4627.0,4744.0,4852.0,5171.0,5237.0,5276.0,5358.0,5416.0,5501.0,5620.0,5794.0,5845.0,5918.0,6001.0,6168.0,6309.0,6477.0,6693.0,6839.0,6900.0,7014.0,7161.0,7345.0,7570.0,7804.0,7903.0,7960.0,8133.0,8292.0,8508.0,8762.0,9033.0,9177.0,9256.0,9512.0,9672.0,9961.0,10213.0,10458.0,10458.0,10458.0,10765.0,10917.0,11181.0,11464.0,11822.0,11979.0,12024.0,12130.0,12337.0,12507.0,12780.0,12893.0,12928.0,12949.0,13026.0,13177.0,13286.0,13396.0,13500.0,13519.0,13542.0,13634.0,13760.0,13911.0,14027.0,14140.0,14158.0,14175.0,14213.0,14286.0,14294.0,14446.0,14683.0,14743.0,14803.0,14804.0,14876.0,15026.0,15136.0,15287.0,15293.0,15293.0,15412.0,15412.0,15543.0,15553.0,15651.0,15718.0,15718.0,15764.0,15791.0,15813.0,15862.0,15879.0,15886.0,15891.0,15891.0,15898.0,15898.0,15921.0,15922.0,15925.0,15933.0,15934.0,15953.0,16044.0,16117.0,16223.0,16254.0,16323.0,16332.0,16400.0,17231.0,17236.0,17330.0,17384.0,17412.0,17432.0,17473.0,17530.0,17530.0,17586.0,17701.0,17804.0,17894.0,17896.0,17989.0,17990.0,18069.0,18069.0,18118.0,18118.0,18154.0,18184.0,18218.0,18258.0,18291.0,18291.0,18413.0,18415.0,18515.0,18568.0,18568.0,18633.0
1003,,,,,,,,,,,,,,,,,2472.0,2672.0,2895.0,2915.0,2940.0,3113.0,3269.0,3446.0,3860.0,4086.0,4111.0,4152.0,4274.0,5528.0,6583.0,7839.0,8491.0,8639.0,8760.0,9232.0,9645.0,10229.0,13553.0,14387.0,14410.0,15104.0,16328.0,17911.0,18565.0,19118.0,20858.0,20910.0,21759.0,22994.0,23717.0,24443.0,25208.0,25762.0,25982.0,26304.0,26503.0,27373.0,27841.0,28516.0,28710.0,28859.0,29208.0,29549.0,30029.0,31005.0,31733.0,32503.0,32862.0,33326.0,33759.0,34262.0,34901.0,35769.0,36113.0,36312.0,36717.0,37447.0,38250.0,39271.0,40042.0,40317.0,40468.0,41166.0,41835.0,42533.0,43187.0,44640.0,44918.0,45000.0,46220.0,47113.0,47890.0,48897.0,49665.0,49997.0,50215.0,50744.0,51321.0,52223.0,53236.0,53815.0,53815.0,53815.0,54796.0,55448.0,56353.0,57317.0,58104.0,58523.0,58734.0,59256.0,59988.0,60570.0,61266.0,61902.0,62297.0,62375.0,62674.0,63153.0,63562.0,64005.0,64239.0,64347.0,64467.0,64781.0,65142.0,65477.0,65858.0,66153.0,66270.0,66387.0,66621.0,66944.0,66979.0,67786.0,68513.0,68749.0,68888.0,68898.0,69156.0,69723.0,70186.0,70489.0,70544.0,70554.0,70907.0,70920.0,71633.0,71733.0,72095.0,72565.0,72577.0,72839.0,72934.0,73062.0,73210.0,73250.0,73277.0,73302.0,73308.0,73345.0,73357.0,73429.0,73443.0,73470.0,73505.0,73531.0,73595.0,73963.0,74222.0,74644.0,74888.0,75151.0,75202.0,75494.0,80589.0,80604.0,80967.0,81180.0,81264.0,81411.0,81692.0,82243.0,82259.0,82503.0,83170.0,83848.0,84046.0,84067.0,84448.0,84455.0,85942.0,85953.0,86224.0,86231.0,86351.0,86506.0,86658.0,86825.0,86985.0,86990.0,87348.0,87358.0,87701.0,87943.0,87960.0,88155.0
1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.0,622.0,698.0,701.0,704.0,706.0,761.0,863.0,1083.0,1105.0,1105.0,1111.0,1202.0,1286.0,1320.0,1377.0,1395.0,1400.0,1465.0,1532.0,1640.0,1718.0,1780.0,1785.0,1788.0,1849.0,1900.0,1986.0,2076.0,2120.0,2124.0,2128.0,2166.0,2217.0,2289.0,2335.0,2432.0,2451.0,2459.0,2515.0,2565.0,2652.0,2765.0,2850.0,2853.0,2866.0,2919.0,3021.0,3087.0,3140.0,3168.0,3181.0,3184.0,3196.0,3292.0,3404.0,3438.0,3468.0,3485.0,3499.0,3555.0,3650.0,3706.0,3812.0,3869.0,3873.0,3876.0,3912.0,3939.0,3983.0,4028.0,4073.0,4073.0,4073.0,4202.0,4312.0,4422.0,4521.0,4907.0,4930.0,4942.0,5002.0,5054.0,5094.0,5116.0,5152.0,5165.0,5171.0,5186.0,5235.0,5255.0,5281.0,5320.0,5326.0,5334.0,5346.0,5401.0,5442.0,5474.0,5522.0,5527.0,5535.0,5552.0,5610.0,5611.0,5671.0,5715.0,5721.0,5726.0,5726.0,5755.0,5806.0,5839.0,5866.0,5867.0,5867.0,5905.0,5905.0,6327.0,6330.0,6361.0,6676.0,6679.0,6696.0,6814.0,6819.0,6847.0,6855.0,6855.0,6855.0,6856.0,6860.0,6860.0,6872.0,6873.0,6886.0,6887.0,6887.0,6904.0,6941.0,6959.0,7026.0,7035.0,7051.0,7064.0,7074.0,7401.0,7403.0,7472.0,7481.0,7488.0,7497.0,7527.0,7542.0,7542.0,7562.0,7601.0,7643.0,7666.0,7666.0,7686.0,7688.0,8068.0,8068.0,8097.0,8097.0,8108.0,8117.0,8130.0,8155.0,8164.0,8164.0,8201.0,8201.0,8243.0,8269.0,8269.0,8290.0
1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.0,600.0,685.0,801.0,803.0,916.0,992.0,1096.0,1415.0,1442.0,1444.0,1481.0,1552.0,1588.0,1652.0,1715.0,1751.0,1755.0,1784.0,1807.0,1857.0,1888.0,1920.0,1929.0,1948.0,1975.0,1988.0,1998.0,2023.0,2053.0,2094.0,2101.0,2117.0,2120.0,2135.0,2156.0,2192.0,2203.0,2208.0,2210.0,2225.0,2255.0,2284.0,2318.0,2325.0,2330.0,2366.0,2395.0,2448.0,2506.0,2595.0,2608.0,2614.0,2647.0,2685.0,2730.0,2768.0,2825.0,2841.0,2850.0,2897.0,2954.0,3025.0,3079.0,3141.0,3157.0,3167.0,3205.0,3275.0,3338.0,3439.0,3498.0,3498.0,3498.0,3543.0,3606.0,3678.0,3738.0,3820.0,3834.0,3845.0,3879.0,3932.0,3989.0,4029.0,4072.0,4080.0,4084.0,4109.0,4147.0,4189.0,4213.0,4253.0,4264.0,4268.0,4284.0,4320.0,4379.0,4406.0,4433.0,4438.0,4441.0,4464.0,4487.0,4488.0,4524.0,4559.0,4571.0,4573.0,4573.0,4585.0,4634.0,4664.0,4681.0,4683.0,4683.0,4706.0,4706.0,4739.0,4744.0,4757.0,4777.0,4777.0,5562.0,5568.0,5573.0,5581.0,5586.0,5586.0,5586.0,5586.0,5604.0,5604.0,5614.0,5614.0,5618.0,5621.0,5624.0,5629.0,5676.0,5696.0,5742.0,5751.0,5769.0,5770.0,5794.0,5845.0,5847.0,5884.0,5895.0,5897.0,6023.0,6028.0,6093.0,6098.0,6148.0,6184.0,6192.0,6204.0,6204.0,6246.0,6248.0,6273.0,6273.0,6298.0,6298.0,6307.0,6318.0,6347.0,6356.0,6373.0,6373.0,6385.0,6385.0,6399.0,6412.0,6412.0,6428.0
1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2121.0,2431.0,2656.0,2675.0,2696.0,2742.0,2803.0,2866.0,2932.0,3029.0,3038.0,3043.0,3185.0,3283.0,3363.0,3430.0,3609.0,3684.0,3686.0,3765.0,3784.0,3823.0,3892.0,4003.0,4014.0,4022.0,4077.0,4123.0,4199.0,4264.0,4299.0,4375.0,4393.0,4454.0,4541.0,4644.0,4777.0,4852.0,4870.0,4897.0,4945.0,5079.0,5218.0,5356.0,5509.0,5721.0,5733.0,5846.0,5985.0,6153.0,6302.0,6419.0,6435.0,6447.0,6596.0,6744.0,6970.0,7079.0,7232.0,7267.0,7293.0,7403.0,7572.0,7766.0,7948.0,8064.0,8064.0,8064.0,8293.0,8477.0,8672.0,8837.0,8976.0,9087.0,9127.0,9287.0,9461.0,9595.0,9677.0,9749.0,9774.0,9780.0,9857.0,10028.0,10086.0,10179.0,10232.0,10251.0,10274.0,10335.0,10405.0,10506.0,10631.0,10687.0,10704.0,10714.0,10777.0,10933.0,10936.0,11091.0,11248.0,11290.0,11312.0,11312.0,11376.0,11597.0,11681.0,11760.0,11772.0,11772.0,11866.0,11866.0,11987.0,11991.0,12066.0,12173.0,12173.0,12241.0,12271.0,12278.0,12299.0,12302.0,12304.0,12306.0,12307.0,12325.0,12325.0,12346.0,12347.0,12357.0,12379.0,12382.0,12389.0,12474.0,12527.0,12617.0,12647.0,12693.0,12695.0,12725.0,12913.0,12913.0,12997.0,13027.0,13045.0,13076.0,13109.0,13155.0,13155.0,13194.0,13231.0,13259.0,13299.0,13299.0,13356.0,13357.0,13388.0,13388.0,13450.0,13450.0,13458.0,13473.0,13504.0,13538.0,13557.0,13557.0,13609.0,13609.0,13663.0,13692.0,13693.0,13729.0
1011,,,,,,,,,,,,,,,,,,32.0,,,,,,,116.0,,,,163.0,176.0,278.0,321.0,341.0,344.0,344.0,355.0,359.0,378.0,420.0,484.0,484.0,521.0,523.0,558.0,601.0,759.0,763.0,793.0,805.0,828.0,848.0,870.0,893.0,924.0,931.0,976.0,984.0,990.0,1014.0,1021.0,1078.0,1089.0,1100.0,1113.0,1118.0,1175.0,1220.0,1287.0,1313.0,1337.0,1407.0,1468.0,1547.0,1588.0,1607.0,1629.0,1647.0,1687.0,1724.0,1750.0,1801.0,1811.0,1816.0,1828.0,1879.0,1904.0,1930.0,1951.0,1963.0,1969.0,1991.0,2015.0,2041.0,2064.0,2099.0,2114.0,2121.0,2139.0,2155.0,2673.0,2977.0,3004.0,3004.0,3004.0,3028.0,3049.0,3086.0,3136.0,3163.0,3178.0,3191.0,3204.0,3224.0,3239.0,3310.0,3330.0,3347.0,3363.0,3375.0,3389.0,3515.0,3531.0,3550.0,3559.0,3564.0,3571.0,3595.0,3610.0,3635.0,3645.0,3645.0,3646.0,3650.0,3657.0,3657.0,3685.0,3690.0,3697.0,3706.0,3706.0,3716.0,3746.0,3772.0,3782.0,3785.0,3785.0,3796.0,3796.0,3815.0,3816.0,3827.0,3844.0,3844.0,3845.0,3854.0,3860.0,3877.0,3877.0,3877.0,3877.0,3877.0,3878.0,3878.0,3880.0,3880.0,3882.0,3882.0,3882.0,3885.0,3903.0,3919.0,3940.0,3957.0,3991.0,3991.0,4005.0,4048.0,4048.0,4070.0,4078.0,4082.0,4085.0,4098.0,4108.0,4108.0,4127.0,4144.0,4197.0,4210.0,4212.0,4243.0,4243.0,4249.0,4249.0,4262.0,4262.0,4268.0,4274.0,4280.0,4296.0,4301.0,4301.0,4306.0,4306.0,4314.0,4322.0,4323.0,4329.0
1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884.0,900.0,904.0,922.0,1031.0,1064.0,1101.0,1202.0,1214.0,1217.0,1275.0,1326.0,1349.0,1426.0,1501.0,1515.0,1517.0,1549.0,1598.0,1612.0,1633.0,1671.0,1686.0,1686.0,1713.0,1812.0,1833.0,1875.0,1915.0,1928.0,1939.0,1966.0,1985.0,2026.0,2066.0,2111.0,2124.0,2140.0,2198.0,2319.0,2392.0,2463.0,2548.0,2570.0,2595.0,2678.0,2769.0,2852.0,2904.0,2950.0,2966.0,3006.0,3096.0,3223.0,3274.0,3359.0,3458.0,3480.0,3492.0,3547.0,3595.0,3682.0,3731.0,3784.0,3784.0,3784.0,3851.0,4463.0,4583.0,4757.0,4828.0,4836.0,4860.0,4917.0,4964.0,4987.0,5027.0,5046.0,5055.0,5062.0,5081.0,5134.0,5148.0,5170.0,5190.0,5198.0,5215.0,5226.0,5304.0,5380.0,5431.0,5443.0,5448.0,5455.0,5465.0,5498.0,5500.0,5528.0,5539.0,5543.0,5548.0,5548.0,5555.0,5615.0,5641.0,5656.0,5674.0,5674.0,5696.0,5696.0,5727.0,5730.0,5754.0,5781.0,5781.0,5795.0,5805.0,5808.0,5816.0,5816.0,5816.0,5816.0,5816.0,5820.0,5820.0,5826.0,5826.0,5826.0,5826.0,5827.0,5830.0,5855.0,5877.0,5917.0,5926.0,5947.0,5948.0,5972.0,6157.0,6159.0,6178.0,6189.0,6194.0,6206.0,6220.0,6233.0,6234.0,6252.0,6302.0,6323.0,6338.0,6338.0,6385.0,6385.0,6415.0,6415.0,6437.0,6437.0,6447.0,6467.0,6490.0,6499.0,6520.0,6520.0,6539.0,6539.0,6563.0,6574.0,6581.0,6592.0
1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5654.0,5830.0,5833.0,6027.0,6377.0,6849.0,7247.0,7308.0,7320.0,7368.0,7420.0,7584.0,7844.0,8075.0,8112.0,8120.0,9178.0,10210.0,11130.0,12164.0,13184.0,13260.0,13297.0,13767.0,13921.0,14024.0,14344.0,14478.0,14567.0,14579.0,14681.0,14940.0,15073.0,15368.0,15553.0,15608.0,15625.0,15828.0,15986.0,16177.0,16547.0,16699.0,16744.0,16774.0,16881.0,17224.0,17517.0,17912.0,18298.0,18453.0,18481.0,18703.0,19058.0,19690.0,20391.0,20803.0,21031.0,21156.0,21573.0,22012.0,22636.0,23186.0,23521.0,23693.0,23781.0,24304.0,24674.0,25336.0,26057.0,26496.0,26496.0,26496.0,27170.0,27629.0,28274.0,28654.0,29184.0,29330.0,29442.0,29844.0,30326.0,30617.0,30849.0,31209.0,31268.0,31315.0,31450.0,31670.0,31967.0,32245.0,32468.0,32522.0,32580.0,32725.0,32867.0,33022.0,33194.0,33286.0,33306.0,33344.0,33461.0,33665.0,33672.0,33996.0,34143.0,34214.0,34257.0,34259.0,34348.0,34735.0,35089.0,35328.0,35366.0,35369.0,35562.0,35562.0,35898.0,35969.0,36141.0,36309.0,36311.0,36499.0,36547.0,36642.0,36779.0,36796.0,36803.0,36810.0,36835.0,36842.0,36842.0,36864.0,36865.0,36879.0,36881.0,36881.0,36908.0,37049.0,37184.0,37397.0,37457.0,37589.0,37609.0,37697.0,39078.0,39081.0,39275.0,39370.0,39418.0,39465.0,39541.0,39685.0,39687.0,39777.0,39939.0,40083.0,40164.0,40169.0,40327.0,40329.0,40558.0,40559.0,40693.0,40693.0,40766.0,40822.0,40866.0,40900.0,40973.0,40974.0,41122.0,41123.0,41246.0,41317.0,41317.0,41402.0
1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.0,658.0,696.0,771.0,922.0,927.0,984.0,1055.0,1138.0,1337.0,1350.0,1389.0,1452.0,1466.0,1524.0,1624.0,1727.0,1737.0,1743.0,1853.0,1950.0,2085.0,2189.0,2268.0,2295.0,2304.0,2403.0,2479.0,2586.0,2675.0,2728.0,2736.0,2737.0,2782.0,2835.0,2877.0,2916.0,3035.0,3075.0,3087.0,3140.0,3205.0,3235.0,3311.0,3366.0,3396.0,3407.0,3460.0,3533.0,3630.0,3733.0,3827.0,3848.0,3864.0,3964.0,4035.0,4163.0,4314.0,4408.0,4441.0,4454.0,4562.0,4658.0,4822.0,4903.0,5007.0,5042.0,5061.0,5167.0,5256.0,5349.0,5446.0,5508.0,5508.0,5508.0,5629.0,5689.0,5772.0,5869.0,5922.0,5932.0,5950.0,6035.0,6113.0,6204.0,6278.0,6333.0,6362.0,6369.0,6405.0,6450.0,6497.0,6539.0,6557.0,6569.0,6583.0,6615.0,6656.0,6716.0,6745.0,6785.0,6786.0,6788.0,6807.0,6835.0,6840.0,6916.0,6959.0,6983.0,7006.0,7008.0,7052.0,7110.0,7152.0,7177.0,7184.0,7184.0,7223.0,7223.0,7319.0,7345.0,7376.0,7391.0,7392.0,7409.0,7418.0,7430.0,7441.0,7448.0,7448.0,7448.0,7448.0,7449.0,7451.0,7458.0,7458.0,7461.0,7461.0,7462.0,7473.0,7506.0,7548.0,7587.0,7597.0,7626.0,7629.0,7664.0,7722.0,7725.0,7793.0,7811.0,7828.0,7844.0,7866.0,7881.0,7883.0,7906.0,7924.0,7940.0,7987.0,7987.0,8041.0,8041.0,8060.0,8060.0,8098.0,8098.0,8105.0,8123.0,8143.0,8149.0,8169.0,8171.0,8200.0,8201.0,8228.0,8249.0,8249.0,8280.0
1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.0,1546.0,1643.0,1657.0,1659.0,1709.0,1737.0,1802.0,1849.0,1921.0,1935.0,1971.0,2123.0,2203.0,2326.0,2408.0,2434.0,2446.0,2457.0,2491.0,2513.0,2534.0,2655.0,2699.0,2717.0,2718.0,2728.0,2734.0,2750.0,2776.0,2880.0,2889.0,2892.0,2919.0,2935.0,2953.0,2979.0,3006.0,3013.0,3016.0,3042.0,3085.0,3228.0,3284.0,3352.0,3384.0,3387.0,3443.0,3537.0,3610.0,3640.0,3685.0,3705.0,3717.0,3783.0,3895.0,4034.0,4089.0,4239.0,4269.0,4288.0,4359.0,4390.0,4478.0,4500.0,4618.0,4618.0,4618.0,4706.0,4830.0,4961.0,5058.0,5148.0,5162.0,5175.0,5257.0,5323.0,5398.0,5462.0,5529.0,5538.0,5547.0,5570.0,5628.0,5662.0,5725.0,5751.0,5753.0,5755.0,5769.0,5793.0,5820.0,5873.0,5942.0,5944.0,5945.0,5987.0,6002.0,6004.0,6109.0,6130.0,6137.0,6142.0,6143.0,6158.0,6212.0,6225.0,6240.0,6261.0,6262.0,6280.0,6280.0,6333.0,6337.0,6361.0,6393.0,6393.0,6414.0,6420.0,6420.0,6425.0,6430.0,6434.0,6434.0,6434.0,6435.0,6436.0,6442.0,6442.0,6446.0,6446.0,6447.0,6450.0,6480.0,6497.0,6542.0,6557.0,6593.0,6596.0,6607.0,6636.0,6637.0,6665.0,6679.0,6679.0,6681.0,6686.0,6696.0,6696.0,6704.0,6717.0,6730.0,6735.0,6735.0,6752.0,6752.0,6762.0,6762.0,6783.0,6783.0,6787.0,6790.0,6802.0,6809.0,6819.0,6819.0,6824.0,6824.0,6844.0,6848.0,6849.0,6856.0
