fips,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17
2,61656.0,64948.0,72115.0,69706.0,78081.0,77794.0,74129.0,102784.0,125875.0,132234.0,138090.0,131669.0,128571.0,127998.0,137356.0,149510.0,151799.0,148124.0,139038.0,135254.0,145148.0,153638.0
1,288486.0,269332.0,298947.0,305363.0,486521.0,459778.0,453887.0,489159.0,469069.0,498299.0,528653.0,518218.0,511674.0,548066.0,601840.0,606428.0,589195.0,630318.0,619948.0,612141.0,671862.0,716883.0
5,156112.0,254038.0,262264.0,253577.0,263240.0,243349.0,231088.0,292225.0,277407.0,286272.0,344011.0,322890.0,314793.0,375880.0,363146.0,409209.0,385762.0,368990.0,368990.0,359032.0,435541.0,423910.0
60,10634.0,10634.0,9711.0,9711.0,9114.0,9112.0,9112.0,8371.0,8371.0,17185.0,21585.0,21585.0,21585.0,21585.0,19514.0,19514.0,19514.0,19514.0,19514.0,18910.0,18910.0,18910.0
4,181683.0,229841.0,421983.0,456721.0,471841.0,355568.0,298756.0,355143.0,461276.0,474056.0,579996.0,461133.0,408516.0,393001.0,593926.0,558751.0,582378.0,539982.0,466955.0,418964.0,482102.0,601562.0
6,1573295.0,2440500.0,2826319.0,2892789.0,2986355.0,2766606.0,2481573.0,3030945.0,3044921.0,3372981.0,3470097.0,3250368.0,3079646.0,4121639.0,4238855.0,4505232.0,4629266.0,4494163.0,4492645.0,4069412.0,4699679.0,4451233.0
8,117101.0,183779.0,244668.0,303724.0,335477.0,329083.0,287750.0,318496.0,385727.0,438530.0,439298.0,392961.0,392002.0,468624.0,519324.0,534504.0,513970.0,466522.0,466421.0,411343.0,396727.0,549247.0
9,101498.0,132873.0,187192.0,187089.0,236842.0,194028.0,167190.0,241781.0,247850.0,258282.0,277451.0,238948.0,205700.0,280228.0,285864.0,300583.0,297275.0,247560.0,247553.0,216646.0,288881.0,290968.0
11,60918.0,82591.0,98662.0,98975.0,104911.0,89909.0,86608.0,97593.0,107975.0,117084.0,116461.0,111220.0,106985.0,123119.0,120296.0,129165.0,135835.0,132336.0,124366.0,117674.0,124381.0,134307.0
10,20299.0,60496.0,84219.0,93981.0,87970.0,72503.0,66441.0,98518.0,89966.0,101771.0,97164.0,86298.0,81091.0,104114.0,112553.0,119320.0,111033.0,104225.0,104225.0,88119.0,98436.0,115156.0
12,730349.0,1077260.0,1494663.0,1407984.0,1379025.0,1268935.0,1265395.0,1666384.0,1944729.0,1886265.0,2082958.0,1870865.0,1866488.0,2493784.0,2460862.0,2263823.0,2264563.0,2137483.0,2036989.0,2028920.0,2626156.0,2649401.0
13,418402.0,488876.0,616663.0,683776.0,826246.0,808694.0,808517.0,982698.0,1021638.0,1151976.0,1129548.0,1071062.0,1045636.0,1300789.0,1373387.0,1439855.0,1382213.0,1299272.0,1227468.0,1191731.0,1377873.0,1470047.0
66,1713.0,800.0,-214.0,-1361.0,-1401.0,-3913.0,-3955.0,10098.0,31125.0,30429.0,31383.0,31376.0,31273.0,29464.0,27481.0,25798.0,24163.0,22478.0,21347.0,21253.0,20779.0,19409.0
15,66429.0,115861.0,119579.0,128553.0,134912.0,114962.0,108116.0,143749.0,157845.0,160076.0,163757.0,162064.0,145112.0,168020.0,171661.0,177747.0,173038.0,164139.0,153165.0,142965.0,172267.0,176272.0
19,96677.0,131547.0,170898.0,206355.0,218271.0,188691.0,166900.0,199332.0,229485.0,247531.0,245508.0,200285.0,166705.0,209788.0,226388.0,232265.0,223049.0,174262.0,174229.0,143706.0,187992.0,222011.0
16,21957.0,48371.0,75651.0,75198.0,92242.0,92825.0,80945.0,107474.0,106159.0,118209.0,136681.0,123072.0,111842.0,128765.0,129521.0,141460.0,147270.0,135654.0,121671.0,112186.0,152226.0,159738.0
17,570530.0,589311.0,865680.0,980238.0,917509.0,750926.0,668580.0,763758.0,903160.0,986156.0,1037814.0,905159.0,807027.0,1114780.0,1190889.0,1253604.0,1119164.0,969658.0,969545.0,869092.0,1152260.0,1194820.0
18,195060.0,405913.0,373527.0,351084.0,327110.0,258276.0,233471.0,428453.0,426266.0,435194.0,405428.0,361561.0,326581.0,550935.0,539328.0,537835.0,506024.0,410176.0,410101.0,377018.0,615496.0,610722.0
20,131072.0,182516.0,223591.0,297142.0,300869.0,257820.0,246646.0,239337.0,359144.0,383282.0,383728.0,357290.0,348680.0,343043.0,425159.0,410553.0,403885.0,406686.0,356825.0,347748.0,347598.0,440504.0
21,166542.0,329935.0,329745.0,322629.0,360557.0,297280.0,270490.0,357449.0,353327.0,332406.0,346369.0,301755.0,272055.0,398928.0,390567.0,408837.0,369440.0,305811.0,301151.0,265551.0,395022.0,370850.0
22,139974.0,220336.0,327116.0,321361.0,303246.0,274705.0,255104.0,394701.0,374844.0,376669.0,460945.0,459915.0,362971.0,452877.0,478051.0,483640.0,454232.0,426611.0,426493.0,406411.0,553738.0,543310.0
25,268178.0,247303.0,449416.0,448403.0,443201.0,355814.0,288202.0,277744.0,411881.0,440142.0,415078.0,348774.0,298044.0,431403.0,410704.0,483498.0,418071.0,329351.0,329351.0,270429.0,436382.0,448887.0
24,338471.0,502462.0,512622.0,596642.0,578151.0,511468.0,473300.0,556135.0,589571.0,612757.0,510182.0,470951.0,444782.0,539171.0,559169.0,578581.0,546376.0,507989.0,468168.0,438962.0,550466.0,588514.0
23,38259.0,55883.0,81998.0,92793.0,106313.0,83091.0,82081.0,117125.0,130701.0,153152.0,105071.0,104046.0,76135.0,109561.0,116137.0,139327.0,105990.0,106179.0,73293.0,60421.0,96881.0,108631.0
26,307039.0,463069.0,585044.0,569376.0,513340.0,386285.0,347441.0,714066.0,725051.0,702364.0,726077.0,646537.0,597853.0,971451.0,946241.0,927231.0,864191.0,848592.0,759376.0,755385.0,1023722.0,1047060.0
27,145841.0,174791.0,331189.0,329121.0,328628.0,205805.0,170159.0,209565.0,340387.0,348133.0,325703.0,272253.0,228044.0,264068.0,395163.0,387368.0,359366.0,262407.0,262281.0,225838.0,304629.0,413702.0
