fips,2021-01-12,2021-01-14,2021-01-15,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-16,2021-02-17,2021-02-18,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-28
2,105762,107854.0,101411.0,84119.0,82057.0,82418.0,74404.0,67356.0,61443.0,58669.0,64776.0,68978.0,72217.0,81954.0,77882.0,73560.0,71130.0,73532.0,104210.0,110389.0,111698.0,109353.0,102418.0,97566.0,104026.0,104045.0,107977.0,103914.0,96412.0,87719.0,80542.0,77933.0,72399.0,64794.0,61656.0,64948.0,72115.0,69706.0,78081.0,77794.0
1,298891,343050.0,344083.0,313855.0,344075.0,327206.0,320211.0,299685.0,277488.0,270613.0,314041.0,367556.0,376282.0,358485.0,316964.0,305426.0,301120.0,308668.0,376811.0,391247.0,369278.0,348927.0,341768.0,336464.0,332631.0,345373.0,368638.0,365085.0,362441.0,353296.0,379093.0,382155.0,360137.0,293487.0,288486.0,269332.0,298947.0,305363.0,486521.0,459778.0
5,233521,189484.0,179462.0,155463.0,161513.0,188238.0,160374.0,166974.0,154410.0,147555.0,158485.0,153351.0,200476.0,183507.0,165049.0,149907.0,142470.0,153330.0,176878.0,178698.0,184375.0,165376.0,146605.0,138386.0,176648.0,163821.0,162972.0,182754.0,173314.0,158164.0,148237.0,162276.0,173488.0,163058.0,156112.0,254038.0,262264.0,253577.0,263240.0,243349.0
60,8526,7679.0,14567.0,13694.0,13137.0,12786.0,11881.0,11619.0,10404.0,10404.0,10135.0,9365.0,9365.0,8525.0,8525.0,8525.0,7689.0,7689.0,7384.0,18193.0,17421.0,17191.0,17191.0,17191.0,16770.0,16132.0,15937.0,14418.0,14068.0,14068.0,13341.0,13181.0,13181.0,10672.0,10634.0,10634.0,9711.0,9711.0,9114.0,9112.0
4,421670,396960.0,374639.0,305449.0,470363.0,493651.0,492701.0,468542.0,438877.0,415838.0,406308.0,531742.0,524226.0,491178.0,456006.0,419271.0,392767.0,450388.0,524960.0,499584.0,466542.0,419212.0,376770.0,344982.0,402143.0,472418.0,449900.0,403179.0,352454.0,304420.0,241892.0,231575.0,193705.0,218579.0,181683.0,229841.0,421983.0,456721.0,471841.0,355568.0
6,2469749,2564882.0,2475616.0,2088145.0,2637121.0,2745625.0,2910946.0,2898305.0,2706617.0,2575892.0,2893698.0,2872909.0,2800224.0,2729663.0,2570369.0,2381199.0,2213266.0,2126683.0,2672609.0,2714422.0,2852718.0,2825900.0,2478334.0,2280638.0,2600747.0,2649803.0,2687436.0,2622471.0,2488922.0,2238937.0,2039658.0,2083514.0,2226260.0,1724552.0,1573295.0,2440500.0,2826319.0,2892789.0,2986355.0,2766606.0
8,292322,277069.0,259542.0,201483.0,290962.0,304056.0,293917.0,315417.0,258204.0,244820.0,268704.0,300523.0,311244.0,291521.0,268044.0,244166.0,223613.0,270528.0,323675.0,344302.0,327372.0,296215.0,261180.0,239115.0,287440.0,323534.0,347667.0,360180.0,324894.0,283668.0,223978.0,206258.0,229259.0,146639.0,117101.0,183779.0,244668.0,303724.0,335477.0,329083.0
9,99380,156778.0,142909.0,99251.0,187235.0,170368.0,189810.0,186054.0,171113.0,161586.0,173032.0,182984.0,190615.0,174255.0,157409.0,141758.0,129347.0,118560.0,143592.0,184349.0,165778.0,220900.0,206359.0,197886.0,245903.0,226575.0,212076.0,187847.0,192434.0,180021.0,202933.0,177884.0,154892.0,123741.0,101498.0,132873.0,187192.0,187089.0,236842.0,194028.0
11,32913,31646.0,28391.0,18337.0,23442.0,20067.0,33361.0,31232.0,28634.0,26831.0,32852.0,39489.0,73586.0,74997.0,71853.0,67999.0,66006.0,63572.0,74860.0,70805.0,68088.0,64919.0,61131.0,58475.0,58475.0,71250.0,81880.0,79690.0,77639.0,72587.0,67400.0,65440.0,63463.0,62451.0,60918.0,82591.0,98662.0,98975.0,104911.0,89909.0
10,61915,60160.0,60160.0,48693.0,54735.0,57231.0,62068.0,56302.0,52139.0,49411.0,60743.0,63401.0,59536.0,56475.0,51266.0,43821.0,41078.0,40005.0,47156.0,50741.0,47299.0,43050.0,38097.0,34875.0,35002.0,53134.0,48855.0,51484.0,45972.0,41638.0,36663.0,33939.0,29205.0,23260.0,20299.0,60496.0,84219.0,93981.0,87970.0,72503.0
