fips,2021-03-26,2021-03-27,2021-03-28,2021-03-29
01001,4639.0,4727.0,4777.0,4807.0
01003,29532.0,29941.0,30181.0,30381.0
01005,2323.0,2416.0,2425.0,2435.0
01007,1995.0,2021.0,2030.0,2031.0
01009,4135.0,4179.0,4186.0,4196.0
01011,1321.0,1350.0,1384.0,1393.0
01013,1849.0,1887.0,1892.0,1905.0
01015,14930.0,15081.0,15111.0,15136.0
01017,2975.0,3011.0,3050.0,3059.0
01019,3004.0,3178.0,3199.0,3199.0
01021,3012.0,3136.0,3149.0,3156.0
01023,2115.0,2158.0,2167.0,2178.0
01025,3770.0,3889.0,3904.0,3912.0
01027,1374.0,1400.0,1437.0,1438.0
01029,1513.0,1520.0,1522.0,1522.0
01031,5175.0,5244.0,5270.0,5277.0
01033,7110.0,7170.0,7200.0,7218.0
01035,1556.0,1583.0,1593.0,1600.0
01037,1319.0,1359.0,1365.0,1366.0
01039,3573.0,3655.0,3685.0,3695.0
01041,1266.0,1284.0,1296.0,1304.0
01043,10670.0,10914.0,10920.0,10925.0
01045,7822.0,7907.0,7934.0,7936.0
01047,5170.0,5208.0,5229.0,5239.0
01049,5440.0,5517.0,5525.0,5531.0
01051,7585.0,7713.0,7780.0,7825.0
01053,3395.0,3579.0,3594.0,3608.0
01055,10440.0,10790.0,10811.0,10825.0
01057,1619.0,1643.0,1682.0,1683.0
01059,3966.0,4007.0,4027.0,4039.0
01061,2808.0,2895.0,2912.0,2914.0
01063,830.0,901.0,916.0,920.0
01065,2369.0,2448.0,2509.0,2531.0
01067,2422.0,2484.0,2488.0,2489.0
01069,13864.0,14053.0,14083.0,14100.0
01071,7658.0,7741.0,7762.0,7775.0
01073,83974.0,86214.0,86835.0,87717.0
01075,2036.0,2082.0,2089.0,2091.0
01077,12282.0,12571.0,12641.0,12661.0
01079,4116.0,4166.0,4206.0,4230.0
01081,21831.0,22117.0,22183.0,22206.0
01083,9871.0,10109.0,10153.0,10175.0
01085,816.0,832.0,847.0,860.0
01087,2513.0,2564.0,2588.0,2601.0
01089,50741.0,51485.0,51818.0,51934.0
01091,2662.0,2726.0,2745.0,2756.0
01093,3299.0,3341.0,3355.0,3359.0
01095,10242.0,10333.0,10349.0,10356.0
01097,53117.0,54056.0,55207.0,55543.0
01099,2682.0,2695.0,2699.0,2705.0
01101,27013.0,27488.0,27899.0,28100.0
01103,13754.0,13972.0,14008.0,14036.0
01105,1304.0,1404.0,1413.0,1416.0
01107,2321.0,2345.0,2364.0,2371.0
01109,3770.0,3810.0,3824.0,3828.0
01111,2586.0,2615.0,2619.0,2619.0
01113,4354.0,4459.0,4503.0,4523.0
01117,14409.0,14723.0,14820.0,14916.0
01115,6617.0,6844.0,6886.0,6914.0
01119,1634.0,1653.0,1661.0,1678.0
01121,7899.0,8074.0,8091.0,8101.0
01123,5021.0,5073.0,5096.0,5107.0
01125,23426.0,23724.0,24094.0,24135.0
01127,7568.0,7679.0,7706.0,7725.0
01129,2377.0,2412.0,2424.0,2431.0
01131,1672.0,1727.0,1754.0,1777.0
01133,1571.0,1595.0,1597.0,1601.0
02013,571.0,591.0,603.0,603.0
02016,683.0,696.0,712.0,777.0
02020,62500.0,64189.0,65615.0,65909.0
02050,5968.0,6050.0,6103.0,6106.0
02060,311.0,319.0,319.0,319.0
02068,294.0,302.0,316.0,316.0
02070,1255.0,1256.0,1287.0,1297.0
02090,14279.0,14427.0,15083.0,15122.0
02100,1080.0,1081.0,1081.0,1081.0
02105,882.0,883.0,883.0,885.0
02110,7281.0,7336.0,7424.0,7488.0
02122,11019.0,11165.0,11296.0,11378.0
02130,3253.0,3267.0,3347.0,3352.0
02150,3433.0,3542.0,3639.0,3640.0
02158,,,,
02164,475.0,483.0,488.0,490.0
02170,13841.0,14275.0,14585.0,14636.0
02180,4063.0,4128.0,4186.0,4205.0
02185,1862.0,1876.0,1903.0,1937.0
02188,2214.0,2215.0,2228.0,2271.0
02195,1477.0,1478.0,1515.0,1515.0
02198,1627.0,1641.0,1684.0,1685.0
02220,3759.0,3769.0,3781.0,3783.0
02230,554.0,554.0,609.0,609.0
02240,980.0,992.0,997.0,997.0
02261,2127.0,2147.0,2247.0,2247.0
02275,816.0,821.0,822.0,823.0
02282,278.0,278.0,278.0,278.0
02290,2057.0,2066.0,2071.0,2072.0
04001,27004.0,27379.0,27779.0,28016.0
04003,17557.0,18419.0,19136.0,19581.0
