fips,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24
1001,4639.0,4727.0,4777.0,4807.0,4881.0,4961.0,5059.0,5168.0,5301.0,5339.0,5344.0,5398.0,5507.0,5673.0,5816.0,6102.0,6330.0,6383.0,6528.0,6647.0,6827.0,7061.0,7357.0,7483.0,7538.0,7720.0,7900.0,8085.0,8285.0,8521.0,8635.0,8727.0,8802.0,8973.0,9167.0,9403.0,9680.0,9696.0,9711.0,9759.0,9953.0,9969.0,10390.0,10650.0,10697.0,10723.0,10723.0,10833.0,11136.0,11330.0,11527.0,11536.0,11536.0,11639.0,11639.0,11817.0,11829.0,11924.0,12035.0,12035.0,12088.0,12111.0,12127.0,12162.0,12199.0,12209.0,12212.0,12226.0,12228.0,12259.0,12259.0,12263.0,12283.0,12286.0,12311.0,12466.0,12578.0,12713.0,12765.0,12858.0,12875.0,12966.0,13344.0,13354.0,13470.0,13499.0,13507.0,13524.0,13551.0,13574.0
1003,29532.0,29941.0,30181.0,30381.0,30863.0,31423.0,32112.0,32782.0,33150.0,33417.0,33477.0,34006.0,34837.0,35618.0,36314.0,37366.0,37598.0,37686.0,38772.0,39844.0,40334.0,41216.0,41811.0,42160.0,42297.0,43020.0,43685.0,44346.0,45140.0,45612.0,45863.0,45955.0,46278.0,46884.0,47493.0,48263.0,48719.0,48809.0,48898.0,49262.0,49950.0,50007.0,51421.0,52357.0,52783.0,52929.0,52947.0,53367.0,54321.0,54943.0,55370.0,55426.0,55439.0,55887.0,55895.0,56580.0,56728.0,57040.0,57484.0,57497.0,57884.0,58024.0,58167.0,58339.0,58385.0,58423.0,58453.0,58501.0,58514.0,58644.0,58657.0,58692.0,58711.0,58754.0,58865.0,59382.0,59699.0,60248.0,60508.0,60885.0,60949.0,61315.0,63657.0,63679.0,64146.0,64316.0,64391.0,64521.0,64682.0,64967.0
1005,2323.0,2416.0,2425.0,2435.0,2501.0,2561.0,2672.0,2773.0,2857.0,2862.0,2863.0,2897.0,2986.0,3020.0,3057.0,3151.0,3157.0,3158.0,3183.0,3241.0,3260.0,3347.0,3384.0,3394.0,3403.0,3427.0,3511.0,3549.0,3600.0,3631.0,3637.0,3638.0,3713.0,3834.0,3925.0,4020.0,4321.0,4325.0,4326.0,4388.0,4439.0,4441.0,4506.0,4539.0,4548.0,4553.0,4553.0,4579.0,4645.0,4677.0,4713.0,4719.0,4719.0,4748.0,4748.0,4799.0,4801.0,4817.0,4842.0,4842.0,4861.0,4893.0,4897.0,4921.0,4936.0,4936.0,4936.0,4964.0,4964.0,4968.0,4968.0,4970.0,4973.0,4973.0,4979.0,5047.0,5071.0,5186.0,5199.0,5214.0,5221.0,5232.0,5600.0,5601.0,5673.0,5693.0,5703.0,5714.0,5737.0,5778.0
1007,1995.0,2021.0,2030.0,2031.0,2053.0,2096.0,2148.0,2185.0,2203.0,2211.0,2211.0,2254.0,2310.0,2364.0,2403.0,2495.0,2507.0,2507.0,2546.0,2590.0,2651.0,2677.0,2730.0,2736.0,2742.0,2778.0,2830.0,2864.0,2929.0,2998.0,3010.0,3011.0,3069.0,3124.0,3182.0,3232.0,3266.0,3275.0,3278.0,3291.0,3312.0,3313.0,3400.0,3457.0,3477.0,3482.0,3482.0,3506.0,3594.0,3641.0,3678.0,3690.0,3690.0,3722.0,3722.0,3780.0,3791.0,3808.0,3853.0,3854.0,3868.0,3876.0,3880.0,3887.0,3893.0,3894.0,3894.0,3904.0,3903.0,3910.0,3910.0,3919.0,3923.0,3924.0,3932.0,3997.0,4033.0,4111.0,4122.0,4136.0,4138.0,4161.0,4192.0,4192.0,4232.0,4236.0,4238.0,4436.0,4451.0,4537.0
1009,4135.0,4179.0,4186.0,4196.0,4238.0,4274.0,4383.0,4531.0,4578.0,4592.0,4601.0,4678.0,4764.0,4871.0,5023.0,5121.0,5157.0,5173.0,5280.0,5394.0,5606.0,5790.0,5920.0,5939.0,5947.0,6050.0,6181.0,6278.0,6446.0,6598.0,6639.0,6666.0,6769.0,6883.0,7035.0,7283.0,7375.0,7408.0,7419.0,7516.0,7674.0,7677.0,8022.0,8198.0,8232.0,8244.0,8244.0,8357.0,8541.0,8705.0,8768.0,8780.0,8780.0,8848.0,8848.0,9001.0,9023.0,9154.0,9228.0,9228.0,9323.0,9345.0,9355.0,9388.0,9404.0,9409.0,9410.0,9419.0,9419.0,9463.0,9464.0,9476.0,9487.0,9489.0,9514.0,9665.0,9757.0,9928.0,9998.0,10079.0,10096.0,10139.0,10352.0,10354.0,10438.0,10487.0,10492.0,10510.0,10552.0,10565.0
1011,1321.0,1350.0,1384.0,1393.0,1421.0,1450.0,1484.0,1517.0,1562.0,1565.0,1571.0,1577.0,1608.0,1645.0,1698.0,1713.0,1719.0,1727.0,1740.0,1777.0,1796.0,1848.0,1851.0,1858.0,1862.0,1872.0,1888.0,2462.0,2489.0,2501.0,2506.0,2516.0,2527.0,2544.0,2561.0,2582.0,2616.0,2618.0,2618.0,2625.0,2646.0,2648.0,2709.0,2737.0,2762.0,2792.0,2792.0,2818.0,2867.0,2920.0,2952.0,2954.0,2954.0,2960.0,2960.0,2980.0,2981.0,2998.0,3011.0,3011.0,3013.0,3021.0,3024.0,3035.0,3035.0,3035.0,3035.0,3037.0,3037.0,3038.0,3038.0,3038.0,3038.0,3038.0,3039.0,3064.0,3089.0,3115.0,3140.0,3175.0,3175.0,3185.0,3229.0,3229.0,3239.0,3239.0,3239.0,3240.0,3245.0,3248.0
1013,1849.0,1887.0,1892.0,1905.0,1934.0,1974.0,2028.0,2079.0,2132.0,2141.0,2157.0,2214.0,2349.0,2413.0,2475.0,2523.0,2532.0,2557.0,2600.0,2682.0,2711.0,2741.0,2769.0,2788.0,2797.0,2857.0,2971.0,3005.0,3041.0,3084.0,3097.0,3107.0,3123.0,3159.0,3542.0,3764.0,3853.0,3866.0,3885.0,3925.0,3977.0,3977.0,4053.0,4088.0,4101.0,4110.0,4110.0,4150.0,4223.0,4304.0,4325.0,4330.0,4330.0,4368.0,4368.0,4403.0,4407.0,4424.0,4449.0,4449.0,4477.0,4496.0,4496.0,4503.0,4504.0,4504.0,4504.0,4509.0,4509.0,4512.0,4512.0,4512.0,4512.0,4512.0,4514.0,4533.0,4588.0,4641.0,4657.0,4678.0,4678.0,4696.0,4773.0,4774.0,4800.0,4802.0,4807.0,4810.0,4825.0,4831.0
1015,14930.0,15081.0,15111.0,15136.0,15421.0,15617.0,15742.0,16114.0,16274.0,16313.0,16349.0,16497.0,16710.0,16897.0,17405.0,17738.0,17887.0,17942.0,18348.0,18815.0,19170.0,19920.0,20261.0,20397.0,20557.0,20772.0,21144.0,21525.0,21975.0,22267.0,22489.0,22583.0,22870.0,23155.0,23443.0,24109.0,24284.0,24335.0,24420.0,24609.0,24961.0,24977.0,25840.0,26212.0,26316.0,26414.0,26432.0,26608.0,27169.0,27725.0,28022.0,28059.0,28060.0,28361.0,28362.0,28846.0,28971.0,29262.0,29565.0,29568.0,29699.0,29746.0,29881.0,29959.0,29993.0,29997.0,30053.0,30071.0,30073.0,30142.0,30143.0,30181.0,30186.0,30186.0,30218.0,30513.0,30674.0,31004.0,31097.0,31268.0,31285.0,31483.0,32302.0,32308.0,32560.0,32623.0,32648.0,32717.0,32794.0,32963.0
1017,2975.0,3011.0,3050.0,3059.0,3095.0,3163.0,3219.0,3310.0,3346.0,3362.0,3367.0,3419.0,3490.0,3599.0,3745.0,3776.0,3788.0,3796.0,3904.0,4003.0,4089.0,4191.0,4229.0,4250.0,4258.0,4361.0,4486.0,4606.0,4670.0,4718.0,4744.0,4767.0,4843.0,4931.0,5027.0,5089.0,5140.0,5150.0,5155.0,5194.0,5275.0,5277.0,5452.0,5522.0,5547.0,5588.0,5590.0,5640.0,5765.0,5837.0,5885.0,5891.0,5893.0,5926.0,5926.0,6051.0,6072.0,6110.0,6132.0,6133.0,6153.0,6166.0,6180.0,6202.0,6210.0,6210.0,6213.0,6223.0,6224.0,6248.0,6248.0,6254.0,6254.0,6257.0,6271.0,6315.0,6379.0,6413.0,6430.0,6467.0,6472.0,6506.0,6560.0,6561.0,6599.0,6605.0,6607.0,6621.0,6630.0,6639.0
1019,3004.0,3178.0,3199.0,3199.0,3234.0,3248.0,3305.0,3330.0,3413.0,3419.0,3422.0,3467.0,3567.0,3653.0,3723.0,3787.0,3795.0,3800.0,3869.0,3891.0,3912.0,3952.0,3979.0,3988.0,3997.0,4039.0,4056.0,4109.0,4176.0,4202.0,4216.0,4236.0,4273.0,4310.0,4357.0,4419.0,4493.0,4506.0,4512.0,4544.0,4575.0,4575.0,4743.0,4765.0,4780.0,4793.0,4795.0,4815.0,4925.0,4970.0,5016.0,5036.0,5039.0,5071.0,5071.0,5190.0,5192.0,5202.0,5235.0,5235.0,5281.0,5291.0,5292.0,5329.0,5334.0,5335.0,5335.0,5341.0,5341.0,5365.0,5365.0,5375.0,5375.0,5375.0,5379.0,5427.0,5446.0,5517.0,5522.0,5556.0,5558.0,5576.0,5629.0,5631.0,5671.0,5686.0,5687.0,5693.0,5697.0,5707.0
