GEOID,NAME,average,state_abbr,state_name
39153,Summit County ,271.43,OH,Ohio
39169,Wayne County ,49.14,OH,Ohio
39085,Lake County ,147.14,OH,Ohio
39017,Butler County ,119.86,OH,Ohio
39055,Geauga County ,52.86,OH,Ohio
39041,Delaware County ,67.86,OH,Ohio
39099,Mahoning County ,130.0,OH,Ohio
39089,Licking County ,55.86,OH,Ohio
39035,Cuyahoga County ,535.0,OH,Ohio
39045,Fairfield County ,45.86,OH,Ohio
39155,Trumbull County ,117.29,OH,Ohio
39103,Medina County ,94.57,OH,Ohio
39159,Union County ,31.43,OH,Ohio
39093,Lorain County ,156.0,OH,Ohio
39151,Stark County ,183.0,OH,Ohio
39165,Warren County ,77.14,OH,Ohio
39007,Ashtabula County ,77.0,OH,Ohio
39029,Columbiana County ,70.29,OH,Ohio
39133,Portage County ,87.0,OH,Ohio
26121,Muskegon County ,122.14,MI,Michigan
26139,Ottawa County ,232.14,MI,Michigan
26087,Lapeer County ,49.0,MI,Michigan
26049,Genesee County ,244.43,MI,Michigan
26015,Barry County ,44.86,MI,Michigan
26065,Ingham County ,138.0,MI,Michigan
26067,Ionia County ,53.57,MI,Michigan
26125,Oakland County ,591.43,MI,Michigan
26091,Lenawee County ,68.71,MI,Michigan
26147,St. Clair County ,100.57,MI,Michigan
26027,Cass County ,24.86,MI,Michigan
26081,Kent County ,472.29,MI,Michigan
26045,Eaton County ,75.43,MI,Michigan
26155,Shiawassee County ,60.0,MI,Michigan
26115,Monroe County ,67.86,MI,Michigan
26123,Newaygo County ,35.14,MI,Michigan
26117,Montcalm County ,50.71,MI,Michigan
26005,Allegan County ,81.57,MI,Michigan
26093,Livingston County ,129.14,MI,Michigan
26099,Macomb County ,500.0,MI,Michigan
26145,Saginaw County ,117.14,MI,Michigan
26157,Tuscola County ,33.71,MI,Michigan
26163,Wayne County ,775.29,MI,Michigan
26075,Jackson County ,135.0,MI,Michigan
26161,Washtenaw County ,138.0,MI,Michigan
26025,Calhoun County ,84.14,MI,Michigan
17093,Kendall County ,47.43,IL,Illinois
17037,DeKalb County ,33.86,IL,Illinois
17043,DuPage County ,273.0,IL,Illinois
17163,St. Clair County ,60.86,IL,Illinois
17063,Grundy County ,26.57,IL,Illinois
17031,Cook County ,1255.57,IL,Illinois
17119,Madison County ,69.0,IL,Illinois
17089,Kane County ,162.43,IL,Illinois
17197,Will County ,225.14,IL,Illinois
17097,Lake County ,221.43,IL,Illinois
17111,McHenry County ,136.57,IL,Illinois
55015,Calumet County ,28.14,WI,Wisconsin
55131,Washington County ,77.14,WI,Wisconsin
55089,Ozaukee County ,40.29,WI,Wisconsin
55105,Rock County ,68.86,WI,Wisconsin
55101,Racine County ,106.86,WI,Wisconsin
