GEOID,NAME,average,state_abbr,state_name
42113,Sullivan County ,25.44,PA,Pennsylvania
42015,Bradford County ,40.31,PA,Pennsylvania
42117,Tioga County ,14.55,PA,Pennsylvania
42103,Pike County ,15.7,PA,Pennsylvania
42131,Wyoming County ,20.2,PA,Pennsylvania
42127,Wayne County ,12.2,PA,Pennsylvania
42017,Bucks County ,13.41,PA,Pennsylvania
42089,Monroe County ,13.64,PA,Pennsylvania
42101,Philadelphia County ,9.05,PA,Pennsylvania
42115,Susquehanna County ,22.12,PA,Pennsylvania
26087,Lapeer County ,11.99,MI,Michigan
26049,Genesee County ,22.13,MI,Michigan
26015,Barry County ,12.37,MI,Michigan
26137,Otsego County ,16.4,MI,Michigan
26057,Gratiot County ,20.18,MI,Michigan
26065,Ingham County ,28.81,MI,Michigan
26067,Ionia County ,17.14,MI,Michigan
26125,Oakland County ,38.16,MI,Michigan
26091,Lenawee County ,21.76,MI,Michigan
26045,Eaton County ,21.99,MI,Michigan
26155,Shiawassee County ,22.53,MI,Michigan
26115,Monroe County ,32.54,MI,Michigan
26117,Montcalm County ,11.07,MI,Michigan
26093,Livingston County ,32.89,MI,Michigan
26029,Charlevoix County ,17.44,MI,Michigan
26099,Macomb County ,33.17,MI,Michigan
26145,Saginaw County ,17.93,MI,Michigan
26163,Wayne County ,33.45,MI,Michigan
26075,Jackson County ,23.28,MI,Michigan
26037,Clinton County ,33.74,MI,Michigan
26161,Washtenaw County ,57.07,MI,Michigan
17093,Kendall County ,31.41,IL,Illinois
17105,Livingston County ,10.62,IL,Illinois
17129,Menard County ,12.71,IL,Illinois
17179,Tazewell County ,20.38,IL,Illinois
17113,McLean County ,37.85,IL,Illinois
17053,Ford County ,14.93,IL,Illinois
17037,DeKalb County ,32.22,IL,Illinois
17141,Ogle County ,17.26,IL,Illinois
17099,LaSalle County ,19.15,IL,Illinois
17115,Macon County ,11.13,IL,Illinois
17043,DuPage County ,42.12,IL,Illinois
17039,De Witt County ,21.37,IL,Illinois
17063,Grundy County ,18.1,IL,Illinois
17107,Logan County ,35.71,IL,Illinois
17031,Cook County ,27.89,IL,Illinois
17007,Boone County ,23.98,IL,Illinois
17203,Woodford County ,13.62,IL,Illinois
17089,Kane County ,27.32,IL,Illinois
17197,Will County ,27.28,IL,Illinois
17097,Lake County ,33.91,IL,Illinois
17147,Piatt County ,15.65,IL,Illinois
17201,Winnebago County ,24.86,IL,Illinois
17111,McHenry County ,27.71,IL,Illinois
17019,Champaign County ,47.34,IL,Illinois
36099,Seneca County ,27.65,NY,New York
36101,Steuben County ,37.73,NY,New York
36097,Schuyler County ,21.44,NY,New York
36015,Chemung County ,39.15,NY,New York
36067,Onondaga County ,36.59,NY,New York
36025,Delaware County ,22.6,NY,New York
36077,Otsego County ,29.4,NY,New York
36007,Broome County ,38.8,NY,New York
36017,Chenango County ,32.21,NY,New York
36109,Tompkins County ,57.44,NY,New York
36093,Schenectady County ,49.07,NY,New York
36039,Greene County ,22.5,NY,New York
36011,Cayuga County ,28.25,NY,New York
36037,Genesee County ,35.4,NY,New York
36121,Wyoming County ,28.88,NY,New York
36115,Washington County ,44.36,NY,New York
36123,Yates County ,32.56,NY,New York
36091,Saratoga County ,46.12,NY,New York
36095,Schoharie County ,30.06,NY,New York
36055,Monroe County ,36.41,NY,New York
36023,Cortland County ,29.98,NY,New York
36079,Putnam County ,35.47,NY,New York
36103,Suffolk County ,32.18,NY,New York
36113,Warren County ,56.05,NY,New York
36061,New York County ,40.26,NY,New York
36029,Erie County ,55.89,NY,New York
36083,Rensselaer County ,41.85,NY,New York
36069,Ontario County ,36.67,NY,New York
36087,Rockland County ,29.08,NY,New York
36031,Essex County ,30.27,NY,New York
36051,Livingston County ,31.07,NY,New York
36075,Oswego County ,38.74,NY,New York
36059,Nassau County ,40.72,NY,New York
36065,Oneida County ,49.4,NY,New York
36071,Orange County ,32.6,NY,New York
36105,Sullivan County ,26.97,NY,New York
36089,St. Lawrence County ,16.56,NY,New York
36119,Westchester County ,34.46,NY,New York
36043,Herkimer County ,34.74,NY,New York
36027,Dutchess County ,28.82,NY,New York
36073,Orleans County ,35.74,NY,New York
36107,Tioga County ,50.39,NY,New York
36035,Fulton County ,37.21,NY,New York
36021,Columbia County ,29.78,NY,New York
36063,Niagara County ,43.25,NY,New York
36057,Montgomery County ,30.35,NY,New York
36117,Wayne County ,30.5,NY,New York
36053,Madison County ,34.03,NY,New York
36049,Lewis County ,26.73,NY,New York
36111,Ulster County ,33.78,NY,New York
36003,Allegany County ,23.39,NY,New York
36019,Clinton County ,36.78,NY,New York
36033,Franklin County ,28.18,NY,New York
36045,Jefferson County ,33.45,NY,New York
36009,Cattaraugus County ,26.11,NY,New York
36041,Hamilton County ,15.61,NY,New York
36013,Chautauqua County ,25.23,NY,New York
36001,Albany County ,41.03,NY,New York
36047,Kings County ,26.27,NY,New York
36081,Queens County ,29.67,NY,New York
36005,Bronx County ,14.9,NY,New York
36085,Richmond County ,26.85,NY,New York
21069,Fleming County ,22.69,KY,Kentucky
21067,Fayette County ,16.63,KY,Kentucky
21205,Rowan County ,12.83,KY,Kentucky
21197,Powell County ,9.28,KY,Kentucky
21201,Robertson County ,53.33,KY,Kentucky
21165,Menifee County ,24.53,KY,Kentucky
21023,Bracken County ,12.04,KY,Kentucky
21181,Nicholas County ,12.07,KY,Kentucky
27131,Rice County ,17.81,MN,Minnesota
27003,Anoka County ,20.72,MN,Minnesota
27017,Carlton County ,30.55,MN,Minnesota
27163,Washington County ,27.18,MN,Minnesota
27123,Ramsey County ,25.88,MN,Minnesota
27143,Sibley County ,15.33,MN,Minnesota
27019,Carver County ,26.03,MN,Minnesota
27109,Olmsted County ,43.96,MN,Minnesota
27049,Goodhue County ,37.4,MN,Minnesota
27053,Hennepin County ,34.17,MN,Minnesota
27171,Wright County ,13.78,MN,Minnesota
27039,Dodge County ,33.32,MN,Minnesota
27169,Winona County ,22.76,MN,Minnesota
27157,Wabasha County ,24.58,MN,Minnesota
27139,Scott County ,24.81,MN,Minnesota
27099,Mower County ,18.04,MN,Minnesota
27037,Dakota County ,24.56,MN,Minnesota
27055,Houston County ,21.43,MN,Minnesota
27141,Sherburne County ,11.34,MN,Minnesota
27137,St. Louis County ,18.06,MN,Minnesota
27045,Fillmore County ,26.67,MN,Minnesota
37063,Durham County ,40.74,NC,North Carolina
37077,Granville County ,17.96,NC,North Carolina
37125,Moore County ,14.79,NC,North Carolina
37135,Orange County ,32.48,NC,North Carolina
37169,Stokes County ,11.51,NC,North Carolina
37151,Randolph County ,12.49,NC,North Carolina
37183,Wake County ,37.27,NC,North Carolina
37145,Person County ,13.45,NC,North Carolina
37037,Chatham County ,22.31,NC,North Carolina
37085,Harnett County ,21.37,NC,North Carolina
37033,Caswell County ,12.56,NC,North Carolina
37001,Alamance County ,23.75,NC,North Carolina
37087,Haywood County ,14.89,NC,North Carolina
37113,Macon County ,8.72,NC,North Carolina
51199,York County ,16.91,VA,Virginia
51073,Gloucester County ,11.53,VA,Virginia
51075,Goochland County ,16.52,VA,Virginia
51013,Arlington County ,49.12,VA,Virginia
51109,Louisa County ,13.32,VA,Virginia
51177,Spotsylvania County ,21.52,VA,Virginia
51036,Charles City County ,10.21,VA,Virginia
51610,City of Falls Church,46.72,VA,Virginia
51760,City of Richmond,15.9,VA,Virginia
51087,Henrico County ,28.43,VA,Virginia
51059,Fairfax County ,26.57,VA,Virginia
51003,Albemarle County ,26.46,VA,Virginia
51085,Hanover County ,19.97,VA,Virginia
51145,Powhatan County ,18.5,VA,Virginia
51510,City of Alexandria,37.7,VA,Virginia
51041,Chesterfield County ,22.01,VA,Virginia
50019,Orleans County ,29.73,VT,Vermont
50021,Rutland County ,61.94,VT,Vermont
50027,Windsor County ,49.74,VT,Vermont
50013,Grand Isle County ,22.56,VT,Vermont
50017,Orange County ,44.43,VT,Vermont
50025,Windham County ,36.42,VT,Vermont
50007,Chittenden County ,61.44,VT,Vermont
50001,Addison County ,36.35,VT,Vermont
50005,Caledonia County ,19.25,VT,Vermont
50011,Franklin County ,37.88,VT,Vermont
50003,Bennington County ,62.04,VT,Vermont
50015,Lamoille County ,18.09,VT,Vermont
50023,Washington County ,62.3,VT,Vermont
50009,Essex County ,11.51,VT,Vermont
48247,Jim Hogg County ,13.52,TX,Texas
48077,Clay County ,19.25,TX,Texas
48283,La Salle County ,48.2,TX,Texas
48505,Zapata County ,24.86,TX,Texas
34021,Mercer County ,36.34,NJ,New Jersey
34007,Camden County ,26.44,NJ,New Jersey
34011,Cumberland County ,20.21,NJ,New Jersey
34013,Essex County ,37.57,NJ,New Jersey
34035,Somerset County ,42.62,NJ,New Jersey
34001,Atlantic County ,25.53,NJ,New Jersey
34039,Union County ,33.32,NJ,New Jersey
34031,Passaic County ,29.65,NJ,New Jersey
34005,Burlington County ,31.81,NJ,New Jersey
34041,Warren County ,26.75,NJ,New Jersey
34027,Morris County ,43.46,NJ,New Jersey
34003,Bergen County ,48.86,NJ,New Jersey
34015,Gloucester County ,21.56,NJ,New Jersey
34025,Monmouth County ,39.53,NJ,New Jersey
34019,Hunterdon County ,31.42,NJ,New Jersey
34033,Salem County ,24.59,NJ,New Jersey
34017,Hudson County ,32.18,NJ,New Jersey
34037,Sussex County ,33.73,NJ,New Jersey
34029,Ocean County ,34.63,NJ,New Jersey
34023,Middlesex County ,40.99,NJ,New Jersey
55105,Rock County ,16.96,WI,Wisconsin
55115,Shawano County ,26.48,WI,Wisconsin
55123,Vernon County ,18.26,WI,Wisconsin
55053,Jackson County ,11.15,WI,Wisconsin
55091,Pepin County ,13.77,WI,Wisconsin
55045,Green County ,26.35,WI,Wisconsin
55121,Trempealeau County ,16.98,WI,Wisconsin
55011,Buffalo County ,11.93,WI,Wisconsin
55067,Langlade County ,10.44,WI,Wisconsin
55063,La Crosse County ,25.94,WI,Wisconsin
55111,Sauk County ,17.97,WI,Wisconsin
55109,St. Croix County ,17.22,WI,Wisconsin
55135,Waupaca County ,10.55,WI,Wisconsin
55127,Walworth County ,10.96,WI,Wisconsin
55093,Pierce County ,14.08,WI,Wisconsin
55059,Kenosha County ,12.73,WI,Wisconsin
55049,Iowa County ,14.52,WI,Wisconsin
23009,Hancock County ,43.22,ME,Maine
23005,Cumberland County ,61.52,ME,Maine
23025,Somerset County ,35.21,ME,Maine
23027,Waldo County ,49.65,ME,Maine
23013,Knox County ,48.43,ME,Maine
23017,Oxford County ,30.65,ME,Maine
23011,Kennebec County ,72.64,ME,Maine
23015,Lincoln County ,46.97,ME,Maine
23007,Franklin County ,47.11,ME,Maine
23031,York County ,41.78,ME,Maine
23023,Sagadahoc County ,40.5,ME,Maine
23021,Piscataquis County ,28.76,ME,Maine
23029,Washington County ,25.69,ME,Maine
