GEOID,NAME,average,state_abbr,state_name
48021,Bastrop County ,36.79,TX,Texas
48091,Comal County ,55.36,TX,Texas
48187,Guadalupe County ,54.57,TX,Texas
48397,Rockwall County ,34.07,TX,Texas
48367,Parker County ,31.57,TX,Texas
48039,Brazoria County ,199.64,TX,Texas
48439,Tarrant County ,702.5,TX,Texas
48085,Collin County ,422.93,TX,Texas
48291,Liberty County ,33.29,TX,Texas
48061,Cameron County ,217.79,TX,Texas
48257,Kaufman County ,42.79,TX,Texas
48491,Williamson County ,275.5,TX,Texas
48167,Galveston County ,215.14,TX,Texas
48339,Montgomery County ,236.79,TX,Texas
48139,Ellis County ,12279.5,TX,Texas
48251,Johnson County ,48.21,TX,Texas
48113,Dallas County ,849.64,TX,Texas
48201,Harris County ,2037.14,TX,Texas
48121,Denton County ,305.07,TX,Texas
48157,Fort Bend County ,454.64,TX,Texas
12061,Indian River County ,64.29,FL,Florida
12103,Pinellas County ,430.57,FL,Florida
12053,Hernando County ,81.36,FL,Florida
12119,Sumter County ,42.29,FL,Florida
12087,Monroe County ,32.71,FL,Florida
12085,Martin County ,59.64,FL,Florida
12127,Volusia County ,199.29,FL,Florida
12095,Orange County ,623.43,FL,Florida
12081,Manatee County ,167.0,FL,Florida
12011,Broward County ,1070.86,FL,Florida
12105,Polk County ,415.57,FL,Florida
12021,Collier County ,109.64,FL,Florida
12057,Hillsborough County ,686.43,FL,Florida
12109,St. Johns County ,101.5,FL,Florida
12099,Palm Beach County ,641.79,FL,Florida
12069,Lake County ,142.57,FL,Florida
12086,Miami-Dade County ,2370.93,FL,Florida
12009,Brevard County ,266.5,FL,Florida
12117,Seminole County ,179.21,FL,Florida
12097,Osceola County ,187.86,FL,Florida
12101,Pasco County ,242.79,FL,Florida
13089,DeKalb County ,212.57,GA,Georgia
13063,Clayton County ,74.14,GA,Georgia
13117,Forsyth County ,60.14,GA,Georgia
4019,Pima County ,292.14,AZ,Arizona
4027,Yuma County ,43.86,AZ,Arizona
4025,Yavapai County ,73.5,AZ,Arizona
4021,Pinal County ,137.57,AZ,Arizona
4015,Mohave County ,75.5,AZ,Arizona
51013,Arlington County ,122.14,VA,Virginia
51153,Prince William County ,152.64,VA,Virginia
51107,Loudoun County ,129.21,VA,Virginia
51059,Fairfax County ,411.21,VA,Virginia
51510,City of Alexandria,69.64,VA,Virginia
6055,Napa County ,53.36,CA,California
6099,Stanislaus County ,189.71,CA,California
6077,San Joaquin County ,271.93,CA,California
6029,Kern County ,278.0,CA,California
6111,Ventura County ,314.57,CA,California
6001,Alameda County ,767.21,CA,California
6037,Los Angeles County ,4961.64,CA,California
6083,Santa Barbara County ,169.29,CA,California
6013,Contra Costa County ,493.71,CA,California
6107,Tulare County ,151.64,CA,California
6053,Monterey County ,133.14,CA,California
6075,City and County of San Francisco,443.93,CA,California
6081,San Mateo County ,381.57,CA,California
6073,San Diego County ,1620.64,CA,California
6095,Solano County ,250.29,CA,California
6041,Marin County ,87.07,CA,California
6113,Yolo County ,145.5,CA,California
6065,Riverside County ,1031.21,CA,California
6025,Imperial County ,108.07,CA,California
6101,Sutter County ,35.36,CA,California
6047,Merced County ,92.5,CA,California
6087,Santa Cruz County ,120.86,CA,California
6085,Santa Clara County ,1029.64,CA,California
6069,San Benito County ,33.71,CA,California
6059,Orange County ,1166.21,CA,California
6071,San Bernardino County ,999.86,CA,California
6067,Sacramento County ,560.79,CA,California
6031,Kings County ,79.07,CA,California
6017,El Dorado County ,51.71,CA,California
6079,San Luis Obispo County ,96.5,CA,California
34021,Mercer County ,131.21,NJ,New Jersey
34007,Camden County ,159.0,NJ,New Jersey
34013,Essex County ,331.21,NJ,New Jersey
34035,Somerset County ,121.93,NJ,New Jersey
34039,Union County ,217.71,NJ,New Jersey
34031,Passaic County ,183.64,NJ,New Jersey
34005,Burlington County ,148.21,NJ,New Jersey
34027,Morris County ,208.64,NJ,New Jersey
34003,Bergen County ,386.86,NJ,New Jersey
34015,Gloucester County ,79.29,NJ,New Jersey
34025,Monmouth County ,212.5,NJ,New Jersey
34019,Hunterdon County ,31.57,NJ,New Jersey
34017,Hudson County ,284.29,NJ,New Jersey
34029,Ocean County ,183.71,NJ,New Jersey
34023,Middlesex County ,333.79,NJ,New Jersey
26125,Oakland County ,334.86,MI,Michigan
26099,Macomb County ,217.5,MI,Michigan
26163,Wayne County ,378.29,MI,Michigan
26161,Washtenaw County ,114.14,MI,Michigan
11001,District of Columbia ,192.29,DC,District of Columbia
35031,McKinley County ,42.36,NM,New Mexico
32003,Clark County ,846.21,NV,Nevada
24027,Howard County ,102.21,MD,Maryland
24033,Prince George's County ,261.64,MD,Maryland
24003,Anne Arundel County ,138.14,MD,Maryland
24021,Frederick County ,52.29,MD,Maryland
24031,Montgomery County ,338.64,MD,Maryland
24510,Baltimore City ,133.79,MD,Maryland
24017,Charles County ,45.14,MD,Maryland
8059,Jefferson County ,228.36,CO,Colorado
8035,Douglas County ,142.57,CO,Colorado
8031,City and County of Denver,319.29,CO,Colorado
8014,City and County of Broomfield,31.36,CO,Colorado
8001,Adams County ,200.0,CO,Colorado
