GEOID,NAME,average,state_abbr,state_name
1043,Cullman County ,33.24,AL,Alabama
1059,Franklin County ,34.65,AL,Alabama
1133,Winston County ,64.32,AL,Alabama
54023,Grant County ,55.84,WV,West Virginia
54105,Wirt County ,46.82,WV,West Virginia
54045,Logan County ,34.66,WV,West Virginia
54049,Marion County ,60.69,WV,West Virginia
54033,Harrison County ,58.33,WV,West Virginia
54021,Gilmer County ,47.01,WV,West Virginia
54007,Braxton County ,42.51,WV,West Virginia
54057,Mineral County ,40.06,WV,West Virginia
54103,Wetzel County ,54.9,WV,West Virginia
54067,Nicholas County ,67.69,WV,West Virginia
54101,Webster County ,72.95,WV,West Virginia
54083,Randolph County ,37.6,WV,West Virginia
54025,Greenbrier County ,34.76,WV,West Virginia
54097,Upshur County ,46.74,WV,West Virginia
54087,Roane County ,54.31,WV,West Virginia
54077,Preston County ,64.6,WV,West Virginia
54081,Raleigh County ,48.54,WV,West Virginia
54093,Tucker County ,53.87,WV,West Virginia
54085,Ritchie County ,30.92,WV,West Virginia
54041,Lewis County ,50.03,WV,West Virginia
54091,Taylor County ,64.89,WV,West Virginia
54061,Monongalia County ,67.25,WV,West Virginia
54015,Clay County ,60.17,WV,West Virginia
54039,Kanawha County ,42.54,WV,West Virginia
54001,Barbour County ,49.95,WV,West Virginia
54109,Wyoming County ,52.64,WV,West Virginia
46055,Haakon County ,34.31,SD,South Dakota
46105,Perkins County ,31.94,SD,South Dakota
46063,Harding County ,43.59,SD,South Dakota
46081,Lawrence County ,34.82,SD,South Dakota
46103,Pennington County ,56.6,SD,South Dakota
46107,Potter County ,49.13,SD,South Dakota
46041,Dewey County ,122.36,SD,South Dakota
46109,Roberts County ,33.34,SD,South Dakota
46137,Ziebach County ,98.99,SD,South Dakota
46117,Stanley County ,47.67,SD,South Dakota
46093,Meade County ,42.45,SD,South Dakota
46039,Deuel County ,39.81,SD,South Dakota
46129,Walworth County ,37.59,SD,South Dakota
46089,McPherson County ,39.28,SD,South Dakota
46065,Hughes County ,52.71,SD,South Dakota
46119,Sully County ,37.57,SD,South Dakota
46033,Custer County ,49.16,SD,South Dakota
39137,Putnam County ,40.16,OH,Ohio
39011,Auglaize County ,45.24,OH,Ohio
39031,Coshocton County ,64.84,OH,Ohio
39067,Harrison County ,39.2,OH,Ohio
39121,Noble County ,44.51,OH,Ohio
39119,Muskingum County ,58.17,OH,Ohio
39065,Hardin County ,46.2,OH,Ohio
39157,Tuscarawas County ,44.62,OH,Ohio
39059,Guernsey County ,85.66,OH,Ohio
55113,Sawyer County ,62.4,WI,Wisconsin
55031,Douglas County ,46.41,WI,Wisconsin
55041,Forest County ,37.23,WI,Wisconsin
55107,Rusk County ,41.3,WI,Wisconsin
55099,Price County ,71.48,WI,Wisconsin
55085,Oneida County ,54.97,WI,Wisconsin
55125,Vilas County ,40.69,WI,Wisconsin
55005,Barron County ,44.04,WI,Wisconsin
55115,Shawano County ,44.94,WI,Wisconsin
55129,Washburn County ,51.9,WI,Wisconsin
55009,Brown County ,47.73,WI,Wisconsin
55013,Burnett County ,57.58,WI,Wisconsin
55091,Pepin County ,32.46,WI,Wisconsin
55119,Taylor County ,48.77,WI,Wisconsin
55067,Langlade County ,55.91,WI,Wisconsin
55083,Oconto County ,45.08,WI,Wisconsin
55003,Ashland County ,30.46,WI,Wisconsin
55069,Lincoln County ,47.71,WI,Wisconsin
27005,Becker County ,61.76,MN,Minnesota
27009,Benton County ,53.33,MN,Minnesota
27007,Beltrami County ,67.68,MN,Minnesota
27097,Morrison County ,75.87,MN,Minnesota
27013,Blue Earth County ,36.51,MN,Minnesota
27051,Grant County ,70.97,MN,Minnesota
27083,Lyon County ,57.5,MN,Minnesota
27153,Todd County ,75.7,MN,Minnesota
27067,Kandiyohi County ,62.96,MN,Minnesota
27065,Kanabec County ,40.61,MN,Minnesota
27035,Crow Wing County ,55.04,MN,Minnesota
27059,Isanti County ,55.35,MN,Minnesota
27165,Watonwan County ,34.5,MN,Minnesota
27073,Lac qui Parle County ,70.66,MN,Minnesota
27173,Yellow Medicine County ,74.56,MN,Minnesota
27135,Roseau County ,55.44,MN,Minnesota
27111,Otter Tail County ,61.95,MN,Minnesota
27115,Pine County ,38.25,MN,Minnesota
27149,Stevens County ,52.56,MN,Minnesota
27109,Olmsted County ,33.27,MN,Minnesota
27087,Mahnomen County ,84.32,MN,Minnesota
27155,Traverse County ,74.92,MN,Minnesota
27171,Wright County ,50.1,MN,Minnesota
27167,Wilkin County ,60.81,MN,Minnesota
27029,Clearwater County ,47.82,MN,Minnesota
27151,Swift County ,48.58,MN,Minnesota
27011,Big Stone County ,32.75,MN,Minnesota
27127,Redwood County ,55.91,MN,Minnesota
27041,Douglas County ,62.01,MN,Minnesota
27089,Marshall County ,38.79,MN,Minnesota
27129,Renville County ,46.58,MN,Minnesota
27145,Stearns County ,53.06,MN,Minnesota
27121,Pope County ,81.32,MN,Minnesota
27093,Meeker County ,54.78,MN,Minnesota
27001,Aitkin County ,44.66,MN,Minnesota
27021,Cass County ,54.39,MN,Minnesota
27057,Hubbard County ,53.75,MN,Minnesota
27027,Clay County ,41.74,MN,Minnesota
27023,Chippewa County ,51.15,MN,Minnesota
27033,Cottonwood County ,47.74,MN,Minnesota
27105,Nobles County ,30.09,MN,Minnesota
27095,Mille Lacs County ,67.74,MN,Minnesota
27107,Norman County ,65.34,MN,Minnesota
27113,Pennington County ,36.76,MN,Minnesota
27141,Sherburne County ,46.2,MN,Minnesota
27119,Polk County ,52.23,MN,Minnesota
27159,Wadena County ,89.51,MN,Minnesota
38095,Towner County ,76.33,ND,North Dakota
38075,Renville County ,65.85,ND,North Dakota
38091,Steele County ,44.88,ND,North Dakota
38015,Burleigh County ,55.63,ND,North Dakota
38101,Ward County ,56.18,ND,North Dakota
38033,Golden Valley County ,83.5,ND,North Dakota
38079,Rolette County ,99.29,ND,North Dakota
38001,Adams County ,82.03,ND,North Dakota
38041,Hettinger County ,61.0,ND,North Dakota
38007,Billings County ,37.75,ND,North Dakota
38017,Cass County ,58.06,ND,North Dakota
