GEOID,NAME,state_name,state_abbr,average
06037,Los Angeles,California,CA,423603.28571428574
17031,Cook,Illinois,IL,318069.5714285714
12086,Miami-Dade,Florida,FL,236379.2857142857
04013,Maricopa,Arizona,AZ,218487.42857142858
48113,Dallas,Texas,TX,129267.71428571429
32003,Clark,Nevada,NV,122029.42857142857
12011,Broward,Florida,FL,110531.14285714286
06071,San Bernardino,California,CA,99278.85714285714
36081,Queens,New York,NY,92853.57142857143
48439,Tarrant,Texas,TX,91719.0
36047,Kings,New York,NY,91647.42857142857
06073,San Diego,California,CA,86723.42857142857
06065,Riverside,California,CA,86537.71428571429
49035,Salt Lake,Utah,UT,83939.0
06059,Orange,California,CA,82102.57142857143
55079,Milwaukee,Wisconsin,WI,75632.71428571429
27053,Hennepin,Minnesota,MN,70183.71428571429
26163,Wayne,Michigan,MI,67980.85714285714
12099,Palm Beach,Florida,FL,67124.28571428571
36005,Bronx,New York,NY,65584.71428571429
42101,Philadelphia,Pennsylvania,PA,65020.57142857143
36103,Suffolk,New York,NY,63884.57142857143
36059,Nassau,New York,NY,62816.28571428572
12095,Orange,Florida,FL,59870.28571428572
12057,Hillsborough,Florida,FL,59771.28571428572
36119,Westchester,New York,NY,52560.28571428572
25017,Middlesex,Massachusetts,MA,51300.28571428572
49049,Utah,Utah,UT,51184.142857142855
26125,Oakland,Michigan,MI,49012.42857142857
17043,DuPage,Illinois,IL,48376.71428571428
36061,New York,New York,NY,46923.57142857143
06029,Kern,California,CA,43446.857142857145
24033,Prince George's,Maryland,MD,42642.0
04019,Pima,Arizona,AZ,42235.857142857145
17197,Will,Illinois,IL,41133.0
09001,Fairfield,Connecticut,CT,40357.28571428572
25025,Suffolk,Massachusetts,MA,39773.28571428572
26099,Macomb,Michigan,MI,39761.42857142857
17097,Lake,Illinois,IL,39020.142857142855
44007,Providence,Rhode Island,RI,38998.57142857143
13121,Fulton,Georgia,GA,38536.0
08031,Denver,Colorado,CO,38200.857142857145
25009,Essex,Massachusetts,MA,38101.71428571428
06085,Santa Clara,California,CA,36894.0
34013,Essex,New Jersey,NJ,36700.57142857143
34003,Bergen,New Jersey,NJ,36319.0
24031,Montgomery,Maryland,MD,34640.142857142855
12103,Pinellas,Florida,FL,33901.142857142855
17089,Kane,Illinois,IL,33271.71428571428
34017,Hudson,New Jersey,NJ,32964.42857142857
34023,Middlesex,New Jersey,NJ,32033.428571428572
51059,Fairfax,Virginia,VA,31986.428571428572
09009,New Haven,Connecticut,CT,31617.571428571428
34031,Passaic,New Jersey,NJ,31433.714285714286
08001,Adams,Colorado,CO,31056.428571428572
06001,Alameda,California,CA,30904.571428571428
18089,Lake,Indiana,IN,30622.85714285714
24005,Baltimore,Maryland,MD,30315.428571428572
27123,Ramsey,Minnesota,MN,29502.571428571428
55133,Waukesha,Wisconsin,WI,29499.0
34039,Union,New Jersey,NJ,29296.0
25027,Worcester,Massachusetts,MA,29083.428571428572
08005,Arapahoe,Colorado,CO,28690.285714285714
