state_name,number of county,percentage
Arizona,15,60.0
California,58,24.14
Colorado,64,9.38
Connecticut,8,37.5
Delaware,3,33.33
Florida,67,1.49
Illinois,102,6.86
Indiana,92,1.09
Kansas,105,0.95
Kentucky,120,0.83
Massachusetts,14,64.29
Maryland,24,12.5
Maine,16,6.25
Michigan,83,39.76
Minnesota,87,11.49
New Hampshire,10,50.0
New Jersey,21,66.67
New Mexico,33,15.15
Nevada,17,5.88
New York,62,25.81
Ohio,88,20.45
Pennsylvania,67,49.25
Rhode Island,5,40.0
Texas,254,1.57
Utah,29,13.79
Washington,39,12.82
Wisconsin,72,15.28
