state_name,number of county,percentage
Alaska,29,3.45
Arizona,15,26.67
Colorado,64,9.38
Iowa,99,45.45
Illinois,102,1.96
Indiana,92,22.83
Kansas,105,34.29
Kentucky,120,1.67
Maryland,24,8.33
Maine,16,25.0
Michigan,83,44.58
Minnesota,87,82.76
Missouri,115,2.61
Montana,56,26.79
North Dakota,53,66.04
Nebraska,93,17.2
New Hampshire,10,20.0
New Mexico,33,27.27
New York,62,11.29
Ohio,88,18.18
Pennsylvania,67,85.07
South Dakota,66,53.03
Tennessee,95,1.05
Vermont,14,57.14
Wisconsin,72,52.78
West Virginia,55,1.82
Wyoming,23,17.39
