state_name,number of county,percentage
Alaska,29,3.45
Arizona,15,53.33
California,58,31.03
Colorado,64,14.06
Connecticut,8,12.5
Florida,67,1.49
Idaho,44,2.27
Illinois,102,5.88
Indiana,92,1.09
Kentucky,120,0.83
Massachusetts,14,50.0
Maryland,24,16.67
Michigan,83,21.69
Minnesota,87,10.34
Missouri,115,0.87
New Hampshire,10,20.0
New Jersey,21,42.86
New Mexico,33,3.03
Nevada,17,5.88
New York,62,19.35
Ohio,88,18.18
Oregon,36,8.33
Pennsylvania,67,32.84
Rhode Island,5,20.0
Texas,254,6.3
Utah,29,17.24
Washington,39,23.08
Wisconsin,72,6.94
Wyoming,23,4.35
